epoch,o,h,l,c,v
1776951000,422.39,422.82,419.39,422.59,708427
1776951300,422.56,424.87,422.01,423.59,404256
1776951600,423.54,427.4,423.01,426.26,536099
1776951900,426.35,427.5,425.03,427.34,296889
1776952200,427.37,428.16,426.62,426.73,311092
1776952500,426.71,426.76,425.51,426.12,203272
1776952800,426.14,426.6,425.1,425.8,231584
1776953100,425.75,426.6,425.04,426.37,137828
1776953400,426.37,426.57,424.88,425.39,186694
1776953700,425.44,427.69,425.43,426.09,221779
1776954000,426.07,426.8,425.63,425.92,99482
1776954300,425.92,426.28,425.22,425.59,104119
1776954600,425.54,426.03,425.09,425.65,120339
1776954900,425.74,427.13,425.69,426.22,144533
1776955200,426.19,426.57,424.23,425.55,166721
1776955500,425.61,426.23,425.56,425.62,102289
1776955800,425.64,427.0,425.25,426.65,146561
1776956100,426.65,427.4,426.51,426.65,121934
1776956400,426.74,427.53,426.61,427.5,91214
1776956700,427.5,427.93,427.06,427.55,113919
1776957000,427.6,428.92,427.52,428.79,136068
1776957300,428.76,428.9,428.03,428.6,179734
1776957600,428.61,429.31,428.47,428.9,164717
1776957900,428.93,428.93,427.71,428.13,135736
1776958200,428.13,428.89,428.02,428.77,83115
1776958500,428.7,429.0,428.27,428.55,123719
1776958800,428.52,429.1,428.42,428.9,127280
1776959100,428.87,429.18,428.4,428.5,177659
1776959400,428.5,428.5,426.8,426.8,108345
1776959700,426.83,428.13,426.81,427.99,137951
1776960000,428.0,428.49,426.15,426.26,138138
1776960300,426.27,427.77,426.2,427.2,145238
1776960600,427.24,427.92,426.68,427.84,107915
1776960900,427.81,428.74,427.77,428.41,146556
1776961200,428.38,428.5,427.71,428.06,91482
1776961500,428.06,428.35,427.87,428.08,88151
1776961800,428.09,428.09,427.2,427.23,80937
1776962100,427.21,427.43,426.77,426.78,87483
1776962400,426.78,427.46,426.72,427.26,93574
1776962700,427.21,427.42,426.67,426.94,50586
1776963000,426.93,427.26,426.69,426.91,50055
1776963300,426.91,426.91,425.81,426.16,69852
1776963600,426.17,426.75,424.83,425.06,143485
1776963900,425.0,425.3,423.79,423.91,121521
1776964200,423.87,423.91,422.5,423.54,170474
1776964500,423.61,423.69,421.34,422.06,146408
1776964800,422.11,422.59,421.31,421.55,136642
1776965100,421.55,422.89,421.1,421.56,85464
1776965400,421.42,422.65,421.04,422.54,63353
1776965700,422.54,423.05,420.9,421.32,81909
1776966000,421.32,421.41,418.72,419.36,201767
