epoch,o,h,l,c,v
1776951000,264.11,265.05,260.2,262.74,511455
1776951300,262.83,265.11,262.5,264.08,170525
1776951600,263.89,269.21,263.81,269.21,325394
1776951900,269.0,269.07,267.14,268.84,149623
1776952200,268.88,272.82,268.16,271.75,270395
1776952500,271.53,271.76,267.05,267.25,172910
1776952800,267.43,267.71,265.54,267.25,120146
1776953100,267.24,268.16,265.56,267.77,171458
1776953400,268.0,268.03,264.0,264.95,116617
1776953700,264.94,265.57,262.99,263.61,96417
1776954000,263.73,266.6,263.71,265.83,72904
1776954300,265.82,266.98,264.82,265.28,66203
1776954600,265.47,266.31,264.81,265.38,56727
1776954900,265.35,265.96,262.96,262.97,91135
1776955200,262.69,262.9,261.22,262.35,112622
1776955500,262.37,263.21,261.32,263.03,69210
1776955800,263.1,264.98,262.32,263.85,89506
1776956100,264.01,264.4,263.61,263.92,53409
1776956400,263.77,263.81,262.28,263.42,66488
1776956700,263.42,264.56,262.5,262.92,76154
1776957000,262.85,264.88,262.7,264.59,47904
1776957300,264.48,264.8,263.85,264.36,80266
1776957600,264.22,264.22,263.02,263.69,42360
1776957900,263.74,264.96,263.62,263.94,64401
1776958200,264.01,265.2,263.53,264.22,73043
1776958500,264.2,264.31,263.47,264.17,48029
1776958800,264.33,264.84,264.17,264.22,31801
1776959100,264.22,264.31,262.77,262.94,62715
1776959400,263.06,263.66,261.64,261.81,69143
1776959700,261.72,263.31,261.4,262.54,33640
1776960000,262.76,262.85,261.12,261.12,44119
1776960300,261.41,262.48,260.84,261.88,54842
1776960600,261.74,262.69,261.56,262.43,34974
1776960900,262.55,262.73,261.43,261.53,58030
1776961200,261.53,262.26,261.35,262.24,51727
1776961500,262.22,262.99,262.22,262.5,45436
1776961800,262.5,262.67,261.93,262.67,59679
1776962100,262.57,262.96,262.26,262.39,27443
1776962400,262.39,262.88,262.11,262.85,19401
1776962700,262.86,263.4,262.7,263.1,48167
1776963000,263.22,263.53,262.61,262.61,23020
1776963300,262.76,263.29,262.4,262.81,34009
1776963600,262.81,263.05,261.2,261.2,45556
1776963900,261.41,261.41,259.79,259.84,129701
1776964200,259.94,260.14,259.13,259.67,60232
1776964500,259.63,259.63,258.09,258.18,46185
1776964800,258.3,258.88,257.8,258.6,58582
1776965100,258.55,259.59,258.37,258.64,59721
1776965400,258.65,259.11,258.0,259.06,54642
1776965700,258.99,259.27,257.56,258.0,119721
1776966000,258.03,258.03,255.33,255.59,78164
1776966300,255.52,255.93,254.04,255.77,99731
1776966600,255.6,257.74,254.89,257.11,84779
1776966900,257.17,258.01,256.84,257.48,65123
1776967200,257.26,257.97,256.64,256.82,145693
1776967500,256.79,257.93,256.56,257.44,71105
1776967800,257.51,257.87,256.23,256.23,71266
1776968100,256.39,256.46,255.73,255.99,63306
1776968400,255.88,256.96,255.68,256.8,81695
1776968700,256.8,257.1,256.08,256.95,56432
1776969000,257.1,257.59,256.56,256.97,55031
1776969300,256.9,257.03,255.98,256.3,34374
1776969600,256.39,256.61,255.96,256.55,48759
1776969900,256.53,256.53,255.63,255.75,46581
1776970200,255.56,255.92,255.12,255.15,25870
1776970500,255.11,255.5,254.11,254.51,33421
1776970800,254.43,254.75,253.28,253.65,51990
1776971100,253.75,254.77,253.73,254.44,37552
1776971400,254.44,254.83,253.92,254.76,32832
1776971700,254.81,255.24,254.58,255.17,58432
1776972000,255.21,255.85,255.08,255.52,48900
1776972300,255.58,255.93,255.51,255.72,53097
1776972600,255.55,256.12,255.23,255.3,58466
1776972900,255.28,255.49,254.71,255.4,50474
1776973200,255.43,255.98,255.25,255.69,121176
1776973500,255.69,257.07,255.69,257.0,129211
1776973800,256.93,258.06,256.5,258.02,145341
1776974100,257.99,259.03,257.84,258.6,374087
1777037400,267.31,275.84,266.9,271.4,819999
1777037700,271.67,272.87,269.8,272.35,146442
1777038000,272.11,273.2,271.62,272.38,121810
1777038300,272.41,272.66,269.29,270.08,144437
1777038600,270.23,270.73,268.66,269.26,119831
1777038900,269.19,270.99,268.17,270.75,85609
1777039200,270.66,272.0,269.69,270.58,69597
1777039500,270.58,273.0,270.2,272.87,96831
1777039800,272.43,272.7,271.19,271.52,97110
1777040100,271.56,272.26,270.68,270.9,52928
1777040400,270.86,271.43,270.2,270.21,37523
1777040700,270.25,270.29,268.68,269.41,34811
