epoch,volC,volP,pc,spot
1776432600,4389,865,0.1971,0.00
1776432900,9029,1806,0.2000,0.00
1776433200,13696,2452,0.1790,0.00
1776433500,19281,3670,0.1903,0.00
1776433800,23694,6010,0.2537,0.00
1776434100,26842,6609,0.2462,0.00
1776434400,28692,7612,0.2653,0.00
1776434700,34545,8799,0.2547,0.00
1776435000,37796,9972,0.2638,0.00
1776435300,41287,14890,0.3606,0.00
1776435600,44884,15838,0.3529,0.00
1776435900,48711,17037,0.3498,0.00
1776436200,52162,17322,0.3321,0.00
1776436500,54493,17493,0.3210,0.00
1776436800,56201,17919,0.3188,0.00
1776437100,57395,18226,0.3176,0.00
1776437400,58669,18792,0.3203,0.00
1776437700,61341,19100,0.3114,0.00
1776438000,63038,19482,0.3091,0.00
1776438300,65091,19700,0.3027,0.00
1776438600,66111,19832,0.3000,0.00
1776438900,70086,20423,0.2914,0.00
1776439200,70675,20553,0.2908,0.00
1776439500,71421,20833,0.2917,0.00
1776439800,72018,21028,0.2920,0.00
1776440100,73085,21214,0.2903,0.00
1776440400,74110,21441,0.2893,0.00
1776440700,75123,21825,0.2905,0.00
1776441000,76587,22094,0.2885,0.00
1776441300,77942,22378,0.2871,0.00
1776441600,79389,22586,0.2845,0.00
1776441900,80961,22713,0.2805,0.00
1776442200,82021,23102,0.2817,0.00
1776442500,83226,23382,0.2809,0.00
1776442800,84152,23611,0.2806,0.00
1776443100,85196,23675,0.2779,0.00
1776443400,86542,23824,0.2753,0.00
1776443700,87200,24008,0.2753,0.00
1776444000,88138,24083,0.2732,0.00
1776444300,91956,24625,0.2678,0.00
1776444600,92995,24779,0.2665,0.00
1776444900,96288,25159,0.2613,0.00
1776445200,97699,25589,0.2619,0.00
1776445500,99923,26750,0.2677,0.00
1776445800,100815,27156,0.2694,0.00
1776446100,102138,27302,0.2673,0.00
1776446400,106055,28251,0.2664,0.00
1776446700,107595,28498,0.2649,0.00
1776447000,109025,28858,0.2647,0.00
1776447300,111048,29072,0.2618,0.00
1776447600,115721,29250,0.2528,0.00
1776447900,116763,29381,0.2516,0.00
1776448200,117301,29475,0.2513,0.00
1776448500,119517,29612,0.2478,0.00
1776448800,120666,29745,0.2465,0.00
1776449100,121044,30014,0.2480,0.00
1776449400,121390,30225,0.2490,0.00
1776449700,124114,30682,0.2472,0.00
1776450000,124608,31295,0.2511,0.00
1776450300,126022,31637,0.2510,0.00
1776450600,127313,31851,0.2502,0.00
1776450900,128042,32149,0.2511,0.00
1776451200,128698,32320,0.2511,0.00
1776451500,129883,32947,0.2537,0.00
1776451800,131593,33674,0.2559,0.00
1776452100,133094,34112,0.2563,0.00
1776452400,133972,34314,0.2561,0.00
1776452700,134731,36244,0.2690,0.00
1776453000,135304,36657,0.2709,0.00
1776453300,137552,37595,0.2733,0.00
1776453600,141893,38769,0.2732,0.00
1776453900,145708,40162,0.2756,0.00
1776454200,149996,41875,0.2792,0.00
1776454500,155199,43274,0.2788,0.00
1776454800,157300,45307,0.2880,0.00
1776455100,163115,46260,0.2836,0.00
1776455400,170070,47847,0.2813,0.00
1776455700,175006,50351,0.2877,0.00
1776456000,175007,50351,0.2877,0.00
1776691800,12421,5926,0.4771,0.00
1776692100,18451,7795,0.4225,0.00
1776692400,22131,9411,0.4252,0.00
1776692700,25872,10820,0.4182,0.00
1776693000,32681,12608,0.3858,0.00
1776693300,37717,14258,0.3780,0.00
1776693600,44533,15349,0.3447,0.00
1776693900,46013,16107,0.3501,0.00
1776694200,51468,17227,0.3347,0.00
1776694500,56634,19497,0.3443,0.00
1776694800,59151,20641,0.3490,0.00
1776695100,61572,21864,0.3551,0.00
1776695400,64835,23451,0.3617,0.00
1776695700,67881,29784,0.4388,0.00
1776696000,71682,30804,0.4297,0.00
1776696300,73030,31482,0.4311,0.00
1776696600,76352,33684,0.4412,0.00
1776696900,79666,34947,0.4387,0.00
1776697200,84253,36116,0.4287,0.00
1776697500,88373,38062,0.4307,0.00
1776697800,91381,39123,0.4281,0.00
1776698100,92564,39962,0.4317,0.00
1776698400,94186,41084,0.4362,0.00
1776698700,95694,41828,0.4371,0.00
1776699000,96595,43078,0.4460,0.00
1776699300,98294,43712,0.4447,0.00
1776699600,100136,44972,0.4491,0.00
1776699900,100799,45251,0.4489,0.00
1776700200,101602,45548,0.4483,0.00
1776700500,102307,45637,0.4461,0.00
1776700800,103048,45915,0.4456,0.00
1776701100,105043,47485,0.4521,0.00
1776701400,110089,47810,0.4343,0.00
1776701700,111565,48354,0.4334,0.00
1776702000,112829,49793,0.4413,0.00
1776702300,113661,50188,0.4416,0.00
1776702600,114425,50534,0.4416,0.00
1776702900,115897,51386,0.4434,0.00
1776703200,116609,52358,0.4490,0.00
1776703500,117886,52568,0.4459,0.00
1776703800,118317,52783,0.4461,0.00
1776704100,118661,52919,0.4460,0.00
1776704400,120980,53325,0.4408,0.00
1776704700,121783,53418,0.4386,0.00
1776705000,123052,53695,0.4364,0.00
1776705300,123737,53867,0.4353,0.00
1776705600,125715,54470,0.4333,0.00
1776705900,127358,54788,0.4302,0.00
1776706200,128108,54991,0.4293,0.00
1776706500,129276,55233,0.4272,0.00
1776706800,132702,55943,0.4216,0.00
1776707100,138649,57890,0.4175,0.00
1776707400,140672,58120,0.4132,0.00
1776707700,142051,58534,0.4121,0.00
1776708000,143659,59644,0.4152,0.00
1776708300,145713,60334,0.4141,0.00
1776708600,147589,61204,0.4147,0.00
1776708900,149391,61460,0.4114,0.00
1776709200,151308,61720,0.4079,0.00
1776709500,154287,63870,0.4140,0.00
1776709800,156077,64233,0.4115,0.00
1776710100,159106,64613,0.4061,0.00
1776710400,163400,64948,0.3975,0.00
1776710700,164993,65281,0.3957,0.00
1776711000,167865,65461,0.3900,0.00
1776711300,170975,65833,0.3850,0.00
1776711600,172799,66470,0.3847,0.00
1776711900,173545,66840,0.3851,0.00
1776712200,175479,67550,0.3849,0.00
1776712500,176586,68172,0.3861,0.00
1776712800,177805,68434,0.3849,0.00
1776713100,178993,68789,0.3843,0.00
1776713400,180400,69620,0.3859,0.00
1776713700,183525,70563,0.3845,0.00
1776714000,187925,72380,0.3852,0.00
1776714300,190439,73162,0.3842,0.00
1776714600,196954,74744,0.3795,0.00
1776714900,203743,77207,0.3789,0.00
1776715200,203744,77207,0.3789,0.00
1776778200,11291,2075,0.1838,0.00
1776778500,21218,4413,0.2080,0.00
