epoch,o,h,l,c,v
1782739800,373.5200,373.7100,371.0600,373.3450,874462
1782739860,373.5000,374.3250,371.7800,372.2700,88544
1782739920,372.1650,374.4899,372.1650,374.2950,85378
1782739980,374.2900,374.5999,372.8001,372.8001,88130
1782740040,372.9000,373.9900,372.2100,373.9500,48671
1782740100,373.8650,375.2108,373.7400,375.0700,75202
1782740160,374.9300,375.1600,373.4550,373.9000,63590
1782740220,373.8000,374.0100,373.1900,373.8700,47520
1782740280,374.0000,374.4200,373.2200,373.5000,63623
1782740340,373.4550,374.4900,373.2800,374.4900,57398
1782740400,374.2742,374.2750,372.5000,372.9650,104885
1782740460,372.8800,373.3482,372.5597,372.7000,43446
1782740520,372.6000,373.3500,372.4700,372.8450,72640
1782740580,372.7700,373.6700,372.5400,373.2450,53212
1782740640,373.1800,373.2800,372.0800,372.6426,52640
1782740700,372.5500,373.9800,372.3200,373.1750,105694
1782740760,373.1750,373.1750,371.3100,371.8000,79732
1782740820,371.6950,372.8350,371.2000,372.4461,67096
1782740880,372.4600,372.6010,371.5100,371.8650,62945
1782740940,372.0350,372.3500,370.7800,371.3800,101089
1782741000,371.3600,372.0000,370.2401,371.9600,78341
1782741060,371.9200,372.8900,371.8300,371.9800,66882
1782741120,371.8900,373.3000,371.8900,372.8800,45440
1782741180,372.7600,373.2050,372.0001,372.1500,47420
1782741240,372.1800,372.4900,371.4500,371.5250,45604
1782741300,371.5500,372.0100,370.6200,370.9300,71683
1782741360,371.0300,371.6499,370.1500,370.6602,49700
1782741420,370.5600,370.6300,369.2000,369.4900,69770
1782741480,369.5100,370.3299,369.1600,369.9474,129217
1782741540,369.9050,370.0000,368.8000,369.3950,66652
1782741600,369.4675,370.0500,368.3801,368.8500,43089
1782741660,368.9200,369.4000,368.4100,368.4850,37558
1782741720,368.4000,368.5225,367.8101,367.8710,52689
1782741780,367.8000,368.5489,367.6800,368.0450,38690
1782741840,368.1300,368.7100,367.9600,368.1100,50098
1782741900,368.1100,368.1300,366.6200,366.6700,86929
1782741960,366.7100,367.4800,365.7550,365.8200,95308
1782742020,365.8700,366.3200,365.1900,365.2700,82972
1782742080,365.2500,365.4099,364.5600,365.2700,96889
1782742140,365.1900,365.6000,364.6100,365.2050,60459
1782742200,365.2050,365.3391,364.0500,364.2600,57737
1782742260,364.3050,364.3050,363.3000,363.5600,69131
1782742320,363.6900,363.8380,362.6200,362.6200,84882
1782742380,362.7000,362.8300,361.6700,361.7400,99785
1782742440,361.7100,362.1900,361.4516,361.4850,85906
1782742500,361.5000,361.5300,360.4600,361.4200,136689
1782742560,361.4700,362.3800,361.0550,361.0816,78344
1782742620,361.0800,361.8900,360.8500,361.2000,49942
1782742680,361.2000,361.8203,360.9850,361.5400,59367
1782742740,361.6600,363.2800,361.6000,363.2800,69747
1782742800,363.2700,364.2400,363.0100,364.0650,55078
1782742860,364.0800,364.4300,363.8900,364.2125,47246
1782742920,364.2300,365.3600,364.1400,364.6800,55314
1782742980,364.8500,364.8500,363.9200,364.1900,57765
1782743040,364.1050,364.6300,363.7600,364.5300,32635
1782743100,364.5300,365.6900,364.3600,365.5150,66175
1782743160,365.5200,366.0800,365.4400,366.0800,41723
1782743220,365.9700,366.4500,365.2800,365.7150,87747
1782743280,365.6500,366.8500,365.5201,366.8050,64645
1782743340,366.8100,367.5100,366.7900,367.5100,108125
1782743400,367.5200,368.5499,367.3600,368.4500,79355
1782743460,368.4500,369.1850,368.0500,368.8000,85557
1782743520,368.8050,369.0000,367.8033,368.2650,150779
1782743580,368.2600,369.3350,368.1600,369.0725,45339
1782743640,368.9800,369.3400,368.6400,368.8250,53481
1782743700,368.8300,368.9250,368.1000,368.9200,53292
1782743760,368.9900,368.9900,368.1200,368.4850,64334
1782743820,368.5200,368.9900,367.9800,368.9000,45606
1782743880,368.8800,369.3600,368.6900,368.9500,45287
1782743940,368.8700,369.6000,368.7550,369.0600,46708
1782744000,369.0900,369.4899,368.8700,369.3300,78074
1782744060,369.3300,369.6300,368.8100,369.2600,45227
1782744120,369.2250,369.6100,369.1200,369.4800,25703
1782744180,369.4150,369.7250,369.2650,369.3100,45043
1782744240,369.3100,369.5200,368.9300,369.0900,54746
1782744300,369.0650,369.2250,368.6900,368.8150,60466
1782744360,368.8150,369.0000,367.8200,367.8700,63449
1782744420,367.9050,368.4000,367.2450,367.2450,50831
1782744480,367.2400,367.8850,367.2225,367.4800,44107
1782744540,367.4700,368.6659,367.4700,368.3550,41962
1782744600,368.3550,369.2000,368.2366,368.8000,58095
1782744660,368.7950,369.0150,368.3564,368.6500,41975
1782744720,368.6350,369.2700,368.4700,368.8150,37313
1782744780,368.7450,369.6725,368.5400,369.6100,35757
1782744840,369.5150,370.3640,369.4800,370.1150,60750
1782744900,370.1000,370.1050,369.5150,370.0500,34639
1782744960,370.0600,370.5150,369.7100,369.8000,50265
1782745020,369.8250,370.1400,369.2200,369.4750,29576
1782745080,369.4650,370.1000,369.4000,369.9450,28300
1782745140,370.0500,370.8700,369.9750,370.7850,43195
1782745200,370.7900,370.8200,370.3116,370.4500,39234
1782745260,370.5250,370.6299,370.1700,370.4400,32293
1782745320,370.5000,370.5200,369.8100,369.9000,43959
1782745380,369.8900,369.8900,369.5650,369.6800,30997
1782745440,369.6000,369.6000,368.7100,368.8350,45248
1782745500,368.7100,369.3980,368.4000,369.2600,30603
1782745560,369.2300,369.4600,369.0300,369.3200,38870
1782745620,369.1500,369.3500,368.5300,369.0400,36101
1782745680,369.0400,369.7000,369.0400,369.5950,24897
1782745740,369.6550,370.0600,369.4900,370.0300,29921
1782745800,370.0300,370.2650,369.4600,369.7150,18412
1782745860,369.7100,370.3700,369.5100,369.5400,34966
1782745920,369.5400,370.1200,369.2850,369.7800,24335
1782745980,369.8200,370.0000,369.6600,369.9399,28483
1782746040,369.9400,370.5100,369.7500,370.4550,26704
1782746100,370.4650,370.9200,370.3500,370.5100,42428
1782746160,370.5900,370.7100,370.1200,370.6599,25351
1782746220,370.5500,370.6300,370.0250,370.0250,23205
1782746280,370.0450,370.1300,369.5901,369.7550,43608
1782746340,369.7900,369.8350,369.0000,369.1100,31873
1782746400,369.1550,369.3200,368.8010,368.8400,27713
1782746460,368.8525,369.6500,368.8300,369.6200,34510
1782746520,369.5400,369.7900,368.6900,369.7900,37160
1782746580,369.7200,369.8500,369.4100,369.7600,31884
1782746640,369.7100,369.7100,368.8000,369.4400,39223
1782746700,369.3800,369.9300,369.2500,369.9300,21082
1782746760,369.8900,370.4200,369.4700,369.8000,29355
1782746820,369.6800,369.9400,369.5950,369.8620,16045
1782746880,369.8700,370.2500,369.7994,370.2500,50084
1782746940,370.1150,370.8000,370.1000,370.7400,63156
1782747000,370.8500,371.2300,370.8400,370.9200,52537
1782747060,370.8645,371.0900,370.7600,370.9500,26715
1782747120,370.9000,371.0901,370.8100,370.8600,18785
1782747180,370.9200,370.9700,370.5500,370.9299,47019
1782747240,370.8700,370.9950,370.6200,370.6600,25031
1782747300,370.5500,370.5700,369.8300,370.2100,56268
1782747360,370.1000,370.3800,370.0550,370.2850,21766
1782747420,370.3800,370.7568,370.3800,370.5500,37286
1782747480,370.5100,370.6800,370.4500,370.5500,23341
1782747540,370.5650,370.5800,370.1000,370.3200,20563
1782747600,370.2900,370.8500,370.2300,370.5900,22428
1782747660,370.5900,371.2900,370.5101,371.1101,36445
1782747720,371.2050,371.2950,370.2300,370.3200,41527
1782747780,370.3600,370.5150,369.9350,370.3200,31910
1782747840,370.3500,370.6200,370.1950,370.6050,42185
1782747900,370.5600,370.9100,370.3200,370.5200,47051
