epoch,o,h,l,c,v
1782739800,12.8500,12.8900,12.7400,12.7402,9126054
1782739860,12.7423,12.7500,12.6450,12.7027,1107204
1782739920,12.7072,12.7464,12.6800,12.6819,689280
1782739980,12.6800,12.6850,12.6200,12.6301,526857
1782740040,12.6390,12.7700,12.6301,12.7599,610072
1782740100,12.7500,12.7850,12.7400,12.7650,591267
1782740160,12.7696,12.7800,12.7000,12.7200,515573
1782740220,12.7207,12.7300,12.6600,12.6920,473566
1782740280,12.6921,12.7000,12.6600,12.6818,290134
1782740340,12.6900,12.7100,12.6700,12.7006,350529
1782740400,12.7050,12.7300,12.6800,12.7200,850805
1782740460,12.7150,12.7500,12.7000,12.7350,235950
1782740520,12.7300,12.7400,12.7101,12.7300,195459
1782740580,12.7300,12.7301,12.6600,12.6924,725313
1782740640,12.6900,12.7600,12.6900,12.7396,456536
1782740700,12.7392,12.7500,12.6903,12.7226,240093
1782740760,12.7200,12.7300,12.6716,12.6810,346137
1782740820,12.6800,12.7397,12.6750,12.6882,436992
1782740880,12.6800,12.6900,12.6401,12.6502,366419
1782740940,12.6579,12.6600,12.6000,12.6250,740513
1782741000,12.6200,12.6350,12.5800,12.6200,586691
1782741060,12.6200,12.6600,12.6200,12.6398,605436
1782741120,12.6303,12.6600,12.6200,12.6222,309344
1782741180,12.6287,12.6300,12.5750,12.5800,344152
1782741240,12.5750,12.5800,12.5200,12.5200,736129
1782741300,12.5250,12.5250,12.4650,12.4750,1160559
1782741360,12.4750,12.4800,12.4400,12.4450,933560
1782741420,12.4403,12.4500,12.3800,12.4250,1145049
1782741480,12.4250,12.4800,12.4100,12.4600,534600
1782741540,12.4664,12.4800,12.4000,12.4650,384439
1782741600,12.4650,12.4700,12.4121,12.4400,263584
1782741660,12.4450,12.4500,12.3900,12.4111,976342
1782741720,12.4150,12.4200,12.3700,12.3850,538437
1782741780,12.3850,12.4200,12.3800,12.4010,524833
1782741840,12.4000,12.4273,12.3850,12.3950,451704
1782741900,12.3950,12.4250,12.3950,12.4050,607235
1782741960,12.4050,12.4492,12.3800,12.3800,593998
1782742020,12.3850,12.3900,12.3400,12.3420,494031
1782742080,12.3450,12.3600,12.3050,12.3550,1464203
1782742140,12.3550,12.3899,12.3300,12.3400,792973
1782742200,12.3400,12.3550,12.3000,12.3100,507040
1782742260,12.3200,12.3400,12.3000,12.3300,410084
1782742320,12.3250,12.3386,12.2350,12.2350,2293937
1782742380,12.2393,12.2450,12.2100,12.2251,701355
1782742440,12.2250,12.2400,12.1800,12.1986,995037
1782742500,12.1900,12.2300,12.1600,12.2250,938210
1782742560,12.2300,12.2600,12.1950,12.1950,864877
1782742620,12.2000,12.2300,12.1801,12.1950,588081
1782742680,12.1950,12.2100,12.1700,12.1950,346891
1782742740,12.1950,12.2500,12.1900,12.2467,496474
1782742800,12.2500,12.2550,12.1900,12.2050,603222
1782742860,12.2072,12.2500,12.1800,12.2400,406274
1782742920,12.2500,12.2900,12.2401,12.2600,377817
1782742980,12.2500,12.2600,12.2150,12.2550,182863
1782743040,12.2550,12.3100,12.2450,12.2900,330416
1782743100,12.2900,12.3500,12.2800,12.3200,477739
1782743160,12.3150,12.3800,12.3150,12.3650,553812
1782743220,12.3613,12.4200,12.3613,12.4150,300040
1782743280,12.4120,12.4500,12.4001,12.4450,260557
1782743340,12.4450,12.4800,12.4450,12.4700,317005
1782743400,12.4650,12.5100,12.4600,12.4897,406187
1782743460,12.4850,12.4900,12.4613,12.4750,175028
1782743520,12.4750,12.4900,12.4200,12.4250,436418
1782743580,12.4250,12.4600,12.4000,12.4550,483156
1782743640,12.4550,12.4650,12.4250,12.4347,192174
1782743700,12.4400,12.4650,12.4300,12.4360,227573
1782743760,12.4300,12.4400,12.4100,12.4100,256265
1782743820,12.4150,12.4250,12.3900,12.4150,317760
1782743880,12.4100,12.4400,12.4100,12.4250,179773
1782743940,12.4250,12.4500,12.4000,12.4150,112755
1782744000,12.4150,12.4400,12.4100,12.4200,143497
1782744060,12.4200,12.4400,12.4100,12.4100,87008
1782744120,12.4100,12.4350,12.4100,12.4225,154253
1782744180,12.4212,12.4300,12.4100,12.4150,137378
1782744240,12.4200,12.4300,12.3900,12.4000,219542
1782744300,12.4100,12.4150,12.3900,12.3927,127816
1782744360,12.3950,12.4050,12.3450,12.3600,533602
1782744420,12.3600,12.3900,12.3500,12.3650,481758
1782744480,12.3600,12.4099,12.3500,12.3850,197128
1782744540,12.3850,12.4600,12.3800,12.4550,213868
1782744600,12.4599,12.4900,12.4518,12.4838,132552
1782744660,12.4865,12.5000,12.4700,12.4899,286988
1782744720,12.4800,12.4900,12.4650,12.4750,122354
1782744780,12.4750,12.5100,12.4600,12.5000,152943
1782744840,12.5050,12.5600,12.5000,12.5400,359135
1782744900,12.5450,12.5600,12.5000,12.5600,588982
1782744960,12.5601,12.5850,12.5550,12.5775,211582
1782745020,12.5750,12.5900,12.5600,12.5750,1576910
1782745080,12.5750,12.5998,12.5600,12.5799,204920
1782745140,12.5750,12.6050,12.5700,12.6000,236082
1782745200,12.5950,12.6200,12.5900,12.6050,285602
1782745260,12.6000,12.6300,12.5900,12.6250,217481
1782745320,12.6250,12.6499,12.6150,12.6200,409121
1782745380,12.6250,12.6500,12.6100,12.6399,153368
1782745440,12.6300,12.6400,12.6100,12.6300,149344
1782745500,12.6350,12.6700,12.6200,12.6690,291500
1782745560,12.6650,12.6750,12.6000,12.6550,450711
1782745620,12.6550,12.7100,12.6500,12.7050,330920
1782745680,12.7100,12.7500,12.7000,12.7441,160317
1782745740,12.7400,12.7500,12.7301,12.7311,177166
1782745800,12.7350,12.7492,12.7200,12.7364,238151
1782745860,12.7350,12.7351,12.7100,12.7150,190922
1782745920,12.7150,12.7400,12.7111,12.7250,187750
1782745980,12.7250,12.7700,12.7250,12.7601,348257
1782746040,12.7650,12.8000,12.7500,12.7950,171416
1782746100,12.7950,12.8100,12.7800,12.8050,288871
1782746160,12.8100,12.8100,12.7650,12.7790,148957
1782746220,12.7766,12.7766,12.7600,12.7600,105586
1782746280,12.7650,12.7900,12.7500,12.7700,221837
1782746340,12.7679,12.7700,12.7400,12.7697,187076
1782746400,12.7600,12.7700,12.7550,12.7650,120045
1782746460,12.7650,12.8100,12.7650,12.8050,284541
1782746520,12.8050,12.8100,12.7800,12.8000,326843
1782746580,12.7950,12.8000,12.7801,12.7900,134670
1782746640,12.7900,12.7950,12.7650,12.7650,154451
1782746700,12.7700,12.7800,12.7600,12.7600,140148
1782746760,12.7633,12.7700,12.7600,12.7650,205549
1782746820,12.7668,12.7669,12.7500,12.7501,172678
1782746880,12.7550,12.7700,12.7500,12.7574,269347
1782746940,12.7500,12.8100,12.7500,12.8000,246295
1782747000,12.7950,12.8399,12.7900,12.8200,148111
1782747060,12.8200,12.8200,12.8100,12.8100,93543
1782747120,12.8199,12.8200,12.8014,12.8093,96328
1782747180,12.8050,12.8200,12.8000,12.8150,148438
1782747240,12.8150,12.8300,12.8111,12.8150,82444
1782747300,12.8100,12.8150,12.8000,12.8150,108234
1782747360,12.8150,12.8300,12.8100,12.8115,105751
1782747420,12.8150,12.8600,12.8150,12.8493,157187
1782747480,12.8490,12.8600,12.8300,12.8350,77471
1782747540,12.8350,12.8399,12.8200,12.8399,83464
1782747600,12.8350,12.8400,12.8200,12.8400,86420
1782747660,12.8351,12.8400,12.8100,12.8331,295902
1782747720,12.8331,12.8500,12.8324,12.8400,100093
1782747780,12.8400,12.8500,12.8300,12.8480,102669
1782747840,12.8450,12.8700,12.8450,12.8619,105563
1782747900,12.8600,12.8700,12.8600,12.8690,35754
1782747960,12.8650,12.8650,12.8300,12.8350,125956
1782748020,12.8380,12.8571,12.8300,12.8500,369428
1782748080,12.8450,12.8500,12.8300,12.8401,85141
1782748140,12.8450,12.8500,12.8400,12.8500,27471
1782748200,12.8450,12.8550,12.8300,12.8401,193593
1782748260,12.8450,12.8500,12.8250,12.8300,133180
1782748320,12.8250,12.8300,12.8200,12.8201,88210
1782748380,12.8250,12.8400,12.8100,12.8200,310884
