epoch,o,h,l,c,v
1776951000,255.3900,255.5100,253.8300,255.0000,1061869
1776951300,254.9800,255.3800,254.5300,255.3000,385489
1776951600,255.2800,256.1100,254.9000,254.9600,636278
1776951900,254.9500,255.6500,254.7700,255.2600,389323
1776952200,255.2600,255.5800,254.9000,255.2000,343076
1776952500,255.2200,256.2800,255.1600,255.2700,564223
1776952800,255.2500,256.1600,254.6500,255.3400,567749
1776953100,255.3500,255.3500,254.4400,254.8700,347812
1776953400,254.8600,255.2000,254.4800,254.5500,342557
1776953700,254.5600,255.3700,254.5600,255.0000,224070
1776954000,255.0200,255.5500,254.6700,255.3700,323165
1776954300,255.3700,255.7400,255.3000,255.6900,250429
1776954600,255.7100,256.8900,255.7000,256.6500,736278
1776954900,256.6700,257.1600,256.4400,256.9100,520866
1776955200,256.9000,257.0500,256.3200,256.6200,303302
1776955500,256.6500,256.9900,256.6200,256.8600,268510
1776955800,256.8600,257.3000,256.7800,257.2800,358716
1776956100,257.2800,257.7900,257.2600,257.5700,436845
1776956400,257.5800,258.1500,257.5800,257.9800,575946
1776956700,257.9800,258.3300,257.8500,258.2800,395348
1776957000,258.2900,258.7900,257.9300,258.4700,521293
1776957300,258.4800,258.5200,258.1500,258.1800,259569
1776957600,258.1900,258.2500,257.7700,257.7700,354349
1776957900,257.7600,257.8000,257.3100,257.3500,286290
1776958200,257.3500,257.5500,257.0400,257.4600,216289
1776958500,257.4200,257.6600,257.3500,257.6600,185900
1776958800,257.6400,258.0200,257.5700,257.8800,218406
1776959100,257.8800,257.8800,256.9000,257.0700,322818
1776959400,257.0700,257.0900,256.5300,256.7000,239820
1776959700,256.6900,257.0400,256.6100,256.7400,186114
1776960000,256.7100,256.9700,256.6300,256.6400,118656
1776960300,256.6400,256.8000,256.5100,256.6600,156697
1776960600,256.6700,256.8400,256.5400,256.6600,148226
1776960900,256.6400,256.7500,256.5000,256.5800,236259
1776961200,256.5700,256.8800,256.5200,256.8600,181340
1776961500,256.8700,257.0800,256.8600,256.9600,208632
1776961800,256.9500,257.1500,256.7000,257.1400,142260
1776962100,257.1400,257.2200,256.8900,256.9500,130805
1776962400,256.9700,257.0900,256.8900,257.0200,85830
1776962700,257.0000,257.0600,256.7700,256.9100,126201
1776963000,256.9000,256.9600,256.5400,256.5400,101563
1776963300,256.5400,256.8000,256.5100,256.5900,94784
1776963600,256.6000,256.7000,255.9400,256.3600,348354
1776963900,256.3500,256.3500,255.6300,255.6300,238461
1776964200,255.6100,256.1000,255.4500,255.8000,192646
1776964500,255.8100,255.8100,255.0500,255.2100,204566
1776964800,255.2000,255.3800,254.9900,255.0700,270020
1776965100,255.1300,255.3600,254.5800,254.7400,254785
1776965400,254.7300,255.2300,254.4900,255.1800,127522
1776965700,255.1600,255.4200,254.2700,254.3500,206410
1776966000,254.3700,254.3800,253.4100,253.7100,349058
1776966300,253.7300,254.0000,253.0700,253.8300,381552
1776966600,253.8100,255.1000,253.4400,254.5600,457932
1776966900,254.5500,255.0900,254.3600,254.6400,241882
1776967200,254.6200,255.2600,254.4100,255.1300,240093
1776967500,255.1100,255.4100,254.9700,254.9700,183959
1776967800,254.9900,255.3900,254.9000,255.1400,161549
1776968100,255.1600,255.3900,255.0700,255.2300,115629
1776968400,255.2400,255.4100,254.9900,255.2200,170035
1776968700,255.2200,255.3800,255.0700,255.3200,113005
1776969000,255.3200,255.5100,255.2800,255.4600,129356
1776969300,255.4400,255.7700,255.4400,255.5600,169599
1776969600,255.5800,255.6400,255.1500,255.4700,116305
1776969900,255.4600,255.5200,255.3100,255.3500,117590
1776970200,255.3400,255.5800,255.1700,255.4700,104035
1776970500,255.4800,255.5000,254.8300,255.0000,121327
1776970800,255.0000,255.1900,254.8900,255.1200,101220
1776971100,255.1500,255.4100,255.1400,255.3600,90195
1776971400,255.3600,255.4500,255.2500,255.4400,103216
1776971700,255.4500,255.6900,255.4500,255.5500,200568
1776972000,255.5500,255.7300,255.3800,255.7300,174856
1776972300,255.7300,255.8700,255.6500,255.6500,190216
1776972600,255.6700,255.9700,255.4900,255.4900,186366
1776972900,255.4900,255.6200,255.2500,255.5500,192183
1776973200,255.5600,255.8300,255.4400,255.5100,181918
1776973500,255.5000,255.6500,255.3300,255.4200,194789
1776973800,255.4300,255.4400,254.7000,254.8100,496288
1776974100,254.8000,255.1800,254.4900,255.1200,1258791
1777037400,259.9800,260.7000,257.6800,260.6300,2759601
1777037700,260.6100,260.8700,259.2900,260.6300,1315991
1777038000,260.6500,260.7400,258.6400,259.1200,836901
1777038300,259.1200,259.3700,258.4000,259.3500,727489
1777038600,259.3100,259.4800,258.1800,258.5100,551170
1777038900,258.5200,259.3800,258.2700,259.0500,603210
1777039200,259.0200,259.0700,258.4000,258.9000,400709
1777039500,258.8800,259.6300,258.7100,259.4700,386695
1777039800,259.4800,260.3000,259.4100,260.2000,780473
1777040100,260.2000,260.6800,259.8900,260.5800,620801
1777040400,260.5800,261.5500,260.4000,261.3800,848153
1777040700,261.4000,261.4600,260.6600,260.7500,596243
1777041000,260.7400,260.9300,259.8300,260.2400,535518
1777041300,260.2500,260.2700,259.7200,259.9400,300995
1777041600,259.9400,260.0700,259.6600,259.6800,275785
1777041900,259.6500,260.5400,259.6400,259.9700,345872
1777042200,259.9800,260.0500,259.7100,259.9500,185616
1777042500,259.9400,260.0900,259.3800,259.6700,299116
1777042800,259.6900,260.0900,259.6000,260.0400,256611
1777043100,260.0400,260.5500,260.0200,260.5300,324043
1777043400,260.5100,260.7500,260.2700,260.6100,260027
1777043700,260.6000,261.1500,260.4900,261.1300,358011
1777044000,261.1400,261.8200,261.0500,261.6300,618100
1777044300,261.6300,261.7800,261.3300,261.4000,392520
1777044600,261.4100,261.9000,261.2600,261.6100,373227
1777044900,261.6000,261.7700,261.4900,261.7200,306300
1777045200,261.7000,262.3500,261.6200,262.2800,514366
1777045500,262.2700,262.4900,262.0100,262.3100,391665
1777045800,262.3000,262.8000,262.3000,262.7000,377789
1777046100,262.7000,263.0000,262.6400,262.9400,337525
1777046400,262.9300,262.9700,262.4400,262.8500,333904
1777046700,262.8500,262.9000,262.1200,262.2800,270233
1777047000,262.2800,262.6200,262.1700,262.5400,165876
1777047300,262.5100,263.1300,262.3500,262.7500,465541
