epoch,o,h,l,c,v
1776951000,1439.2400,1445.1400,1435.2800,1436.0200,71972
1776951300,1436.5600,1441.1400,1434.3900,1437.9700,29533
1776951600,1438.6100,1444.2500,1437.8100,1443.0700,19917
1776951900,1442.6400,1442.9300,1438.6700,1440.8600,16217
1776952200,1440.8700,1450.0000,1440.6500,1445.9400,21041
1776952500,1445.3200,1445.3200,1437.5600,1438.6300,16408
1776952800,1438.7400,1441.9800,1436.4600,1440.4800,14769
1776953100,1440.3200,1443.7900,1437.3700,1443.1900,9250
1776953400,1443.6200,1444.2100,1437.6800,1438.3200,9510
1776953700,1439.4000,1442.6100,1438.0000,1439.2700,9474
1776954000,1439.4200,1444.8500,1439.3800,1444.5600,15095
1776954300,1444.0800,1446.0400,1442.7000,1444.2000,15567
1776954600,1444.8900,1447.8800,1444.8900,1446.0000,6414
1776954900,1445.9800,1448.0000,1442.2600,1442.7500,7224
1776955200,1442.0700,1442.5500,1438.2100,1439.6000,5927
1776955500,1439.9000,1441.3200,1437.6800,1437.6800,14308
1776955800,1437.2400,1439.9500,1436.7100,1437.8500,10459
1776956100,1438.6700,1441.6700,1438.6700,1440.3200,4671
1776956400,1440.3800,1442.5000,1439.5600,1442.2100,12272
1776956700,1441.6500,1443.3000,1437.9700,1439.0600,7065
1776957000,1439.2500,1442.7800,1438.9100,1442.0700,4381
1776957300,1441.7900,1441.8100,1439.5800,1441.1600,4849
1776957600,1440.2200,1441.0400,1438.0000,1438.4000,5567
1776957900,1438.4700,1439.0500,1435.9200,1436.0700,5471
1776958200,1436.0100,1436.6700,1433.1200,1433.9200,14098
1776958500,1433.3900,1434.4400,1431.2300,1432.9100,18739
1776958800,1433.0000,1435.3800,1432.3300,1433.6300,4759
1776959100,1433.6300,1433.6300,1429.0800,1432.1400,9543
1776959400,1431.0000,1432.4400,1429.6100,1429.8000,14732
1776959700,1430.0000,1433.4300,1429.5900,1431.8900,8793
1776960000,1431.5000,1431.5100,1427.0000,1427.9500,6859
1776960300,1427.8900,1430.3100,1427.8000,1430.2200,4048
1776960600,1430.5000,1431.1300,1427.0700,1428.4600,15035
