epoch,o,h,l,c,v
1776951000,153.2800,154.1500,153.0600,153.5300,227147
1776951300,153.5700,153.9100,153.4700,153.8300,105077
1776951600,153.8400,154.1400,153.7000,154.1000,74108
1776951900,154.0000,154.1600,153.7200,154.0400,52130
1776952200,154.0400,154.1700,153.8300,154.0500,264952
1776952500,154.0500,154.0600,153.6600,153.6700,182058
1776952800,153.6700,153.7700,153.0000,153.6100,159976
1776953100,153.5500,153.6800,153.2000,153.4700,54671
1776953400,153.4800,153.5300,153.1600,153.2800,62057
1776953700,153.2700,153.6400,153.2000,153.3900,96132
1776954000,153.4300,154.0100,153.4300,153.9700,39165
1776954300,153.9100,154.4200,153.9000,153.9600,69653
1776954600,154.1100,154.4800,154.0500,154.2500,88748
1776954900,154.2400,154.8600,154.2000,154.4700,192964
1776955200,154.3600,154.3700,154.0100,154.2500,89993
1776955500,154.2500,154.3900,154.1000,154.2700,86791
1776955800,154.2400,154.4300,154.1300,154.4200,84758
1776956100,154.4200,154.5100,154.2900,154.4100,59126
1776956400,154.3900,154.5200,154.3000,154.3300,77092
1776956700,154.3400,154.3400,153.9300,154.1100,129221
1776957000,154.1000,154.3200,154.0800,154.2000,112662
1776957300,154.2100,154.7100,154.1900,154.5800,197212
1776957600,154.5400,154.6700,154.4800,154.5700,56663
1776957900,154.5500,154.5800,154.2700,154.2700,56802
1776958200,154.3200,154.5200,154.1100,154.2400,67813
1776958500,154.2300,154.2400,153.9500,154.0600,95273
1776958800,154.0300,154.1600,153.7900,153.8400,78186
1776959100,153.8500,153.8500,153.3500,153.5800,84405
1776959400,153.5500,153.5700,153.0700,153.1300,163902
1776959700,153.1100,153.6800,153.0900,153.6400,58950
1776960000,153.7100,153.7400,153.0600,153.0600,62479
1776960300,153.0600,153.2900,152.9400,153.0600,76529
1776960600,153.0600,153.2800,152.9600,153.0700,61370
1776960900,153.0900,153.2900,152.9900,153.1000,57653
1776961200,153.0900,153.1300,152.9100,153.0700,70350
1776961500,153.0400,153.2200,152.9800,153.0500,80146
1776961800,153.0600,153.6300,153.0000,153.5600,62154
1776962100,153.5900,153.7400,153.4500,153.5300,60204
1776962400,153.5700,153.6600,153.4700,153.6600,36780
1776962700,153.6500,153.7400,153.3800,153.4100,58973
1776963000,153.4000,153.6000,153.3300,153.3800,47212
1776963300,153.3700,153.4100,152.9300,153.0600,144333
1776963600,153.0700,153.2700,152.0800,152.2900,285753
1776963900,152.2600,152.2700,151.1100,151.1400,176654
1776964200,151.0700,151.1500,150.5900,150.7000,258665
1776964500,150.7000,150.7000,149.5100,149.7600,271015
1776964800,149.7400,150.0900,149.2100,150.0300,224300
1776965100,150.0400,150.8900,149.9100,150.1200,153650
1776965400,150.1200,150.6000,149.9000,150.5600,216708
1776965700,150.5800,150.7600,149.7000,149.7500,179337
1776966000,149.7700,149.7800,148.6100,148.8100,288676
1776966300,148.8100,149.1700,148.0600,148.9800,365437
1776966600,148.9600,150.4400,148.4600,149.8800,535752
1776966900,149.9600,151.0300,149.8700,150.9500,193027
1776967200,150.8900,151.4600,150.6500,150.9200,171866
1776967500,150.8600,151.3400,150.7000,150.9100,98939
1776967800,150.9300,151.6900,150.7400,151.0000,202546
1776968100,150.9800,151.3400,150.8100,151.0100,91404
1776968400,151.0400,151.2000,150.6800,151.0300,100852
1776968700,150.9900,151.1400,150.7800,151.1000,45746
1776969000,151.0900,151.3400,150.9200,151.0200,132455
1776969300,151.0200,151.2500,150.8600,150.9100,57267
1776969600,150.9200,150.9200,150.4300,150.6800,73552
1776969900,150.6600,150.6800,150.2700,150.3200,52449
1776970200,150.3200,150.6500,150.1300,150.4700,64104
1776970500,150.4700,150.4700,149.5200,149.9900,108018
1776970800,150.0000,150.1600,149.5400,149.6600,199600
1776971100,149.7000,150.3700,149.7000,150.2200,113552
1776971400,150.1900,150.2500,149.9100,150.0700,112915
1776971700,150.0800,150.3600,150.0800,150.2000,71011
1776972000,150.1900,150.2100,150.0100,150.0500,62931
1776972300,150.0600,150.1700,149.9600,150.0100,63724
1776972600,150.0100,150.2500,149.8800,149.9500,72441
1776972900,149.9500,149.9500,149.5700,149.7400,80751
1776973200,149.7700,150.0400,149.7700,149.8200,67634
1776973500,149.8200,150.2100,149.8000,150.2100,146050
1776973800,150.2100,150.4400,149.7200,150.4100,323727
1776974100,150.3900,150.7700,150.3300,150.5900,666029
1777037400,153.3300,153.4800,152.8200,153.0800,524177
1777037700,153.0600,153.6900,152.8400,153.6800,134940
1777038000,153.6500,153.9900,153.3500,153.5100,182405
1777038300,153.5600,153.7600,153.2800,153.5500,78229
1777038600,153.5700,153.7200,152.7300,152.8600,151338
1777038900,152.8300,153.0600,152.4100,152.9700,123095
1777039200,152.9700,153.4500,152.6400,153.3200,160137
1777039500,153.3400,153.7100,152.9900,153.5200,117620
1777039800,153.5700,153.9800,153.4000,153.5100,112349
1777040100,153.5200,153.7700,153.3900,153.6300,93747
1777040400,153.6200,153.7700,153.4500,153.5300,128564
1777040700,153.5300,153.6100,153.1500,153.3800,86236
1777041000,153.4000,153.5600,153.1500,153.4000,81253
1777041300,153.4400,153.9000,153.4100,153.7300,96405
1777041600,153.7300,153.8200,153.5900,153.6800,66079
1777041900,153.6900,153.8300,153.4500,153.6700,77869
1777042200,153.6600,153.7600,153.5100,153.6800,86482
1777042500,153.6900,153.9300,153.6800,153.7800,68456
1777042800,153.7700,154.2100,153.7300,154.1400,186265
1777043100,154.1400,154.3900,153.9300,154.3100,236450
1777043400,154.3100,154.4600,154.2300,154.2700,71553
1777043700,154.2600,154.2800,154.0400,154.0800,70076
1777044000,154.0500,154.3300,154.0200,154.3300,74992
1777044300,154.3300,154.4200,154.0400,154.3200,73372
1777044600,154.3600,154.5900,154.2400,154.2700,70335
1777044900,154.2600,154.2700,153.8900,153.9700,95604
1777045200,153.9800,154.8100,153.9400,154.6900,119998
1777045500,154.6800,155.1100,154.5100,154.8900,153146
1777045800,154.8800,155.2600,154.8600,155.1800,76371
1777046100,155.1700,155.1700,154.8500,155.0200,46299
1777046400,155.0000,155.1600,154.8000,155.1100,41910
1777046700,155.0900,155.5800,154.9200,155.0200,206573
1777047000,155.0100,155.1700,154.9500,155.0400,94423
1777047300,155.0400,155.0400,154.8500,154.9200,52575
1777047600,154.9200,155.2800,154.9100,155.2700,168514
1777047900,155.2700,155.3500,154.9600,155.0300,69875
1777048200,155.0300,155.2200,154.9800,155.0900,68987
1777048500,155.1100,155.1600,154.9100,154.9600,71622
1777048800,154.9500,154.9600,154.5600,154.7200,103308
1777049100,154.7200,154.8600,154.6100,154.6900,48919
1777049400,154.7200,154.8600,154.7200,154.8000,47111
1777049700,154.8100,154.9300,154.5900,154.8700,66724
1777050000,154.8700,155.0600,154.8000,154.9400,78568
1777050300,154.9300,155.0400,154.7600,154.8000,93600
1777050600,154.7900,154.9200,154.6900,154.6900,58770
1777050900,154.7000,154.7000,154.3900,154.4100,101020
1777051200,154.4300,154.4500,154.1700,154.4200,101428
1777051500,154.4200,154.6600,154.3700,154.5600,59877
1777051800,154.5500,154.6100,154.3000,154.4800,74975
1777052100,154.4800,154.7800,154.3500,154.3800,68738
1777052400,154.4100,154.5900,154.4000,154.5000,51511
1777052700,154.5200,154.5700,154.3600,154.4300,68358
1777053000,154.4300,154.9400,154.4200,154.6800,62528
1777053300,154.6700,154.8300,154.6000,154.6800,66903
1777053600,154.6800,154.6900,154.3700,154.4200,64027
1777053900,154.4100,154.4100,154.1100,154.1900,69876
1777054200,154.2100,154.2600,154.0100,154.1600,83885
1777054500,154.1700,154.2400,153.8900,154.0000,106875
1777054800,153.9900,154.0800,153.7900,153.9500,70404
1777055100,153.9700,154.1400,153.8600,153.9000,79677
1777055400,153.9100,154.2300,153.9000,154.1700,48006
1777055700,154.1400,154.3400,154.0800,154.3000,66930
1777056000,154.3000,154.4500,154.2500,154.3400,54667
1777056300,154.3300,154.4600,154.2400,154.3300,59387
1777056600,154.3300,154.5100,154.2300,154.4700,64185
1777056900,154.4700,154.5200,154.3800,154.3800,80145
1777057200,154.4000,154.5900,154.4000,154.4100,66595
1777057500,154.3900,154.4500,154.1400,154.1900,96143
1777057800,154.2100,154.3500,154.1500,154.3200,62765
1777058100,154.3400,154.4600,154.2100,154.2200,80771
1777058400,154.2300,154.2300,153.8700,153.9200,148973
1777058700,153.9300,154.1900,153.7900,154.0900,88191
1777059000,154.0800,154.2700,153.9600,154.1500,146478
1777059300,154.1400,154.1500,153.9000,154.0000,129674
1777059600,153.9900,154.2400,153.9000,154.0800,212980
1777059900,154.0700,154.1100,153.9600,153.9700,121377
1777060200,153.9900,154.2900,153.9100,154.2600,236342
1777060500,154.2800,154.8400,154.2200,154.3800,790184
1777296600,157.0100,157.1800,156.6800,156.9400,205297
1777296900,156.8700,157.5200,156.7800,157.3200,263740
1777297200,157.3100,157.3300,156.7300,156.8300,181975
1777297500,156.8200,156.8300,156.1100,156.2400,203168
1777297800,156.2400,156.6900,155.8100,156.6600,210777
1777298100,156.6700,157.8500,156.6700,157.6300,399635
1777298400,157.6100,157.8000,157.3600,157.6400,350634
1777298700,157.6600,158.1000,157.5100,157.7100,833472
1777299000,157.7000,158.0400,157.5000,157.8100,194021
1777299300,157.8100,157.8400,157.6000,157.6600,171265
1777299600,157.6500,157.7900,157.5500,157.6300,90110
1777299900,157.6100,157.7400,157.3300,157.3600,201275
1777300200,157.3400,157.3400,156.7400,157.2300,169681
1777300500,157.2500,157.8300,157.1900,157.6900,119428
1777300800,157.7300,157.7700,157.3200,157.5400,71151
1777301100,157.5600,157.5900,157.2100,157.3600,45948
1777301400,157.3400,157.4700,156.8500,156.9600,64307
1777301700,156.9900,157.0300,156.7600,156.9600,87378
1777302000,157.0100,157.0200,156.4200,156.5000,79905
1777302300,156.5000,156.8600,156.4200,156.8200,66700
1777302600,156.7900,156.9300,156.4100,156.4400,84630
1777302900,156.4100,156.9300,156.4100,156.5500,59398
1777303200,156.5300,156.6300,156.2000,156.3700,78438
1777303500,156.3700,156.6800,156.3000,156.6800,54472
1777303800,156.6800,156.8000,156.3400,156.4300,46691
1777304100,156.4200,156.6100,156.3500,156.5900,78920
1777304400,156.5900,156.8600,156.5700,156.7000,101039
1777304700,156.7000,156.9000,156.6200,156.6800,49226
1777305000,156.6400,156.9800,156.6400,156.7600,49768
1777305300,156.7700,156.8300,156.6000,156.7400,58683
1777305600,156.7600,156.8300,156.5000,156.6800,65475
1777305900,156.6800,156.8600,156.6400,156.7500,30164
1777306200,156.7600,156.9300,156.7100,156.8300,40501
1777306500,156.8100,157.0000,156.8000,156.8900,29156
1777306800,156.9000,156.9200,156.6300,156.6300,50454
1777307100,156.6000,156.7900,156.6000,156.7500,36508
1777307400,156.7600,156.9500,156.7400,156.8700,36627
1777307700,156.8600,156.9400,156.6800,156.7300,31865
1777308000,156.7200,156.7400,156.5900,156.6100,54527
1777308300,156.6200,156.8100,156.6200,156.7700,22291
1777308600,156.7600,156.7600,156.5300,156.5400,55004
1777308900,156.5300,156.5900,156.4500,156.4900,46800
1777309200,156.4900,156.5800,156.4600,156.4700,48137
1777309500,156.4700,156.6800,156.4600,156.6700,28681
1777309800,156.6600,156.7700,156.5900,156.7700,41737
1777310100,156.7800,156.8000,156.1600,156.2800,53775
1777310400,156.2700,156.6100,156.1800,156.5200,73762
1777310700,156.5500,156.7300,156.5000,156.6300,33191
1777311000,156.6300,156.8900,156.6200,156.8900,50074
