epoch,o,h,l,c,v
1776951000,202.4600,202.8800,201.1000,201.3100,3317658
1776951300,201.3100,201.9400,201.2900,201.9300,1499995
1776951600,201.9200,203.1400,201.8200,202.6600,2617510
1776951900,202.6600,203.8300,202.6200,203.7900,2666603
1776952200,203.7800,203.8000,203.1500,203.5700,1886915
1776952500,203.5800,203.6000,202.9000,203.0600,1389467
1776952800,203.0700,203.0900,202.2200,202.9800,1797649
1776953100,202.9800,203.2100,202.7200,202.8200,1236131
1776953400,202.8400,202.8500,202.0100,202.2300,1058172
1776953700,202.2200,202.8800,202.1200,202.1700,1293985
1776954000,202.1700,202.2800,201.8800,202.0100,1262408
1776954300,202.0100,202.2100,201.6200,201.7600,1126820
1776954600,201.7900,202.3300,201.7600,202.0400,1311594
1776954900,202.0300,202.4800,201.7800,202.0100,1130373
1776955200,202.0000,202.1200,201.7800,202.0200,710083
1776955500,202.0300,202.3800,202.0000,202.0200,942090
1776955800,202.0200,202.3000,201.7800,202.2300,919066
1776956100,202.2400,202.7600,202.2400,202.5600,1084167
1776956400,202.5600,203.0500,202.5600,202.9100,1182830
1776956700,202.9100,203.0200,202.7000,202.9700,671442
1776957000,202.9700,203.0900,202.8800,202.9300,622220
1776957300,202.9300,203.0300,202.8000,202.9800,620887
1776957600,202.9900,203.1100,202.8700,203.0100,551929
1776957900,203.0100,203.0200,202.4800,202.5100,864398
1776958200,202.5200,202.7200,202.2600,202.5300,820610
1776958500,202.5300,202.5500,202.2300,202.3500,712900
1776958800,202.3300,202.4400,202.0900,202.1100,775168
1776959100,202.1000,202.1300,201.4900,201.5400,1402269
1776959400,201.5400,201.6100,201.1800,201.2000,1163939
1776959700,201.2100,201.5700,201.1800,201.4900,873718
1776960000,201.4900,201.6600,201.1100,201.1300,859411
1776960300,201.1300,201.3200,200.9700,201.1100,949653
1776960600,201.1100,201.3600,200.9700,201.3000,827816
1776960900,201.2900,201.5000,201.1100,201.2000,684559
1776961200,201.2100,201.2300,200.9600,201.1600,646147
1776961500,201.1600,201.3400,200.9800,201.1100,665782
1776961800,201.1100,201.6500,201.0700,201.6100,581184
1776962100,201.6000,201.7300,201.5000,201.6100,654938
1776962400,201.6100,201.7100,201.5900,201.6600,446291
1776962700,201.6600,201.7700,201.4700,201.6100,520375
1776963000,201.6000,201.9100,201.5300,201.7000,555815
1776963300,201.6900,201.7500,201.3900,201.5000,467228
1776963600,201.5200,201.6300,200.7600,200.8700,997155
1776963900,200.8600,200.8800,200.1900,200.2400,959316
1776964200,200.2100,200.3100,199.8900,200.1800,1324836
1776964500,200.1600,200.1700,199.2100,199.3800,1307558
1776964800,199.3700,199.8600,199.2500,199.5300,1147393
1776965100,199.5500,199.9800,199.3600,199.4400,930776
1776965400,199.4500,199.9700,199.0400,199.9600,1179794
1776965700,199.9400,200.1400,199.1800,199.3200,1031164
1776966000,199.3300,199.3700,197.9300,198.1100,1962856
1776966300,198.1200,198.1600,197.2200,197.9800,2081445
1776966600,197.9700,198.7800,197.4400,198.3600,1751107
1776966900,198.3400,198.9800,198.2200,198.8900,1105754
1776967200,198.8800,199.4200,198.6600,199.0100,1029034
1776967500,198.9800,199.3200,198.8400,199.1400,741488
