epoch,o,h,l,c,v
1776951000,384.2500,385.0200,382.3000,383.0400,524664
1776951300,383.0000,384.5000,382.4900,384.4900,181004
1776951600,384.4700,387.0900,384.2300,386.3500,321173
1776951900,386.3900,387.2900,385.8900,386.6100,201573
1776952200,386.5900,387.2500,385.6400,386.6300,179197
1776952500,386.6100,386.6100,384.3900,384.9000,237849
1776952800,384.8800,385.7400,383.9500,385.4900,148113
1776953100,385.4400,385.4500,384.4900,384.8500,115717
1776953400,384.8500,385.0100,382.7200,383.1000,137502
1776953700,383.1300,384.4000,383.1000,383.4300,120216
1776954000,383.4500,384.8900,383.3000,384.7200,77399
1776954300,384.7200,385.3100,384.3700,385.1200,103159
1776954600,385.2000,385.7300,385.1600,385.2600,80153
1776954900,385.3500,386.3500,385.3300,385.6900,69811
1776955200,385.7200,386.3800,385.4000,386.3600,55805
1776955500,386.3700,386.5800,386.0000,386.3100,121888
1776955800,386.2000,386.8600,386.0200,386.8200,131258
1776956100,386.8400,387.8500,386.8400,387.7100,190462
1776956400,387.7300,388.6200,387.6900,388.2100,252310
1776956700,388.2700,388.7600,387.5500,388.1500,129922
1776957000,388.1800,388.6300,388.1000,388.4000,91596
1776957300,388.4700,388.5200,387.8500,388.3500,93214
1776957600,388.3900,388.5000,387.1000,387.1700,166008
1776957900,387.1900,387.2100,385.8100,385.8200,160284
1776958200,385.8700,387.2900,385.5200,386.8700,203120
1776958500,386.8600,387.0600,386.5100,386.9800,101675
1776958800,386.9700,387.2400,386.8700,387.1200,86777
1776959100,387.1600,387.3800,386.6000,387.0200,112084
1776959400,387.0100,387.0100,385.9400,386.0500,112964
1776959700,386.0500,386.5800,385.8600,386.4300,63698
1776960000,386.3400,386.4300,384.7500,384.7900,78730
1776960300,384.7800,385.1800,384.5600,384.8000,89764
1776960600,384.7900,385.5300,384.6600,385.1000,75340
1776960900,385.1800,385.6500,385.1700,385.4200,40471
1776961200,385.3900,385.6300,385.0000,385.6300,36744
1776961500,385.6400,386.3900,385.6200,386.2100,56136
1776961800,386.2500,386.8900,386.2500,386.8900,58744
1776962100,386.8900,387.0000,386.3300,386.4000,45047
1776962400,386.4300,386.4900,385.9700,386.3100,63645
1776962700,386.3100,386.4800,385.7000,385.9600,84623
1776963000,385.8900,386.1200,385.6100,385.6500,46992
1776963300,385.6100,385.7000,384.9600,385.2400,65110
1776963600,385.2400,385.7000,383.5400,383.7400,132507
1776963900,383.6300,383.7100,382.1200,382.2900,177392
1776964200,382.2300,382.4500,381.0800,381.8100,121201
1776964500,381.8800,381.8800,380.4000,380.7700,137394
1776964800,380.7700,381.1800,379.8000,380.5200,144986
1776965100,380.5800,381.6400,380.1100,380.6000,102009
1776965400,380.6800,381.9400,380.1000,381.9400,94057
1776965700,381.8100,382.1700,379.8600,379.9700,88385
1776966000,380.1000,380.1700,376.7400,377.0900,230053
1776966300,377.1400,377.5500,375.8100,377.3300,171514
1776966600,377.3700,379.3900,376.3600,379.2200,108729
1776966900,379.0500,380.0900,378.8900,379.9900,92180
1776967200,379.9600,381.1000,379.7600,380.0100,63182
1776967500,379.9700,380.6800,379.7600,380.2900,47835
1776967800,380.3400,381.0000,379.8500,380.1100,59808
1776968100,380.1500,380.4900,379.7900,380.1700,50994
1776968400,380.1600,380.2700,379.3000,379.6800,75606
1776968700,379.6700,380.3900,379.6600,380.3300,136607
1776969000,380.2800,380.9800,380.2800,380.7300,39043
1776969300,380.7300,381.1000,380.4200,380.6300,46664
