epoch,sym,side,kind,ref_px,target_px,stop_px
1784899800,amd,SHORT,C2,533.51,522.97,540.54
1784899800,asml,SHORT,C3,1787.2,1772.63,1796.92
1784899800,avgo,SHORT,C4,383.81,380.14,386.26
1784899800,dram,SHORT,C3,55.16,54.15,55.83
1784899800,googl,LONG,C2,320.23,322.08,319.0
1784899800,intc,SHORT,C3,98.41,96.79,99.49
1784899800,meta,SHORT,C2,603.07,599.19,605.66
1784899800,mu,SHORT,C2,949.03,931.03,961.03
1784899800,nok,SHORT,C3,9.31,9.18,9.4
1784899800,qcom,SHORT,C2,169.22,167.36,170.46
1784899800,smh,SHORT,C3,573.41,568.39,576.76
1784899800,spcx,SHORT,C2,114.69,112.84,115.92
1784899800,stx,LONG,C3,895.0,908.76,885.82
1784899800,tsm,SHORT,C3,410.62,407.62,412.62
1784899800,wdc,LONG,C3,542.2,551.08,536.28
1784900700,amd,SHORT,C3,521.34,511.16,528.13
1784900700,asml,SHORT,C3,1767.31,1750.06,1778.81
1784900700,intc,SHORT,C3,96.42,94.58,97.65
1784900700,lrcx,SHORT,C4,311.8,307.35,314.76
1784900700,qcom,SHORT,C2,166.8,164.77,168.15
1784900700,smh,SHORT,C3,565.5,559.75,569.33
1784900700,stx,LONG,C2,885.0,900.29,874.81
1784900700,tsla,LONG,C2,315.52,319.55,312.83
1784901600,dram,LONG,C3,54.27,55.4,53.52
1784901600,mu,LONG,C2,935.16,954.73,922.12
1784901600,nok,LONG,C2,9.26,9.4,9.16
1784901600,skhy,LONG,C2,159.3,163.25,156.67
1784901600,smh,LONG,C2,569.13,575.2,565.08
1784901600,sndk,LONG,C3,1497.24,1539.42,1469.12
1784901600,stx,LONG,C4,887.81,904.23,876.86
1784901600,tsla,LONG,C3,315.52,319.73,312.72
1784901600,wdc,LONG,C3,533.74,544.34,526.68
1784902500,amd,LONG,C2,531.27,542.31,523.91
1784902500,amzn,LONG,C2,231.59,232.88,230.73
1784902500,dram,LONG,C3,54.25,55.45,53.45
1784902500,mu,LONG,C2,935.04,955.58,921.34
1784902500,nok,LONG,C2,9.22,9.37,9.12
1784902500,skhy,LONG,C3,159.13,163.28,156.36
1784902500,smh,LONG,C2,568.06,574.54,563.74
1784902500,sndk,LONG,C2,1482.35,1527.42,1452.3
1784902500,stx,LONG,C2,882.98,901.01,870.96
1784902500,tsla,LONG,C2,312.55,316.99,309.59
1784902500,tsm,LONG,C2,406.66,410.52,404.09
1784902500,txn,LONG,C2,281.42,284.83,279.15
1784902500,wdc,LONG,C3,531.74,542.96,524.26
1784903400,aapl,SHORT,C2,329.41,327.37,330.77
1784903400,dram,LONG,C2,53.71,54.96,52.88
1784903400,mu,LONG,C2,926.47,947.89,912.19
1784903400,nok,LONG,C2,9.18,9.33,9.08
1784903400,qqq,SHORT,C2,684.36,680.7,686.8
1784903400,skhy,LONG,C2,157.79,162.03,154.97
1784903400,smh,SHORT,C2,562.89,556.03,567.46
1784903400,sndk,LONG,C2,1466.23,1512.79,1435.19
1784903400,stx,LONG,C2,869.56,889.09,856.54
1784903400,tsla,LONG,C2,309.71,314.41,306.58
1784903400,tsm,LONG,C2,403.61,407.69,400.89
1784903400,txn,SHORT,C3,277.52,273.88,279.95
1784903400,wdc,LONG,C2,524.36,536.32,516.39
1784904300,qcom,LONG,C3,168.46,170.87,166.86
1784904300,qqq,LONG,C2,688.28,692.31,685.59
1784904300,smh,LONG,C2,568.21,575.65,563.25
1784904300,spy,LONG,C2,740.59,743.04,738.96
1784904300,txn,LONG,C2,278.41,282.18,275.89
1784905200,aapl,SHORT,C2,331.27,329.11,332.71
1784906100,aapl,SHORT,C2,331.77,329.56,333.24
1784906100,nok,LONG,C2,9.28,9.45,9.17
1784907000,aapl,LONG,C2,332.82,335.12,331.28
1784907000,amd,LONG,C2,530.64,544.06,521.69
1784907000,spy,SHORT,C2,742.29,739.49,744.16
1784907900,aapl,SHORT,C2,333.05,330.73,334.6
1784907900,txn,LONG,C2,280.86,285.0,278.1
1784909700,intc,SHORT,C2,95.21,92.37,97.1
1784910600,nok,LONG,C2,9.19,9.36,9.07
1784911500,meta,SHORT,C2,600.56,595.84,603.71
1784912400,nok,LONG,C2,9.18,9.3,9.1
1784915100,aapl,SHORT,C2,332.65,331.07,333.7
1784915100,skhy,LONG,C2,156.11,158.11,154.77
1784916900,dram,LONG,C2,53.37,53.99,52.96
1784916900,googl,SHORT,C2,319.98,318.28,321.11
1784916900,mu,LONG,C2,916.08,927.58,908.42
1784916900,nvda,SHORT,C2,207.83,206.38,208.79
1784916900,smh,SHORT,C2,563.59,559.23,566.5
1784916900,stx,LONG,C2,860.29,873.66,851.38
1784917800,intc,SHORT,C2,94.13,92.73,95.06
1784917800,mu,LONG,C2,911.42,922.58,903.98
1784917800,nok,LONG,C2,9.13,9.21,9.08
1784917800,skhy,LONG,C2,153.84,155.54,152.71
1784917800,smh,SHORT,C2,560.93,556.71,563.74
1784917800,sndk,LONG,C2,1419.99,1444.52,1403.64
1784917800,wdc,LONG,C2,515.21,521.99,510.69
1784918700,asml,LONG,C2,1755.74,1768.85,1747.0
1784918700,dram,LONG,C2,53.19,53.76,52.81
1784918700,intc,LONG,C2,93.8,95.17,92.88
1784918700,nvda,LONG,C2,206.27,207.73,205.3
1784918700,skhy,LONG,C2,154.4,156.02,153.32
1784918700,smh,LONG,C2,561.21,565.32,558.47
1784918700,sndk,LONG,C2,1426.76,1451.59,1410.21
1784918700,stx,LONG,C2,844.55,858.56,835.21
1784918700,wdc,LONG,C2,514.12,520.59,509.8
1784919600,asml,LONG,C2,1744.65,1758.53,1735.4
1784919600,dram,LONG,C2,52.79,53.36,52.41
1784919600,lrcx,LONG,C2,302.42,305.84,300.14
1784919600,mu,LONG,C2,905.84,917.23,898.25
1784919600,nok,LONG,C2,9.09,9.16,9.05
1784919600,nvda,LONG,C2,205.1,206.65,204.07
1784919600,qqq,LONG,C2,682.67,685.19,680.99
1784919600,skhy,LONG,C2,153.3,154.97,152.19
1784919600,sndk,LONG,C2,1413.81,1439.01,1397.01
1784919600,tsm,SHORT,C3,401.64,398.87,403.49
1784919600,wdc,LONG,C2,510.17,516.41,506.01
1784920500,nok,LONG,C2,9.06,9.13,9.02
1784920500,spcx,SHORT,C2,114.31,113.22,115.04
1784920500,stx,LONG,C2,844.68,858.44,835.51
1784920500,tsm,LONG,C2,402.62,405.42,400.75
1784921400,intc,LONG,C2,92.59,94.05,91.62
1784921400,nok,LONG,C2,9.04,9.11,9.0
1784921400,stx,LONG,C2,845.87,859.11,837.04
1784922300,avgo,LONG,C2,381.92,384.57,380.15
