epoch,sym,side,kind,ref_px,target_px,stop_px
1782744480,AMD,LONG,ELASTIC,504.2850,507.6031,499.4392
1782745080,AMD,SHORT,ELASTIC,511.9800,507.9846,518.7103
1782746220,AMD,SHORT,ELASTIC,522.2150,516.3578,526.9087
1782749100,AMD,SHORT,ELASTIC,527.4400,524.2928,531.1689
1782751500,AMD,SHORT,ELASTIC,532.3850,530.0097,534.8446
1782753360,AMD,SHORT,ELASTIC,535.6800,533.1007,538.6849
1782755760,AMD,SHORT,ELASTIC,540.0850,538.2725,542.1287
1782757800,AMD,LONG,ELASTIC,537.6200,538.7989,535.6720
1782758460,AMD,SHORT,ELASTIC,539.8298,538.6155,541.8502
1782759480,AMD,LONG,ELASTIC,537.9150,539.3421,536.2607
1782760980,AMD,SHORT,ELASTIC,537.5850,536.6201,539.1832
1782762060,AMD,SHORT,ELASTIC,537.6400,536.8960,539.6352
1782830700,AMD,SHORT,ELASTIC,557.9700,557.4492,562.3201
1782832080,AMD,SHORT,ELASTIC,566.0500,559.8456,568.1516
1782833700,AMD,SHORT,ELASTIC,566.6100,565.4177,569.7568
1782836700,AMD,SHORT,ELASTIC,578.4900,577.7253,581.3998
1782838020,AMD,SHORT,ELASTIC,578.9400,577.5532,581.2980
1782839040,AMD,SHORT,ELASTIC,581.6350,580.4728,584.0351
1782840960,AMD,SHORT,ELASTIC,580.6700,579.5895,582.9324
1782842400,AMD,SHORT,ELASTIC,580.1700,579.2577,582.1065
1782844140,AMD,SHORT,ELASTIC,581.8750,580.2073,583.1114
1782843900,AMD,LONG,SQZ_BRK,581.8750,586.3272,579.6489
1782846060,AMD,LONG,ELASTIC,581.8650,582.4873,580.0132
1782847380,AMD,SHORT,ELASTIC,583.8750,583.2773,585.6784
1782847860,AMD,LONG,ELASTIC,582.8900,583.3191,581.2425
1782916440,AMD,LONG,ELASTIC,552.2900,555.3154,549.7020
1782918240,AMD,SHORT,ELASTIC,555.7992,551.1384,558.8740
1782920880,AMD,LONG,ELASTIC,552.4900,554.6077,549.9804
1782923040,AMD,SHORT,ELASTIC,552.1489,550.7874,554.3733
1782925260,AMD,SHORT,ELASTIC,552.8400,551.6158,555.1415
1782925620,AMD,LONG,ELASTIC,550.0350,551.4379,547.5414
1782926460,AMD,SHORT,ELASTIC,553.2699,551.1293,555.0412
1782926400,AMD,LONG,SQZ_BRK,554.5800,560.0673,551.8363
1782928080,AMD,LONG,ELASTIC,550.9100,552.3621,549.3694
1782929760,AMD,LONG,ELASTIC,549.0500,549.6779,546.4726
1782931380,AMD,LONG,ELASTIC,546.5300,547.8546,545.1049
1782932820,AMD,SHORT,ELASTIC,549.2900,545.8602,550.9352
1782934260,AMD,SHORT,ELASTIC,551.3600,550.0674,554.0368
1782934740,AMD,LONG,ELASTIC,546.0800,549.4306,543.8551
1783002600,AMD,LONG,ELASTIC,528.2800,536.2709,524.7992
1783005540,AMD,LONG,ELASTIC,515.2300,518.1883,512.7047
1783006620,AMD,SHORT,ELASTIC,525.7650,519.7287,528.3558
1783008180,AMD,LONG,ELASTIC,517.0650,520.2910,513.4543
1783010280,AMD,LONG,ELASTIC,512.0900,515.1285,509.7390
1783011480,AMD,LONG,ELASTIC,511.0900,513.7687,508.7586
1783013580,AMD,SHORT,ELASTIC,513.3000,512.7496,515.5841
1783013940,AMD,LONG,ELASTIC,510.9400,512.5357,508.7412
1783015860,AMD,SHORT,ELASTIC,514.3200,510.5883,516.7396
1783016700,AMD,LONG,SQZ_BRK,514.9650,520.7940,512.0505
1783017120,AMD,SHORT,ELASTIC,515.8000,513.2233,517.3173
1783018020,AMD,LONG,ELASTIC,513.2852,514.2248,510.0748
1783019280,AMD,LONG,ELASTIC,508.2250,512.6314,506.0340
1783020240,AMD,LONG,ELASTIC,506.3250,508.2288,504.7210
1783020660,AMD,SHORT,ELASTIC,510.2050,508.4060,512.7633
1783021860,AMD,SHORT,ELASTIC,512.3600,511.7292,516.2243
1783348140,AMD,LONG,ELASTIC,566.5900,568.4807,562.6045
1783349220,AMD,SHORT,ELASTIC,570.5600,567.8118,574.2147
1783350780,AMD,LONG,ELASTIC,563.6150,566.6838,561.0431
1783351920,AMD,SHORT,ELASTIC,571.1200,564.7368,573.7796
1783353360,AMD,LONG,ELASTIC,566.8700,567.2551,563.8128
1783354800,AMD,LONG,ELASTIC,562.4800,563.9711,560.4795
1783355940,AMD,LONG,ELASTIC,559.5500,561.8560,556.9548
1783357380,AMD,LONG,ELASTIC,558.1200,558.4548,555.6672
1783358520,AMD,LONG,ELASTIC,554.7900,557.4682,552.7467
1783361460,AMD,SHORT,ELASTIC,556.1900,554.1275,558.2553
1783362540,AMD,LONG,ELASTIC,554.3050,556.0721,552.8705
1783363620,AMD,SHORT,ELASTIC,554.8000,553.3856,556.7509
1783365060,AMD,SHORT,ELASTIC,554.6800,553.6580,555.7548
1783366920,AMD,SHORT,ELASTIC,557.6850,556.2381,559.6136
1783367460,AMD,LONG,ELASTIC,554.6900,556.7340,553.2479
1783434660,AMD,SHORT,ELASTIC,511.9700,508.9393,514.7300
1783436340,AMD,SHORT,ELASTIC,508.3408,506.1258,512.2654
1783437240,AMD,SHORT,ELASTIC,509.2750,507.7898,513.7035
1783438260,AMD,SHORT,ELASTIC,511.8300,508.5118,514.2274
1783439700,AMD,SHORT,ELASTIC,513.5700,512.2075,517.0187
1783441380,AMD,SHORT,ELASTIC,522.5100,520.0324,525.0466
1783446480,AMD,LONG,ELASTIC,521.6200,521.8723,518.9725
1783449840,AMD,LONG,ELASTIC,518.9634,521.3056,516.3397
1783449600,AMD,SHORT,SQZ_BRK,518.9634,514.1078,521.3912
1783450920,AMD,LONG,ELASTIC,515.8700,518.2074,514.0637
1783521420,AMD,LONG,ELASTIC,514.0361,515.2167,509.9806
1783526040,AMD,LONG,ELASTIC,501.5300,504.0451,498.5617
1783527060,AMD,SHORT,ELASTIC,506.3200,503.4676,508.5490
1783529460,AMD,SHORT,ELASTIC,511.5650,510.4400,513.6902
1783530960,AMD,LONG,ELASTIC,510.7650,511.3928,508.3314
1783531440,AMD,SHORT,ELASTIC,513.8600,511.6184,515.2636
1783532760,AMD,LONG,ELASTIC,511.7950,513.8481,509.5553
1783533840,AMD,SHORT,ELASTIC,513.6900,511.9430,515.6845
1783535100,AMD,LONG,ELASTIC,512.5500,513.5843,511.3850
1783537260,AMD,SHORT,ELASTIC,515.2900,514.4252,517.4201
1783539780,AMD,LONG,ELASTIC,514.3800,515.1399,512.1876
1783540320,AMD,SHORT,ELASTIC,516.7283,515.1386,518.3612
1783608840,AMD,LONG,ELASTIC,554.2300,556.8136,550.2590
1783611900,AMD,LONG,ELASTIC,553.2200,553.6771,550.6997
1783612320,AMD,SHORT,ELASTIC,555.2200,553.8346,557.2540
1783614180,AMD,LONG,ELASTIC,553.2100,555.0886,550.8881
1783614300,AMD,SHORT,SQZ_BRK,551.6150,546.1957,554.3247
1783617060,AMD,SHORT,ELASTIC,552.1700,551.8851,554.0807
1783618020,AMD,LONG,ELASTIC,550.0300,551.3626,548.5095
1783619520,AMD,SHORT,ELASTIC,549.2300,548.1042,551.0223
1783620300,AMD,LONG,ELASTIC,546.2500,548.1867,544.7911
1783621500,AMD,LONG,ELASTIC,545.6200,546.2202,544.2718
1783622460,AMD,LONG,ELASTIC,545.4000,545.6613,543.7242
1783622880,AMD,SHORT,ELASTIC,547.8200,546.1022,549.2093
1783623600,AMD,SHORT,SQZ_BRK,544.2400,540.2255,546.2472
1783623960,AMD,LONG,ELASTIC,545.3300,546.6581,542.5769
1783625460,AMD,LONG,ELASTIC,543.3800,544.5871,540.9117
1783625400,AMD,SHORT,SQZ_BRK,542.2350,538.2611,544.2219
1783626480,AMD,SHORT,ELASTIC,547.8200,544.4549,548.5089
1783693980,AMD,LONG,ELASTIC,546.6200,548.4404,540.8116
1783695420,AMD,LONG,ELASTIC,546.5550,548.0592,543.1383
1783696680,AMD,SHORT,ELASTIC,549.6200,546.7311,553.2284
1783698240,AMD,LONG,ELASTIC,548.3500,550.6936,544.2790
1783699260,AMD,SHORT,ELASTIC,551.2600,549.1414,553.3853
1783700520,AMD,SHORT,ELASTIC,554.6400,552.4788,556.8765
1783702620,AMD,LONG,ELASTIC,553.0900,554.1726,551.2873
1783703760,AMD,SHORT,ELASTIC,554.3700,553.0031,555.7968
1783705920,AMD,LONG,ELASTIC,558.8100,559.4627,557.5969
1783707540,AMD,LONG,ELASTIC,555.4682,556.8698,554.3302
1783709280,AMD,LONG,ELASTIC,554.6925,555.5791,553.5485
1783710300,AMD,SHORT,ELASTIC,555.7901,555.1917,557.3208
1783710660,AMD,LONG,ELASTIC,553.6200,555.0326,552.6614
1783711920,AMD,SHORT,ELASTIC,553.9450,553.2313,555.7470
1783713060,AMD,SHORT,ELASTIC,555.3200,554.4033,556.6479
1783953120,AMD,SHORT,ELASTIC,546.1550,541.6663,550.5091
1783954920,AMD,SHORT,ELASTIC,547.3500,544.5816,550.3573
1783956300,AMD,SHORT,ELASTIC,549.1850,547.9388,552.4530
1783957680,AMD,LONG,ELASTIC,543.6599,547.8378,541.9218
1783959060,AMD,SHORT,ELASTIC,544.2050,542.6885,546.0798
1783960380,AMD,LONG,ELASTIC,539.1750,540.9104,537.1381
1783961460,AMD,LONG,ELASTIC,535.3001,537.4688,532.1785
1783962600,AMD,SHORT,ELASTIC,539.3195,537.3086,541.6552
1783964100,AMD,SHORT,ELASTIC,539.5900,538.5290,542.0275
1783965000,AMD,LONG,ELASTIC,536.1500,537.9363,534.3460
1783965960,AMD,SHORT,ELASTIC,538.4231,536.9107,540.3119
1783967460,AMD,LONG,ELASTIC,536.5000,536.9583,533.6436
1783969140,AMD,LONG,ELASTIC,535.8800,536.5603,534.0990
1783970400,AMD,SHORT,SQZ_BRK,533.0150,528.8210,535.1120
1783971060,AMD,SHORT,ELASTIC,535.8699,534.0718,537.4500
1783972320,AMD,SHORT,ELASTIC,537.4999,535.3604,538.5215
1784039700,AMD,SHORT,ELASTIC,553.9100,551.1278,557.7339
1784041260,AMD,SHORT,ELASTIC,556.5000,552.6482,559.1792
1784043840,AMD,LONG,ELASTIC,564.1500,565.3003,560.8354
1784045100,AMD,LONG,ELASTIC,556.6800,560.8890,554.3792
1784048700,AMD,LONG,ELASTIC,554.3700,555.0429,552.3356
1784049720,AMD,SHORT,ELASTIC,557.1100,555.4174,558.6361
1784051520,AMD,SHORT,ELASTIC,556.1800,555.2309,557.5860
1784053200,AMD,SHORT,SQZ_BRK,553.4700,549.9410,555.2345
1784053500,AMD,LONG,ELASTIC,554.3600,554.4680,552.4078
1784054640,AMD,LONG,ELASTIC,552.9400,554.0964,551.3464
1784055720,AMD,LONG,ELASTIC,550.7799,552.1029,549.6835
1784057520,AMD,LONG,ELASTIC,548.6400,551.1991,545.7556
1784058780,AMD,SHORT,ELASTIC,549.0900,548.7701,552.2168
1784128620,AMD,LONG,ELASTIC,517.6900,519.7736,513.6442
1784130480,AMD,LONG,ELASTIC,516.0950,519.0920,513.2228
1784131680,AMD,LONG,ELASTIC,514.1200,516.3170,511.3781
1784133060,AMD,SHORT,ELASTIC,514.7200,513.3952,517.3390
1784133420,AMD,LONG,ELASTIC,511.2400,513.2987,509.5066
1784134380,AMD,SHORT,ELASTIC,518.4400,513.6294,520.5592
1784136060,AMD,SHORT,ELASTIC,523.9500,521.4379,526.6697
1784137800,AMD,SHORT,ELASTIC,529.9950,528.0350,532.1185
1784139420,AMD,LONG,ELASTIC,529.0468,531.0520,527.0313
1784140800,AMD,LONG,ELASTIC,529.2600,531.1267,527.7882
1784141940,AMD,LONG,ELASTIC,525.7050,527.6985,523.1584
