epoch,sym,side,kind,ref_px,target_px,stop_px
1782744480,MU,LONG,ELASTIC,1041.2375,1052.2406,1031.1254
1782747120,MU,SHORT,ELASTIC,1082.6700,1074.3026,1093.1394
1782748140,MU,SHORT,ELASTIC,1091.3250,1086.2643,1100.3795
1782749040,MU,SHORT,ELASTIC,1101.1851,1094.7498,1109.2131
1782750060,MU,SHORT,ELASTIC,1115.1600,1105.7405,1121.9144
1782751500,MU,SHORT,ELASTIC,1124.6301,1114.2988,1130.2639
1782752880,MU,LONG,ELASTIC,1121.5551,1123.9717,1114.9571
1782753240,MU,SHORT,ELASTIC,1126.4900,1123.8769,1132.4302
1782753840,MU,LONG,ELASTIC,1108.8398,1120.2528,1100.8494
1782756480,MU,SHORT,ELASTIC,1124.9200,1118.5809,1130.0394
1782757860,MU,LONG,ELASTIC,1121.4800,1124.6948,1115.6359
1782758580,MU,SHORT,ELASTIC,1133.0010,1126.4841,1140.2618
1782760620,MU,SHORT,ELASTIC,1133.9900,1129.9573,1139.0262
1782762240,MU,LONG,ELASTIC,1134.1801,1136.2600,1125.5759
1782830580,MU,LONG,ELASTIC,1146.1500,1149.2768,1140.3427
1782832860,MU,LONG,ELASTIC,1144.1700,1146.3562,1138.6935
1782834420,MU,SHORT,ELASTIC,1143.0100,1142.0197,1150.3344
1782835860,MU,SHORT,ELASTIC,1152.9500,1149.5945,1158.8688
1782837240,MU,LONG,ELASTIC,1151.3199,1158.2270,1146.7082
1782839040,MU,SHORT,ELASTIC,1154.5900,1152.1583,1160.7210
1782840480,MU,LONG,ELASTIC,1156.5400,1159.0294,1151.5213
1782842820,MU,LONG,ELASTIC,1150.9868,1154.6190,1145.5305
1782843000,MU,SHORT,SQZ_BRK,1146.3501,1135.6453,1151.7025
1782844380,MU,SHORT,ELASTIC,1149.3700,1147.5055,1153.6905
1782846000,MU,LONG,SQZ_BRK,1167.4200,1177.8491,1162.2055
1782846300,MU,SHORT,ELASTIC,1165.0350,1159.8680,1170.6073
1782847500,MU,LONG,ELASTIC,1161.1600,1164.9253,1156.4142
1782848940,MU,SHORT,ELASTIC,1165.2000,1162.6127,1169.0230
1782916140,MU,LONG,ELASTIC,1074.4600,1080.2070,1065.3833
1782917880,MU,LONG,ELASTIC,1048.4001,1056.8851,1042.8062
1782919140,MU,SHORT,ELASTIC,1063.6101,1057.5360,1070.7451
1782920760,MU,LONG,ELASTIC,1054.1400,1059.8716,1048.3006
1782922920,MU,SHORT,ELASTIC,1057.6250,1051.7399,1065.9766
1782925440,MU,LONG,ELASTIC,1048.7625,1050.9707,1042.1400
1782926580,MU,SHORT,ELASTIC,1056.4999,1049.2801,1061.0795
1782927900,MU,SHORT,SQZ_BRK,1043.4900,1031.7237,1049.3731
1782928800,MU,LONG,ELASTIC,1040.2677,1043.4719,1034.8435
1782930300,MU,SHORT,ELASTIC,1045.5699,1043.6839,1049.7057
1782932340,MU,SHORT,ELASTIC,1044.6550,1041.2557,1048.5081
1782932700,MU,LONG,SQZ_BRK,1056.1816,1067.8737,1050.3356
1782933780,MU,SHORT,ELASTIC,1060.3250,1055.5677,1064.9807
1782934920,MU,LONG,ELASTIC,1052.0000,1059.6315,1048.5316
1783003380,MU,LONG,ELASTIC,997.4600,1012.3853,991.3119
1783004880,MU,LONG,ELASTIC,983.7553,989.2242,970.9605
1783006080,MU,SHORT,ELASTIC,1001.7910,993.0323,1012.7032
1783007400,MU,LONG,ELASTIC,997.1150,1005.2665,990.2013
1783009080,MU,LONG,ELASTIC,982.0100,986.9086,975.7016
1783010100,MU,LONG,ELASTIC,973.3600,979.0959,965.1853
1783011420,MU,LONG,ELASTIC,970.1700,974.2231,961.5112
1783013820,MU,LONG,ELASTIC,965.6900,970.8257,958.9980
1783015680,MU,SHORT,ELASTIC,965.9900,959.4887,972.6821
1783017060,MU,SHORT,ELASTIC,973.7200,967.2108,979.5243
1783018020,MU,LONG,ELASTIC,970.3000,971.4598,962.7405
1783018380,MU,SHORT,ELASTIC,977.9400,972.3517,984.6299
1783019160,MU,LONG,ELASTIC,963.5950,972.1563,956.4003
1783020240,MU,LONG,ELASTIC,952.6050,959.7780,948.4781
