epoch,sym,side,kind,ref_px,target_px,stop_px
1783956120,SKHY,LONG,ELASTIC,156.7200,157.3422,155.0706
1783957260,SKHY,LONG,ELASTIC,154.9975,156.6554,153.4571
1783959300,SKHY,SHORT,ELASTIC,153.7750,153.0774,155.2096
1783960920,SKHY,SHORT,ELASTIC,154.6850,153.6132,155.7043
1783962600,SKHY,SHORT,ELASTIC,156.6900,155.4775,157.8405
1783963740,SKHY,SHORT,ELASTIC,156.7000,156.5450,158.2330
1783972020,SKHY,LONG,ELASTIC,152.0900,152.3070,150.8921
1783972380,SKHY,SHORT,ELASTIC,153.4700,152.6123,154.8202
1784038080,SKHY,LONG,ELASTIC,168.0900,169.7580,165.8430
1784041140,SKHY,SHORT,ELASTIC,174.8759,172.1331,176.9275
1784045220,SKHY,SHORT,ELASTIC,180.3900,179.2223,182.5625
1784046180,SKHY,SHORT,ELASTIC,185.2100,181.8579,187.2736
1784047800,SKHY,LONG,ELASTIC,183.0900,184.7163,180.5787
1784048700,SKHY,SHORT,ELASTIC,184.8100,183.2486,186.1925
1784051040,SKHY,SHORT,ELASTIC,185.4250,185.1548,187.5858
1784051820,SKHY,LONG,ELASTIC,183.4050,184.7614,182.2668
1784052900,SKHY,LONG,SQZ_BRK,188.4000,192.0927,186.5537
1784124480,SKHY,SHORT,ELASTIC,185.7900,183.0416,188.8919
1784125020,SKHY,LONG,ELASTIC,181.4666,184.1878,178.9313
1784127780,SKHY,LONG,ELASTIC,173.1800,174.0205,170.8454
1784128200,SKHY,SHORT,ELASTIC,175.3200,174.1360,177.4099
1784129640,SKHY,SHORT,ELASTIC,175.8750,174.4940,177.5720
1784130480,SKHY,LONG,ELASTIC,171.1900,174.0179,169.3353
1784131740,SKHY,LONG,ELASTIC,167.0200,170.1598,165.3171
1784134260,SKHY,SHORT,ELASTIC,172.8000,169.2743,173.7068
1784135280,SKHY,SHORT,ELASTIC,174.2150,173.0166,175.9030
1784136300,SKHY,SHORT,ELASTIC,175.6200,174.1332,176.8515
1784145060,SKHY,SHORT,ELASTIC,176.3050,174.8389,177.7677
1784211780,SKHY,LONG,ELASTIC,162.4800,164.4339,159.9839
1784213460,SKHY,LONG,ELASTIC,161.7450,162.8180,160.4822
1784215020,SKHY,LONG,ELASTIC,160.0000,161.3363,158.5501
1784216820,SKHY,LONG,ELASTIC,160.7100,162.1579,159.3833
1784217900,SKHY,SHORT,ELASTIC,162.5111,161.5222,163.9520
1784220480,SKHY,LONG,ELASTIC,159.7500,160.2746,158.3116
1784221620,SKHY,LONG,ELASTIC,158.7000,159.7433,157.4105
1784221800,SKHY,SHORT,SQZ_BRK,157.9250,154.4263,159.6743
1784222520,SKHY,LONG,ELASTIC,156.4019,158.0411,155.5017
1784223780,SKHY,LONG,ELASTIC,155.5200,156.4093,154.5398
1784230740,SKHY,SHORT,ELASTIC,156.6392,155.9707,157.3437
1784296380,SKHY,SHORT,ELASTIC,153.0200,148.6000,154.6318
1784298780,SKHY,LONG,ELASTIC,155.7400,157.6272,154.3123
1784300520,SKHY,LONG,ELASTIC,154.3900,155.3668,151.9606
1784301720,SKHY,SHORT,ELASTIC,155.6200,154.3803,156.9737
1784302680,SKHY,SHORT,ELASTIC,161.3100,157.1057,162.2344
1784303820,SKHY,SHORT,ELASTIC,164.0400,162.1828,165.4880
1784305560,SKHY,LONG,ELASTIC,162.0098,164.6399,160.5657
1784306940,SKHY,SHORT,ELASTIC,164.6400,163.2572,165.6672
1784308740,SKHY,LONG,ELASTIC,162.8450,164.4414,161.8615
1784310240,SKHY,LONG,ELASTIC,160.3700,162.0205,159.2103
1784317260,SKHY,LONG,ELASTIC,153.4300,154.1042,152.4227
1784555580,SKHY,LONG,ELASTIC,158.3199,160.4984,155.8422
1784556780,SKHY,LONG,ELASTIC,156.9999,158.2785,155.5189
1784559000,SKHY,LONG,ELASTIC,156.3100,156.8410,154.6928
1784560380,SKHY,SHORT,ELASTIC,156.3950,155.2788,157.6105
1784561760,SKHY,SHORT,ELASTIC,158.1400,157.3125,159.0918
1784563020,SKHY,SHORT,ELASTIC,157.9500,157.3467,158.8277
1784564280,SKHY,LONG,ELASTIC,157.0833,158.1430,156.1935
1784566200,SKHY,SHORT,ELASTIC,157.2900,157.0955,158.5407
1784567640,SKHY,LONG,ELASTIC,156.6200,156.9536,155.8498
1784569980,SKHY,SHORT,ELASTIC,156.9700,156.5444,157.5600
1784571600,SKHY,SHORT,SQZ_BRK,155.6300,153.9510,156.4695
1784573700,SKHY,SHORT,SQZ_BRK,154.2900,152.7160,155.0770
1784576400,SKHY,LONG,ELASTIC,152.2800,152.8357,151.6904
1784643660,SKHY,SHORT,ELASTIC,164.5000,163.1510,165.9474
1784646120,SKHY,SHORT,ELASTIC,166.7500,165.3716,168.4231
1784647740,SKHY,SHORT,ELASTIC,168.2500,167.9743,169.7294
1784648340,SKHY,LONG,ELASTIC,166.4900,167.4366,165.2661
1784649420,SKHY,LONG,ELASTIC,165.2400,165.8455,163.8631
1784650140,SKHY,SHORT,ELASTIC,166.2350,165.4949,167.4460
1784652720,SKHY,SHORT,ELASTIC,167.5800,166.9714,168.3444
1784654220,SKHY,SHORT,ELASTIC,168.4250,168.2205,169.3217
1784655120,SKHY,SHORT,ELASTIC,168.8800,168.3582,169.4064
1784656260,SKHY,SHORT,ELASTIC,170.9100,169.6408,171.7054
1784662680,SKHY,SHORT,ELASTIC,171.1850,170.4986,172.1439
1784728680,SKHY,SHORT,ELASTIC,168.1500,166.3243,169.3834
1784729760,SKHY,LONG,ELASTIC,166.9400,167.8019,165.5355
1784730120,SKHY,SHORT,ELASTIC,168.8000,167.6931,169.9963
1784731500,SKHY,LONG,ELASTIC,166.3650,167.4933,164.7841
1784732460,SKHY,SHORT,ELASTIC,167.6200,166.8408,168.9416
1784734020,SKHY,SHORT,ELASTIC,169.3450,168.7409,170.1863
1784734920,SKHY,LONG,ELASTIC,167.1900,168.5718,166.5228
1784737020,SKHY,SHORT,ELASTIC,169.1300,168.7710,170.6566
1784738280,SKHY,LONG,ELASTIC,167.9400,168.3371,167.1622
1784739420,SKHY,SHORT,ELASTIC,167.9300,167.6661,168.6757
1784741280,SKHY,LONG,ELASTIC,167.7450,168.3341,166.8870
1784741400,SKHY,SHORT,SQZ_BRK,167.0750,165.4321,167.8964
1784742660,SKHY,LONG,ELASTIC,166.3700,166.8264,165.7196
1784749560,SKHY,SHORT,ELASTIC,166.8800,166.4177,167.7448
1784816580,SKHY,SHORT,ELASTIC,176.2800,175.5150,177.7906
1784817180,SKHY,LONG,ELASTIC,174.2300,175.5550,173.2259
1784818560,SKHY,LONG,ELASTIC,171.9800,173.9820,171.1736
1784819580,SKHY,LONG,ELASTIC,169.9100,171.6840,168.5601
1784820480,SKHY,LONG,ELASTIC,169.0200,170.1320,167.1885
1784821980,SKHY,SHORT,ELASTIC,171.5800,170.6955,172.7089
1784824200,SKHY,SHORT,ELASTIC,173.8800,173.3810,175.4788
