epoch,sym,side,kind,ref_px,target_px,stop_px
1784728620,QQQ,SHORT,combo_elastic,707.6050,705.9922,708.0863
1784729760,QQQ,LONG,combo_elastic,706.5600,707.3682,705.6186
1784731320,QQQ,LONG,combo_elastic,706.2150,706.7425,705.2969
1784732340,QQQ,SHORT,combo_elastic,707.1900,706.4672,707.8541
1784734020,QQQ,SHORT,combo_elastic,709.4100,708.8761,709.9942
1784735580,QQQ,SHORT,combo_elastic,708.9600,708.6286,709.8409
1784737440,QQQ,LONG,combo_elastic,708.9999,709.2058,708.4897
1784738640,QQQ,LONG,combo_elastic,708.4000,708.8279,707.8984
1784741700,QQQ,LONG,combo_elastic,708.3600,708.7282,707.8688
1784742960,QQQ,LONG,combo_elastic,707.4700,708.2577,706.7224
1784743980,QQQ,LONG,combo_elastic,707.0600,707.4164,706.7223
1784745180,QQQ,LONG,combo_elastic,706.6201,706.9315,706.0875
1784746560,QQQ,SHORT,combo_elastic,707.3566,707.0871,707.9158
1784747700,QQQ,LONG,combo_elastic,706.8500,707.2343,706.2972
1784748540,QQQ,SHORT,combo_elastic,707.5004,707.1264,707.9750
1784749200,QQQ,LONG,combo_elastic,706.2900,706.9480,705.7404
1784817240,QQQ,LONG,combo_elastic,693.5400,694.6055,691.9755
1784819220,QQQ,LONG,combo_elastic,690.4400,691.5450,689.3161
1784820540,QQQ,LONG,combo_elastic,688.6300,689.4550,687.2940
1784822220,QQQ,SHORT,combo_elastic,691.1600,690.1110,692.2199
1784823840,QQQ,SHORT,combo_elastic,693.9100,692.6110,694.8537
1784825220,QQQ,LONG,combo_elastic,693.0900,694.1445,692.1016
1784826420,QQQ,LONG,combo_elastic,691.9400,692.4455,690.8560
1784827980,QQQ,LONG,combo_elastic,692.2700,692.8740,691.3803
1784832960,QQQ,LONG,combo_elastic,690.2600,690.7715,689.5116
1784834760,QQQ,SHORT,combo_elastic,691.3000,690.0975,692.0156
1784835780,QQQ,LONG,combo_elastic,689.6100,690.6695,689.0646
1784901360,QQQ,LONG,combo_elastic,685.2300,688.1820,684.2690
1784904960,QQQ,SHORT,combo_elastic,686.6800,684.9300,687.4299
1784906160,QQQ,SHORT,combo_elastic,689.8500,687.8860,691.7883
1784909280,QQQ,SHORT,combo_elastic,692.0000,691.0035,693.0876
1784910720,QQQ,LONG,combo_elastic,690.4500,691.1585,689.4004
1784913000,QQQ,LONG,combo_elastic,687.9800,688.8375,687.2776
1784914320,QQQ,SHORT,combo_elastic,689.8300,688.7765,690.5039
1784917320,QQQ,LONG,combo_elastic,686.6300,687.7390,686.0939
1784921340,QQQ,SHORT,combo_elastic,683.4700,683.0385,684.0466
