epoch,sym,side,kind,ref_px,target_px,stop_px
1784730180,SNDK,SHORT,combo_elastic,1585.5400,1577.8643,1606.6886
1784734380,SNDK,LONG,combo_elastic,1593.4900,1598.0963,1584.8310
1784735580,SNDK,SHORT,combo_elastic,1597.0900,1593.0238,1608.8341
1784736840,SNDK,SHORT,combo_elastic,1612.3500,1602.6727,1622.9239
1784738640,SNDK,LONG,combo_elastic,1600.1600,1610.4404,1594.9968
1784740800,SNDK,SHORT,combo_elastic,1616.6550,1613.5079,1624.1095
1784742180,SNDK,LONG,combo_elastic,1618.2100,1622.1741,1612.6044
1784744100,SNDK,LONG,combo_elastic,1590.6400,1598.7694,1583.8084
1784745120,SNDK,LONG,combo_elastic,1584.8850,1592.6593,1575.8012
1784746080,SNDK,SHORT,combo_elastic,1605.6899,1593.0969,1612.1649
1784747100,SNDK,SHORT,combo_captain,1611.6650,1607.5526,1618.3518
1784747640,SNDK,LONG,combo_elastic,1603.2600,1607.8992,1595.6197
1784748240,SNDK,SHORT,combo_elastic,1620.0900,1609.8966,1628.7066
1784749200,SNDK,LONG,combo_elastic,1605.4600,1615.2845,1597.8789
1784815200,SNDK,LONG,combo_captain,1611.9100,1629.2720,1591.8370
1784817480,SNDK,SHORT,combo_elastic,1642.8800,1635.2730,1657.1137
1784819700,SNDK,LONG,combo_elastic,1623.3200,1631.6155,1600.2996
1784821980,SNDK,SHORT,combo_elastic,1637.7000,1634.4215,1650.7616
1784825700,SNDK,LONG,combo_elastic,1664.5800,1681.6280,1656.0572
1784827260,SNDK,SHORT,combo_elastic,1672.9600,1670.0310,1690.0633
1784827980,SNDK,LONG,combo_elastic,1669.0100,1674.4895,1658.8077
1784829960,SNDK,LONG,combo_elastic,1664.3900,1670.4570,1656.7484
1784831940,SNDK,LONG,combo_captain,1658.4300,1662.0210,1648.8711
1784832960,SNDK,LONG,combo_elastic,1639.4600,1651.6440,1628.8984
1784835060,SNDK,SHORT,combo_elastic,1621.3200,1616.3015,1638.6176
1784835900,SNDK,LONG,combo_captain,1609.5700,1621.4580,1602.1202
1784904660,SNDK,SHORT,combo_elastic,1469.0100,1461.5740,1487.9869
1784906220,SNDK,SHORT,combo_elastic,1498.0000,1482.7570,1511.5627
1784909280,SNDK,SHORT,combo_elastic,1522.8400,1515.5225,1534.6313
1784909820,SNDK,LONG,combo_elastic,1502.8600,1515.6520,1495.3005
1784911140,SNDK,LONG,combo_captain,1496.7100,1504.6560,1487.2774
1784914500,SNDK,SHORT,combo_elastic,1499.0000,1490.5790,1508.9943
