epoch,sym,side,kind,ref_px,target_px,stop_px
1784728620,TSM,SHORT,combo_elastic,419.6600,418.5152,420.7683
1784729760,TSM,LONG,combo_elastic,418.4850,419.2652,416.6551
1784730120,TSM,SHORT,combo_elastic,420.0100,419.2057,421.4946
1784732460,TSM,SHORT,combo_elastic,421.4948,421.0276,422.8443
1784734380,TSM,LONG,combo_elastic,422.6600,423.7183,421.7758
1784735520,TSM,SHORT,combo_elastic,423.1900,422.5395,423.9303
1784738640,TSM,LONG,combo_elastic,422.2050,422.7956,421.2400
1784740620,TSM,LONG,combo_elastic,422.3700,422.4635,421.0270
1784742960,TSM,LONG,combo_elastic,421.5500,422.3130,420.9184
1784745300,TSM,LONG,combo_elastic,421.5500,421.8638,420.8734
1784746560,TSM,SHORT,combo_captain,422.2900,421.7937,422.9092
1784747940,TSM,SHORT,combo_elastic,423.0362,422.7420,423.6141
1784748720,TSM,LONG,combo_elastic,422.0900,422.8568,421.5252
1784816520,TSM,SHORT,combo_elastic,420.2900,419.1675,421.5056
1784817240,TSM,LONG,combo_elastic,417.0200,418.6405,415.1390
1784818920,TSM,LONG,combo_elastic,415.5300,416.5815,413.9234
1784820180,TSM,LONG,combo_captain,413.5900,414.4415,411.8060
1784821980,TSM,SHORT,combo_elastic,414.4700,413.6620,415.5767
1784823840,TSM,SHORT,combo_elastic,417.5700,416.2640,418.6512
1784824740,TSM,SHORT,combo_elastic,419.2900,417.9325,420.1256
1784826360,TSM,LONG,combo_elastic,416.5800,417.3530,415.5142
1784827980,TSM,LONG,combo_elastic,417.2900,417.7910,416.2212
1784829420,TSM,LONG,combo_elastic,415.5300,416.5415,414.7855
1784832600,TSM,LONG,combo_elastic,414.6000,415.1535,413.9341
1784834520,TSM,SHORT,combo_elastic,415.3700,414.6180,416.2538
1784902440,TSM,SHORT,combo_captain,407.7600,406.8145,409.5879
1784904060,TSM,LONG,combo_captain,403.2600,405.3020,402.3279
1784905140,TSM,SHORT,combo_captain,406.3000,404.2290,407.3411
1784906160,TSM,SHORT,combo_captain,406.8000,405.8575,408.7878
1784909160,TSM,SHORT,combo_elastic,408.4900,407.1445,409.3211
1784910780,TSM,LONG,combo_elastic,407.2500,408.1130,406.1459
1784914320,TSM,SHORT,combo_elastic,407.4200,406.6005,408.3136
1784916600,TSM,SHORT,combo_captain,407.3700,406.7135,408.7756
1784917920,TSM,LONG,combo_elastic,405.8600,406.7260,404.9538
1784921460,TSM,SHORT,combo_elastic,402.7200,401.7905,403.5722
