epoch,sym,side,kind,ref_px,target_px,stop_px
1779889500,AAPL,LONG,cambio_tend,310.86,,
1779991200,AAPL,LONG,cambio_tend,310.49,,
1780083900,AAPL,LONG,cambio_tend,311.73,,
1780580700,AAPL,LONG,cambio_tend,312.04,,
1780588800,AAPL,LONG,cambio_tend,310.53,,
1780666200,AAPL,LONG,cambio_tend,313.34,,
1780667100,AAPL,SHORT,iman,314.43,,
1780677000,AAPL,SHORT,cambio_tend,311.9,,
1780684200,AAPL,SHORT,cambio_tend,311.79,,
1780929900,AAPL,LONG,cambio_tend,314.07,,
1781271900,AAPL,SHORT,cambio_tend,291.68,,
1781530200,AAPL,LONG,cambio_tend,293.81,,
1781532900,AAPL,SHORT,iman,296.09,,
1781790300,AAPL,LONG,cambio_tend,297.98,,
1782135000,AAPL,LONG,cambio_tend,298.43,,
1782155700,AAPL,SHORT,cambio_tend,299.12,,
1782233100,AAPL,LONG,cambio_tend,298.69,,
1782315900,AAPL,LONG,cambio_tend,299.01,,
1782480600,AAPL,LONG,fuera_banda,276.94,,
1782750600,AAPL,SHORT,cambio_tend,280.28,,
1783431000,AAPL,SHORT,fuera_banda,312.96,,
1783528200,AAPL,LONG,cambio_tend,311.51,,
1783609200,AAPL,LONG,cambio_tend,311.8,,
1784122200,AAPL,LONG,cambio_tend,318.89,,
1784813400,AAPL,SHORT,cambio_tend,321.84,,
1784815200,AAPL,LONG,iman,321.58,,
1779804000,AMD,SHORT,iman,492.55,,
1780083000,AMD,LONG,cambio_tend,507.31,,
1780334100,AMD,LONG,cambio_tend,509.25,,
1780407900,AMD,LONG,cambio_tend,511.25,,
1781019000,AMD,LONG,iman,465.81,,
1782740700,AMD,SHORT,cambio_tend,525.99,,
1782746100,AMD,LONG,cambio_tend,520.48,,
1783003500,AMD,LONG,iman,519.58,,
1783431000,AMD,LONG,iman,510.77,,
1783431900,AMD,SHORT,cambio_tend,514.98,,
1783951200,AMD,LONG,rebote_sma20,532.49,,
1784035800,AMD,SHORT,iman,562.31,,
1784295000,AMD,LONG,fuera_banda,470.54,,
1779385500,AMZN,SHORT,iman,269.03,,
1779888600,AMZN,LONG,cambio_tend,266.17,,
1780407000,AMZN,LONG,fuera_banda,255.15,,
1780493400,AMZN,LONG,iman,255.41,,
1780667100,AMZN,SHORT,cambio_tend,254.08,,
1780671600,AMZN,SHORT,cambio_tend,253.85,,
1780682400,AMZN,SHORT,cambio_tend,253.29,,
1781271000,AMZN,SHORT,cambio_tend,237.44,,
1782135000,AMZN,LONG,iman,239.66,,
1782135900,AMZN,SHORT,cambio_tend,239.85,,
1782327600,AMZN,SHORT,cambio_tend,237.19,,
1782914400,AMZN,LONG,cambio_tend,238.23,,
1783441800,AMZN,LONG,cambio_tend,244.91,,
1783690200,AMZN,SHORT,iman,249.02,,
1783950300,AMZN,SHORT,iman,246.67,,
1784055600,AMZN,LONG,cambio_tend,247.11,,
1784727900,AMZN,LONG,iman,245.26,,
1779372000,ASML,SHORT,iman,1570.46,,
1779385500,ASML,SHORT,iman,1598.33,,
1779458400,ASML,SHORT,iman,1629.11,,
1780066800,ASML,SHORT,cambio_tend,1617.43,,
1780074900,ASML,SHORT,cambio_tend,1613.21,,
1780321500,ASML,SHORT,cambio_tend,1607.91,,
1780326000,ASML,LONG,cambio_tend,1607.19,,
1780584300,ASML,LONG,cambio_tend,1710.01,,
1780667100,ASML,LONG,iman,1682.97,,
1780926300,ASML,SHORT,iman,1737.33,,
1781184600,ASML,LONG,cambio_tend,1791.76,,
1781186400,ASML,SHORT,iman,1823.67,,
1782157500,ASML,LONG,cambio_tend,1910.79,,
1782308700,ASML,LONG,iman,1743.62,,
1782503100,ASML,LONG,cambio_tend,1781.88,,
1783364400,ASML,SHORT,cambio_tend,1837.14,,
1783431900,ASML,SHORT,cambio_tend,1733.01,,
1784127600,ASML,SHORT,rebote_sma20,1773.98,,
1784128500,ASML,SHORT,cambio_tend,1770.11,,
1784833200,ASML,LONG,rebote_sma20,1789.05,,
1784835900,ASML,LONG,cambio_tend,1795.4,,
1784899800,ASML,SHORT,cambio_tend,1793.72,,
1779372000,AVGO,SHORT,cambio_tend,421.73,,
1779456600,AVGO,LONG,cambio_tend,417.99,,
1779802200,AVGO,LONG,cambio_tend,427.26,,
1779897600,AVGO,LONG,rebote_sma20,417.69,,
1779976800,AVGO,LONG,cambio_tend,419.58,,
1780320600,AVGO,SHORT,fuera_banda,446.0,,
1780493400,AVGO,SHORT,fuera_banda,483.13,,
1780579800,AVGO,SHORT,cambio_tend,410.35,,
1780667100,AVGO,LONG,iman,401.01,,
1781098200,AVGO,SHORT,cambio_tend,376.38,,
1781703000,AVGO,LONG,cambio_tend,385.41,,
1781703900,AVGO,SHORT,iman,388.93,,
1782221400,AVGO,LONG,iman,382.83,,
1783431000,AVGO,LONG,iman,366.94,,
1783431900,AVGO,SHORT,cambio_tend,366.51,,
1783603800,AVGO,SHORT,iman,401.72,,
1783949400,AVGO,SHORT,rebote_sma20,391.31,,
1784056500,AVGO,SHORT,cambio_tend,390.83,,
1784124000,AVGO,SHORT,cambio_tend,396.27,,
1784208600,AVGO,SHORT,cambio_tend,381.7,,
1784835900,AVGO,LONG,cambio_tend,390.07,,
1779372000,DRAM,SHORT,iman,53.58,,
