epoch,sym,side,kind,ref_px,target_px,stop_px
1776960600,NOK,LONG,ELASTIC,10.2700,10.4160,10.1240
1776973200,NOK,LONG,ELASTIC,10.2600,10.2805,10.1979
1777038000,NOK,SHORT,ELASTIC,10.5200,10.3345,10.9470
1777058700,NOK,SHORT,SQZ_BRK,10.4900,10.4197,10.5252
1777059000,NOK,LONG,ELASTIC,10.5100,10.5565,10.4622
1777395300,NOK,SHORT,ELASTIC,11.0700,11.0200,11.1056
1777401000,NOK,SHORT,ELASTIC,11.1300,11.0985,11.1766
1777477200,NOK,SHORT,ELASTIC,12.2900,11.9795,12.3259
1777483500,NOK,SHORT,ELASTIC,12.4000,12.3000,12.4536
1777562700,NOK,SHORT,ELASTIC,12.4400,12.2815,12.5178
1777573500,NOK,SHORT,SQZ_BRK,12.6600,12.5653,12.7074
1777574100,NOK,LONG,ELASTIC,12.6800,12.7380,12.6161
1777578000,NOK,LONG,SQZ_BRK,12.8200,12.9113,12.7743
1777654500,NOK,LONG,ELASTIC,13.4900,13.6590,13.4334
1777662000,NOK,SHORT,SQZ_BRK,13.3300,13.2333,13.3783
1777662300,NOK,LONG,ELASTIC,13.3500,13.4130,13.2961
1777919700,NOK,SHORT,SQZ_BRK,13.1100,13.0191,13.1554
1777920300,NOK,LONG,ELASTIC,13.1000,13.1710,13.0477
1777996500,NOK,SHORT,ELASTIC,13.5200,13.4040,13.6067
1778002200,NOK,LONG,SQZ_BRK,13.6000,13.7182,13.5409
1778002500,NOK,SHORT,ELASTIC,13.5700,13.5310,13.6503
1778006100,NOK,SHORT,SQZ_BRK,13.5300,13.4351,13.5775
1778006400,NOK,LONG,ELASTIC,13.5500,13.5745,13.4969
1778007900,NOK,SHORT,SQZ_BRK,13.4700,13.3730,13.5185
1778008500,NOK,LONG,ELASTIC,13.4700,13.5515,13.4274
1778074800,NOK,LONG,ELASTIC,13.4200,13.4760,13.0807
1778086500,NOK,LONG,ELASTIC,13.1000,13.2225,13.0488
1778094900,NOK,SHORT,SQZ_BRK,13.0800,12.9894,13.1253
1778167800,NOK,LONG,ELASTIC,12.4300,12.5220,12.3431
1778174100,NOK,SHORT,SQZ_BRK,12.2100,12.1082,12.2609
1778174400,NOK,LONG,ELASTIC,12.2400,12.2910,12.1846
1778255400,NOK,LONG,ELASTIC,12.7500,12.8860,12.6474
