epoch,sym,side,kind,ref_px,target_px,stop_px
1776959700,NVDA,LONG,ELASTIC,201.4900,202.2590,200.8683
1776965400,NVDA,LONG,ELASTIC,199.9600,200.8895,198.9246
1776966600,NVDA,LONG,ELASTIC,198.3600,200.3265,196.8570
1777038000,NVDA,SHORT,ELASTIC,201.7300,199.5845,203.6179
1777043100,NVDA,LONG,BWALK,209.2300,211.1525,208.2688
1777048800,NVDA,SHORT,ELASTIC,210.0900,209.3540,211.3494
1777054500,NVDA,SHORT,SQZ_BRK,208.7500,207.6513,209.2993
1777055400,NVDA,LONG,ELASTIC,208.5300,209.2640,207.8803
1777297200,NVDA,SHORT,ELASTIC,209.7900,208.6785,212.3312
1777308000,NVDA,SHORT,ELASTIC,213.0300,210.8760,213.9596
1777314000,NVDA,SHORT,ELASTIC,216.0700,214.3415,216.4985
1777319100,NVDA,LONG,SQZ_BRK,216.4400,217.4609,215.9295
1777383600,NVDA,LONG,ELASTIC,211.7800,215.0340,207.6282
1777393200,NVDA,LONG,SQZ_BRK,210.4300,211.8174,209.7363
1777393500,NVDA,SHORT,ELASTIC,210.1100,209.5840,210.9989
1777395000,NVDA,LONG,SQZ_BRK,210.7700,212.0468,210.1316
1777395300,NVDA,SHORT,ELASTIC,210.6900,209.7925,211.1921
1777397700,NVDA,LONG,SQZ_BRK,211.2300,212.2946,210.6977
1777398000,NVDA,SHORT,ELASTIC,211.2900,210.4150,211.5175
1777399200,NVDA,SHORT,ELASTIC,211.7500,210.7050,212.0417
1777400700,NVDA,SHORT,ELASTIC,212.8400,211.3285,213.1610
1777470600,NVDA,LONG,ELASTIC,211.3800,213.1900,209.9219
1777479300,NVDA,SHORT,SQZ_BRK,209.9400,208.7075,210.5562
1777479600,NVDA,LONG,ELASTIC,210.3400,210.7885,209.5353
1777480500,NVDA,LONG,ELASTIC,209.6100,210.5625,208.6132
1777485600,NVDA,SHORT,SQZ_BRK,208.4300,207.4449,208.9226
1777556700,NVDA,SHORT,BWALK,206.3900,204.7548,207.2076
1777574400,NVDA,LONG,SQZ_BRK,201.4700,202.5999,200.9051
1777575000,NVDA,SHORT,ELASTIC,201.6700,200.9160,202.2729
1777643700,NVDA,LONG,ELASTIC,200.4600,200.9245,198.7090
1777655400,NVDA,LONG,SQZ_BRK,199.8400,200.8038,199.3581
1777656000,NVDA,SHORT,ELASTIC,199.8900,199.1990,200.4345
1777661400,NVDA,LONG,ELASTIC,198.4200,199.4170,198.0189
1777902000,NVDA,SHORT,ELASTIC,200.4400,199.2105,202.0281
1777915200,NVDA,SHORT,ELASTIC,197.6500,196.5080,198.0501
1777918200,NVDA,SHORT,ELASTIC,198.6600,197.4995,199.4012
1777989000,NVDA,SHORT,ELASTIC,199.4900,198.6425,200.5582
1777997700,NVDA,LONG,SQZ_BRK,197.9400,199.0059,197.4071
1777998300,NVDA,SHORT,ELASTIC,197.9800,197.4040,198.5944
1778007000,NVDA,SHORT,SQZ_BRK,196.5300,195.7623,196.9139
1778007600,NVDA,SHORT,BWALK,196.4700,195.6926,196.8587
1778075100,NVDA,LONG,BWALK,201.8600,203.5924,200.9938
1778081700,NVDA,SHORT,ELASTIC,205.9000,204.8665,207.6099
1778089500,NVDA,SHORT,ELASTIC,205.3600,205.0500,206.2432
1778092800,NVDA,SHORT,ELASTIC,207.6900,205.9290,207.9756
1778161200,NVDA,SHORT,ELASTIC,207.4100,207.3685,209.1439
1778162100,NVDA,SHORT,ELASTIC,208.8700,207.5785,210.3346
1778163000,NVDA,LONG,BWALK,212.7200,215.0666,211.5467
1778181600,NVDA,SHORT,SQZ_BRK,211.6700,210.3270,212.3415
1778181900,NVDA,LONG,ELASTIC,212.0300,212.4455,211.2918
1778247900,NVDA,LONG,BWALK,217.4300,219.4201,216.4350
1778262900,NVDA,SHORT,SQZ_BRK,214.9500,214.0366,215.4067
1778263200,NVDA,LONG,ELASTIC,215.4500,215.4965,214.6962
1778268300,NVDA,SHORT,SQZ_BRK,214.8500,214.1105,215.2197
1778268600,NVDA,LONG,ELASTIC,214.8300,215.2550,214.6355
1778507100,NVDA,LONG,BWALK,219.4800,221.1693,218.6354
1778517900,NVDA,LONG,ELASTIC,220.7900,221.5090,220.0156
1778519700,NVDA,LONG,ELASTIC,220.0300,221.2320,219.5987
1778524200,NVDA,SHORT,ELASTIC,221.1600,220.7070,221.6743
1778526300,NVDA,LONG,ELASTIC,220.4200,220.7930,219.6570
1778613000,NVDA,SHORT,ELASTIC,220.5900,219.0575,220.9690
1778679600,NVDA,SHORT,ELASTIC,224.5700,221.2355,227.7437
1778693400,NVDA,SHORT,SQZ_BRK,226.4700,225.3172,227.0464
1778694000,NVDA,LONG,ELASTIC,226.3200,226.9830,225.7645
1778695200,NVDA,LONG,ELASTIC,226.1100,226.6820,225.1241
1778766300,NVDA,LONG,BWALK,231.7100,233.9926,230.5687
1778778600,NVDA,SHORT,SQZ_BRK,233.6900,232.0655,234.5023
1778779200,NVDA,LONG,ELASTIC,233.6600,234.9270,232.2519
1778865600,NVDA,LONG,SQZ_BRK,228.9000,230.1875,228.2562
1778867100,NVDA,SHORT,ELASTIC,230.1200,228.5680,230.6497
1778868000,NVDA,SHORT,ELASTIC,230.9400,229.0180,231.2120
1778872200,NVDA,LONG,ELASTIC,227.9800,229.6340,227.2698
1778873100,NVDA,LONG,ELASTIC,227.0500,229.1760,226.4256
1779114900,NVDA,SHORT,BWALK,221.5600,218.8308,222.9246
1779121500,NVDA,SHORT,SQZ_BRK,220.4000,218.1749,221.5125
1779122100,NVDA,LONG,ELASTIC,221.0400,222.1340,219.2007
