contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL260713C00205000,2026-07-02 17:58:31+00:00,205.0,102.68,107.2,110.4,0.0,0.0,2.0,1,1.7392591162109374,True,REGULAR,USD
AAPL260713C00210000,2026-07-02 17:58:31+00:00,210.0,97.71,102.2,105.8,0.0,0.0,2.0,1,1.7153334545898438,True,REGULAR,USD
AAPL260713C00225000,2026-06-29 14:54:22+00:00,225.0,58.24,87.1,90.6,0.0,0.0,,1,1.4233427270507812,True,REGULAR,USD
AAPL260713C00230000,2026-06-30 14:03:07+00:00,230.0,56.51,82.1,85.4,0.0,0.0,,6,1.3164096679687498,True,REGULAR,USD
AAPL260713C00255000,2026-07-07 14:01:37+00:00,255.0,56.66,57.35,59.8,26.21,86.07553,4.0,4,0.9003916210937499,True,REGULAR,USD
AAPL260713C00260000,2026-06-29 14:46:29+00:00,260.0,22.93,52.15,54.7,0.0,0.0,,62,0.7929708203125,True,REGULAR,USD
AAPL260713C00265000,2026-07-01 19:56:33+00:00,265.0,30.6,47.2,50.35,0.0,0.0,,2,0.8012715185546875,True,REGULAR,USD
AAPL260713C00267500,2026-07-02 15:33:46+00:00,267.5,39.16,44.75,47.85,0.0,0.0,1.0,66,0.7697776928710938,True,REGULAR,USD
AAPL260713C00270000,2026-07-01 16:00:33+00:00,270.0,26.08,42.2,44.65,0.0,0.0,,81,0.6586948193359375,True,REGULAR,USD
AAPL260713C00272500,2026-07-02 19:59:23+00:00,272.5,36.76,39.75,42.85,0.0,0.0,3.0,39,0.6975127905273439,True,REGULAR,USD
AAPL260713C00275000,2026-07-07 15:04:32+00:00,275.0,37.97,37.2,40.25,-0.0399971,-0.10522784,2.0,50,0.6489292919921875,True,REGULAR,USD
AAPL260713C00277500,2026-07-07 15:04:32+00:00,277.5,35.5,34.75,37.85,-0.040000916,-0.112551816,2.0,16,0.6254920263671876,True,REGULAR,USD
AAPL260713C00280000,2026-07-07 15:05:05+00:00,280.0,33.0,32.25,35.4,-1.0400009,-3.0552318,2.0,40,0.5932657861328126,True,REGULAR,USD
AAPL260713C00282500,2026-07-07 15:05:05+00:00,282.5,30.55,29.85,32.9,-0.84000015,-2.676012,2.0,189,0.5639692041015626,True,REGULAR,USD
AAPL260713C00285000,2026-07-06 19:37:46+00:00,285.0,29.11,27.35,30.45,0.0,0.0,244.0,607,0.5307664111328125,True,REGULAR,USD
AAPL260713C00287500,2026-07-06 19:45:37+00:00,287.5,26.47,24.8,27.5,0.0,0.0,197.0,62,0.6157264990234376,True,REGULAR,USD
AAPL260713C00290000,2026-07-06 18:26:16+00:00,290.0,23.43,22.3,25.4,0.0,0.0,131.0,80,0.6101113208007813,True,REGULAR,USD
AAPL260713C00292500,2026-07-07 14:51:42+00:00,292.5,20.59,19.85,22.2,-0.3199997,-1.5303668,7.0,50,0.5024463818359376,True,REGULAR,USD
AAPL260713C00295000,2026-07-07 16:25:42+00:00,295.0,18.79,17.75,20.6,0.5100002,2.7899356,6.0,141,0.537236072998047,True,REGULAR,USD
AAPL260713C00297500,2026-07-07 16:45:43+00:00,297.5,16.69,16.05,17.75,0.13000107,0.7850306,564.0,156,0.4630180651855469,True,REGULAR,USD
AAPL260713C00300000,2026-07-07 16:37:45+00:00,300.0,14.0,13.95,15.45,-0.1800003,-1.2693956,57.0,262,0.4321345849609375,True,REGULAR,USD
AAPL260713C00302500,2026-07-07 16:08:23+00:00,302.5,12.05,11.75,12.6,0.8000002,7.1111126,23.0,89,0.358404853515625,True,REGULAR,USD
AAPL260713C00305000,2026-07-07 16:48:38+00:00,305.0,9.75,9.3,10.65,0.35000038,3.7234085,17.0,130,0.34754070434570306,True,REGULAR,USD
AAPL260713C00307500,2026-07-07 16:52:58+00:00,307.5,7.75,7.75,8.0,0.21000004,2.7851465,47.0,518,0.2846751220703124,True,REGULAR,USD
AAPL260713C00310000,2026-07-07 16:46:03+00:00,310.0,6.0,5.95,6.25,0.42999983,7.7199254,100.0,394,0.2732006274414062,True,REGULAR,USD
AAPL260713C00312500,2026-07-07 16:51:41+00:00,312.5,4.52,4.35,4.65,0.56999993,14.430378,499.0,137,0.25952888916015626,True,REGULAR,USD
AAPL260713C00315000,2026-07-07 16:51:51+00:00,315.0,3.19,3.05,3.25,0.1400001,4.5901675,886.0,482,0.24488059814453128,False,REGULAR,USD
AAPL260713C00317500,2026-07-07 16:52:43+00:00,317.5,2.15,2.09,2.17,-0.099999905,-4.4444404,2334.0,266,0.23474886352539062,False,REGULAR,USD
AAPL260713C00320000,2026-07-07 16:52:17+00:00,320.0,1.42,1.36,1.44,0.0,0.0,1694.0,382,0.23206334350585936,False,REGULAR,USD
AAPL260713C00325000,2026-07-07 16:46:16+00:00,325.0,0.55,0.5,0.59,-0.17000002,-23.611113,289.0,354,0.23218541259765624,False,REGULAR,USD
AAPL260713C00330000,2026-07-07 16:45:18+00:00,330.0,0.2,0.17,0.25,-0.08,-28.571428,94.0,355,0.241218525390625,False,REGULAR,USD
AAPL260713C00335000,2026-07-07 16:22:08+00:00,335.0,0.1,0.07,0.12,-0.050000004,-33.333336,44.0,38,0.256843369140625,False,REGULAR,USD
AAPL260713C00340000,2026-07-07 16:31:32+00:00,340.0,0.05,0.03,0.08,-0.029999997,-37.499996,10.0,133,0.2841868457031249,False,REGULAR,USD
AAPL260713C00345000,2026-07-07 14:43:15+00:00,345.0,0.03,0.01,0.15,-0.01,-25.0,21.0,24,0.358404853515625,False,REGULAR,USD
