contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ASML260717C00490000,2026-06-26 13:57:30+00:00,490.0,1310.0,1258.5,1272.2,0.0,0.0,1.0,2,3.848633190917969,True,REGULAR,USD
ASML260717C00500000,2026-06-23 15:18:18+00:00,500.0,1280.47,1248.3,1261.4,0.0,0.0,1.0,3,3.707031982421875,True,REGULAR,USD
ASML260717C00540000,2026-06-11 17:31:23+00:00,540.0,1308.0,1206.9,1222.4,0.0,0.0,2.0,2,3.5891123553466793,True,REGULAR,USD
ASML260717C00560000,2026-07-07 13:34:18+00:00,560.0,1176.9,1188.4,1201.6,-177.09998,-13.079762,1.0,2,3.409547374572754,True,REGULAR,USD
ASML260717C00600000,2026-06-17 18:00:05+00:00,600.0,1314.0,1148.3,1162.9,0.0,0.0,1.0,1,3.329957729797363,True,REGULAR,USD
ASML260717C00620000,2026-06-09 15:55:26+00:00,620.0,1123.9,1128.5,1141.9,0.0,0.0,,1,3.151613449096679,True,REGULAR,USD
ASML260717C00640000,2026-02-24 14:32:53+00:00,640.0,865.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
ASML260717C00660000,2026-06-09 16:26:49+00:00,660.0,1049.0,1088.5,1102.6,0.0,0.0,,1,3.032473121948242,True,REGULAR,USD
ASML260717C00680000,2026-06-26 15:41:49+00:00,680.0,1122.15,1067.5,1083.0,0.0,0.0,10.0,11,2.977419548645019,True,REGULAR,USD
ASML260717C00700000,2026-06-12 14:13:35+00:00,700.0,1165.7,1048.6,1061.7,0.0,0.0,,1,2.7952910977172856,True,REGULAR,USD
ASML260717C00720000,2026-04-23 17:29:25+00:00,720.0,702.0,1025.1,1039.4,0.0,0.0,4.0,9,2.50781623046875,True,REGULAR,USD
ASML260717C00740000,2026-04-22 15:35:58+00:00,740.0,731.19,1005.3,1017.6,0.0,0.0,1.0,0,2.2058150323486325,True,REGULAR,USD
ASML260717C00760000,2026-06-18 19:42:21+00:00,760.0,1168.65,988.9,1002.7,0.0,0.0,1.0,3,2.6380649282836917,True,REGULAR,USD
ASML260717C00780000,2026-06-22 19:49:08+00:00,780.0,1132.2,968.9,982.7,0.0,0.0,1.0,1,2.5640905038452146,True,REGULAR,USD
ASML260717C00800000,2026-06-24 19:45:59+00:00,800.0,950.35,948.6,962.7,0.0,0.0,2.0,6,2.4920691995239257,True,REGULAR,USD
ASML260717C00820000,2026-05-18 19:01:29+00:00,820.0,654.7,929.0,940.9,0.0,0.0,1.0,4,2.297367537841797,True,REGULAR,USD
