contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA260713P00115000,2026-07-02 18:45:03+00:00,115.0,0.07,0.0,0.01,0.0,0.0,2,2,1.21875390625,False,REGULAR,USD
NVDA260713P00120000,2026-07-06 19:51:34+00:00,120.0,0.01,0.0,0.01,0.0,0.0,20,21,1.125004375,False,REGULAR,USD
NVDA260713P00130000,2026-07-06 19:08:56+00:00,130.0,0.03,0.0,0.02,0.0,0.0,55,58,1.0312548437500002,False,REGULAR,USD
NVDA260713P00140000,2026-07-07 16:04:30+00:00,140.0,0.01,0.01,0.02,-0.04,-80.00001,7,23,0.8906260937499999,False,REGULAR,USD
NVDA260713P00145000,2026-07-07 16:43:58+00:00,145.0,0.01,0.01,0.02,-0.03,-75.0,8,28,0.804689453125,False,REGULAR,USD
NVDA260713P00150000,2026-07-06 18:06:01+00:00,150.0,0.03,0.01,0.03,-0.03,-50.0,5,54,0.7421900781249999,False,REGULAR,USD
NVDA260713P00155000,2026-07-02 19:10:56+00:00,155.0,0.03,0.02,0.03,-0.060000002,-40.0,1,7,0.6796907031250001,False,REGULAR,USD
NVDA260713P00160000,2026-07-07 15:35:34+00:00,160.0,0.05,0.03,0.04,-0.029999997,-37.499996,29,72,0.6210975390625001,False,REGULAR,USD
NVDA260713P00165000,2026-07-07 16:06:23+00:00,165.0,0.04,0.04,0.06,-0.089999996,-69.230774,7,41,0.5664105859375,False,REGULAR,USD
NVDA260713P00170000,2026-07-07 16:40:30+00:00,170.0,0.07,0.06,0.08,-0.04,-36.363636,85,106,0.50586431640625,False,REGULAR,USD
NVDA260713P00172500,2026-07-07 16:37:26+00:00,172.5,0.1,0.08,0.1,-0.029999994,-23.076918,7,30,0.48828636718750007,False,REGULAR,USD
NVDA260713P00175000,2026-07-07 16:45:59+00:00,175.0,0.12,0.11,0.13,-0.050000004,-29.411768,188,3184,0.46289599609375004,False,REGULAR,USD
NVDA260713P00177500,2026-07-07 16:23:51+00:00,177.5,0.17,0.16,0.18,-0.049999997,-22.72727,45,147,0.442388388671875,False,REGULAR,USD
NVDA260713P00180000,2026-07-07 16:48:20+00:00,180.0,0.24,0.22,0.24,-0.14,-37.837837,478,261,0.41797457031249996,False,REGULAR,USD
NVDA260713P00182500,2026-07-07 16:45:30+00:00,182.5,0.34,0.33,0.35,-0.16999999,-33.333332,2464,665,0.4008848974609375,False,REGULAR,USD
NVDA260713P00185000,2026-07-07 16:52:09+00:00,185.0,0.5,0.49,0.52,-0.26,-34.210526,495,595,0.3857483300781249,False,REGULAR,USD
NVDA260713P00187500,2026-07-07 16:50:04+00:00,187.5,0.74,0.76,0.79,-0.37,-33.333332,3063,774,0.3742738354492187,False,REGULAR,USD
NVDA260713P00190000,2026-07-07 16:54:59+00:00,190.0,1.18,1.18,1.2,-0.49,-30.06135,3993,3428,0.3654848608398438,False,REGULAR,USD
NVDA260713P00192500,2026-07-07 16:52:26+00:00,192.5,1.74,1.76,1.81,-0.5899999,-25.321886,845,442,0.36035795898437495,False,REGULAR,USD
NVDA260713P00195000,2026-07-07 16:54:23+00:00,195.0,2.62,2.6,2.66,-0.6300001,-19.384619,437,631,0.3577945080566406,False,REGULAR,USD
NVDA260713P00197500,2026-07-07 16:54:04+00:00,197.5,3.8,3.75,3.8,-0.54999995,-12.643678,134,317,0.35938140625,False,REGULAR,USD
NVDA260713P00200000,2026-07-07 16:36:10+00:00,200.0,5.15,5.0,5.3,-0.9000001,-14.876034,84,167,0.3711000390625,True,REGULAR,USD
NVDA260713P00202500,2026-07-07 15:39:49+00:00,202.5,10.1,6.55,7.05,2.3000002,29.48718,63,184,0.38550419189453117,True,REGULAR,USD
NVDA260713P00205000,2026-07-07 16:52:35+00:00,205.0,8.71,8.6,8.95,-0.3000002,-3.3296359,37,113,0.39649041015625003,True,REGULAR,USD
NVDA260713P00207500,2026-07-07 16:45:23+00:00,207.5,10.65,10.5,11.25,-1.25,-10.504202,66,34,0.4387263159179688,True,REGULAR,USD
NVDA260713P00210000,2026-07-07 16:32:43+00:00,210.0,12.56,12.75,13.35,-1.3299999,-9.575233,19,21,0.44556218505859374,True,REGULAR,USD
NVDA260713P00212500,2026-07-07 16:38:45+00:00,212.5,15.41,15.0,15.7,-1.5300007,-9.03188,8,57,0.4770560107421875,True,REGULAR,USD
NVDA260713P00225000,2026-07-02 19:43:24+00:00,225.0,30.0,26.8,28.65,-1.25,-4.0,1,0,0.6059609716796877,True,REGULAR,USD
