contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
QQQ260713C00520000,2026-06-30 16:50:14+00:00,520.0,216.8,191.41,194.83,0.0,0.0,,17,0.70312796875,True,REGULAR,USD
QQQ260713C00540000,2026-06-30 17:10:32+00:00,540.0,197.4,171.58,174.88,0.0,0.0,,2,0.789064609375,True,REGULAR,USD
QQQ260713C00585000,2026-06-30 18:22:50+00:00,585.0,152.11,126.55,130.22,0.0,0.0,,2,0.64648791015625,True,REGULAR,USD
QQQ260713C00620000,2026-07-06 15:30:43+00:00,620.0,105.5,91.64,95.05,0.0,0.0,5.0,6,0.6837189831542969,True,REGULAR,USD
QQQ260713C00630000,2026-07-01 15:07:29+00:00,630.0,100.77,81.64,85.12,0.0,0.0,,2,0.627078924560547,True,REGULAR,USD
QQQ260713C00650000,2026-07-02 17:21:18+00:00,650.0,62.44,61.77,65.31,0.0,0.0,8.0,15,0.5141650146484374,True,REGULAR,USD
QQQ260713C00665000,2026-07-06 14:28:29+00:00,665.0,60.05,46.99,50.42,0.0,0.0,1.0,2,0.42358974853515624,True,REGULAR,USD
QQQ260713C00670000,2026-07-07 15:46:08+00:00,670.0,39.73,42.53,44.7,-14.23,-26.371387,16.0,52,0.35120277709960934,True,REGULAR,USD
QQQ260713C00675000,2026-07-07 15:14:50+00:00,675.0,34.63,38.43,39.12,-14.32,-29.254341,3.0,34,0.284064776611328,True,REGULAR,USD
QQQ260713C00680000,2026-07-07 14:49:34+00:00,680.0,28.81,34.16,34.8,-15.469999,-34.936764,5.0,53,0.2934640966796874,True,REGULAR,USD
QQQ260713C00685000,2026-07-07 15:14:50+00:00,685.0,25.59,29.37,30.08,-16.04,-38.529907,18.0,16,0.2740551110839844,True,REGULAR,USD
QQQ260713C00690000,2026-07-07 15:14:38+00:00,690.0,20.83,24.61,25.24,-15.690001,-42.96276,15.0,3,0.24640646179199222,True,REGULAR,USD
