contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TSLA260713C00265000,2026-06-29 15:08:18+00:00,265.0,132.6,143.85,146.3,0.0,0.0,,0,2.1154832269287107,True,REGULAR,USD
TSLA260713C00320000,2026-06-29 13:55:56+00:00,320.0,71.93,89.3,91.85,0.0,0.0,,0,1.3928253015136716,True,REGULAR,USD
TSLA260713C00325000,2026-06-29 13:55:56+00:00,325.0,67.02,84.35,86.8,0.0,0.0,,0,1.3245883380126953,True,REGULAR,USD
TSLA260713C00330000,2026-07-01 15:25:47+00:00,330.0,103.0,79.3,81.55,0.0,0.0,,3,1.2413368011474606,True,REGULAR,USD
TSLA260713C00335000,2026-06-29 13:59:18+00:00,335.0,57.92,74.35,77.1,0.0,0.0,,0,1.2043496813964842,True,REGULAR,USD
TSLA260713C00340000,2026-07-02 15:32:46+00:00,340.0,58.35,69.35,71.9,0.0,0.0,10.0,2,1.1274457690429687,True,REGULAR,USD
TSLA260713C00345000,2026-07-06 14:52:18+00:00,345.0,60.25,64.35,66.45,0.0,0.0,3.0,9,1.0396776531982426,True,REGULAR,USD
TSLA260713C00350000,2026-07-07 16:00:38+00:00,350.0,57.75,59.5,61.35,5.0200005,9.520199,1.0,2,0.9760744580078126,True,REGULAR,USD
TSLA260713C00355000,2026-07-06 14:00:40+00:00,355.0,47.89,54.5,57.0,0.0,0.0,8.0,14,0.9376226940917969,True,REGULAR,USD
TSLA260713C00357500,2026-07-07 13:42:56+00:00,357.5,56.0,51.9,54.05,-3.3600006,-5.6603785,1.0,4,0.8813488427734374,True,REGULAR,USD
TSLA260713C00360000,2026-07-07 14:11:35+00:00,360.0,50.0,49.45,51.4,-10.25,-17.012447,1.0,10,0.8442398388671875,True,REGULAR,USD
TSLA260713C00362500,2026-07-06 14:31:57+00:00,362.5,44.2,47.15,48.75,0.0,0.0,11.0,4,0.8132342895507811,True,REGULAR,USD
TSLA260713C00365000,2026-06-30 18:42:44+00:00,365.0,56.06,44.7,46.2,0.0,0.0,,4,0.7800314965820312,True,REGULAR,USD
TSLA260713C00370000,2026-07-07 14:11:34+00:00,370.0,40.82,39.95,41.45,-6.3499985,-13.461944,46.0,12,0.7316921362304687,True,REGULAR,USD
TSLA260713C00372500,2026-07-06 19:14:24+00:00,372.5,45.7,37.15,38.55,0.0,0.0,2.0,2,0.6726106958007814,True,REGULAR,USD
TSLA260713C00375000,2026-07-06 15:51:20+00:00,375.0,39.6,34.55,35.85,0.0,0.0,6.0,12,0.6282996154785156,True,REGULAR,USD
TSLA260713C00377500,2026-07-07 14:55:47+00:00,377.5,33.7,32.9,34.2,-4.200001,-11.081796,2.0,10,0.6523472265625001,True,REGULAR,USD
TSLA260713C00380000,2026-07-06 19:46:18+00:00,380.0,38.62,30.6,32.15,0.0,0.0,48.0,56,0.6374547973632813,True,REGULAR,USD
TSLA260713C00382500,2026-07-06 16:58:50+00:00,382.5,36.85,28.35,29.7,0.0,0.0,26.0,23,0.6102333898925782,True,REGULAR,USD
TSLA260713C00385000,2026-07-07 16:44:14+00:00,385.0,25.45,26.05,27.05,-8.93,-25.974403,2.0,224,0.5748333532714844,True,REGULAR,USD
TSLA260713C00387500,2026-07-07 14:10:21+00:00,387.5,26.0,24.1,25.05,-1.2099991,-4.4468913,2.0,16,0.5667767932128907,True,REGULAR,USD
TSLA260713C00390000,2026-07-07 16:49:51+00:00,390.0,21.95,22.05,22.75,-8.199999,-27.197344,64.0,101,0.5452926330566408,True,REGULAR,USD
TSLA260713C00392500,2026-07-07 16:44:44+00:00,392.5,19.24,20.05,20.8,-9.26,-32.491226,25.0,181,0.5320481365966796,True,REGULAR,USD
TSLA260713C00395000,2026-07-07 16:44:44+00:00,395.0,17.39,17.8,18.45,-8.400002,-32.570766,18.0,169,0.500005,True,REGULAR,USD
TSLA260713C00397500,2026-07-07 16:47:17+00:00,397.5,15.62,16.3,16.95,-8.080001,-34.092827,113.0,88,0.5045825909423829,True,REGULAR,USD
TSLA260713C00400000,2026-07-07 16:52:16+00:00,400.0,15.05,14.65,15.0,-8.099999,-34.9892,176.0,365,0.49908948181152346,True,REGULAR,USD
TSLA260713C00402500,2026-07-07 16:36:00+00:00,402.5,11.8,12.9,13.55,-9.4800005,-44.548874,48.0,200,0.4978077563476563,True,REGULAR,USD
TSLA260713C00405000,2026-07-07 16:55:30+00:00,405.0,11.4,11.25,11.45,-5.9400005,-34.256058,216.0,177,0.4635063415527344,True,REGULAR,USD
TSLA260713C00407500,2026-07-07 16:54:30+00:00,407.5,10.4,10.05,10.25,-7.2299995,-41.00964,479.0,82,0.4656425506591797,False,REGULAR,USD
TSLA260713C00410000,2026-07-07 16:55:02+00:00,410.0,8.95,8.9,9.05,-6.8,-43.119846,1190.0,603,0.46356737609863286,False,REGULAR,USD
TSLA260713C00412500,2026-07-07 16:55:12+00:00,412.5,7.72,7.6,7.75,-6.7000003,-46.463245,708.0,476,0.452703226928711,False,REGULAR,USD
TSLA260713C00415000,2026-07-07 16:54:28+00:00,415.0,6.82,6.55,6.75,-5.73,-45.65737,589.0,418,0.45099425964355466,False,REGULAR,USD
TSLA260713C00417500,2026-07-07 16:49:53+00:00,417.5,5.58,5.8,5.9,-5.9700003,-51.688313,334.0,481,0.45203184692382814,False,REGULAR,USD
TSLA260713C00420000,2026-07-07 16:53:32+00:00,420.0,4.95,4.8,4.9,-5.05,-50.500004,1527.0,642,0.44135080139160154,False,REGULAR,USD
TSLA260713C00422500,2026-07-07 16:53:20+00:00,422.5,4.21,4.25,4.35,-4.59,-52.15909,188.0,285,0.44885805053710937,False,REGULAR,USD
TSLA260713C00425000,2026-07-07 16:53:23+00:00,425.0,3.45,3.55,3.65,-4.3500004,-55.769234,1916.0,804,0.44446356323242187,False,REGULAR,USD
TSLA260713C00427500,2026-07-07 16:54:01+00:00,427.5,3.15,3.05,3.15,-3.73,-54.215115,489.0,262,0.44714908325195313,False,REGULAR,USD
TSLA260713C00430000,2026-07-07 16:53:50+00:00,430.0,2.62,2.51,2.58,-3.29,-55.66836,1824.0,655,0.4414118359375,False,REGULAR,USD
TSLA260713C00432500,2026-07-07 16:49:46+00:00,432.5,2.05,2.18,2.24,-3.1499999,-60.576927,220.0,239,0.44653873779296877,False,REGULAR,USD
TSLA260713C00435000,2026-07-07 16:54:25+00:00,435.0,1.89,1.85,1.89,-2.6100001,-58.0,595.0,516,0.44739322143554683,False,REGULAR,USD
TSLA260713C00437500,2026-07-07 16:49:47+00:00,437.5,1.48,1.56,1.62,-2.3899999,-61.757103,150.0,429,0.4510552941894531,False,REGULAR,USD
TSLA260713C00440000,2026-07-07 16:54:25+00:00,440.0,1.38,1.33,1.37,-2.08,-60.115604,364.0,400,0.45313046875,False,REGULAR,USD
TSLA260713C00442500,2026-07-07 16:48:29+00:00,442.5,1.04,1.14,1.17,-1.78,-63.120567,141.0,57,0.4567925415039063,False,REGULAR,USD
TSLA260713C00445000,2026-07-07 16:52:53+00:00,445.0,1.01,0.97,0.99,-1.52,-60.079052,449.0,312,0.4594780615234375,False,REGULAR,USD
TSLA260713C00447500,2026-07-07 16:40:33+00:00,447.5,0.78,0.86,0.89,-1.4100001,-64.38357,101.0,35,0.4687553125,False,REGULAR,USD
TSLA260713C00450000,2026-07-07 16:54:28+00:00,450.0,0.77,0.74,0.75,-1.12,-59.25926,466.0,622,0.47119669433593747,False,REGULAR,USD
TSLA260713C00452500,2026-07-07 16:53:23+00:00,452.5,0.65,0.67,0.69,-0.98,-60.1227,83.0,37,0.48242705078125003,False,REGULAR,USD
TSLA260713C00455000,2026-07-07 16:37:33+00:00,455.0,0.53,0.6,0.63,-0.69000006,-56.55738,57.0,157,0.4924367163085938,False,REGULAR,USD
TSLA260713C00457500,2026-07-07 15:59:24+00:00,457.5,0.48,0.54,0.56,-0.77,-61.6,37.0,66,0.4995167236328125,False,REGULAR,USD
