ticker,weather,score,possible,price,change_pct,from_open_pct,rvol,rsi,sma20_pct,sma50_pct,sma200_pct,short_float_pct,short_ratio
LRN,WATCH,-1,6,82.58,2.65,-5.58,3.61,43.5,,-7.61,-2.38,16.32,7.98
AGI,WATCH,2,6,31.27,8.73,2.56,2.22,55.3,,-3.81,-19.31,1.79,1.72
AEM,BUY,4,6,165.45,9.85,3.43,2.11,64.54,,5.56,-9.49,0.84,1.63
PUK,WATCH,-2,6,27.95,-5.29,0.04,2.01,43.76,,-0.06,-5.46,0.06,0.69
KGC,BUY,4,6,25.7,8.9,2.8,1.78,60.05,,2.28,-10.93,1.47,2.13
FSM,BUY,4,6,9.6,6.08,1.27,1.66,64.64,,9.08,-1.14,5.66,3.19
GFI,BUY,4,6,37.29,9.32,1,1.63,62.96,,6.42,-13.74,0.58,1.45
CRUS,SELL,-4,6,129.42,-3.12,-2.02,1.58,35.55,,-14.52,-8.28,6.56,5.24
EXEL,BUY,6,6,56.7,1.25,0.76,1.57,57,,5.14,23.17,12.7,11.55
DOX,WATCH,0,6,55.29,-2.52,-2.52,1.57,54.32,,0.63,-19.58,9.29,7.03
VIPS,WATCH,0,6,15.54,-0.32,-0.32,1.52,71.66,,10.29,-5.21,1.29,2.06
GOOGL,WATCH,1,6,362.43,-4.03,-5.45,1.43,54.59,,1.29,10.46,1.35,2.4
PAAS,BUY,3,6,48.24,7.41,2.01,1.34,61.21,,3.23,-4.83,1.09,0.98
GOOG,WATCH,1,6,360.13,-4.05,-5.23,1.32,54.26,,1.19,10.03,1.08,2.5
FSLR,WATCH,1,6,236.8,-2.8,0.23,1.32,58.08,,-3.17,1.08,9.74,4.03
IAG,BUY,3,6,15.89,7.36,1.86,1.27,57.1,,0.74,-6.73,0.92,0.96
CGAU,BUY,5,6,19.46,7.22,2.58,1.26,67.37,,18.34,19.98,2.91,3.61
PBF,WATCH,1,6,61.17,-7.16,-6.95,1.24,52.68,,20.92,51.78,12.55,4.27
AU,BUY,3,6,88.6,8.71,1.57,1.22,61.11,,5.39,-2.94,1.11,1.84
NEM,BUY,3,6,104.29,6.71,0.49,1.21,63.79,,6.12,-0.02,1.89,2.52
FHI,WATCH,1,6,64.07,-1.37,-4.66,1.17,67.27,,10.08,16.99,5.57,5.86
B,BUY,3,6,41.05,7.43,2.62,1.14,65,,6.76,-0.8,1,1.48
STNG,SELL,-3,6,74.05,-3.08,-3.08,1.1,41.27,,-3.56,6.93,5.15,2.45
HLNE,WATCH,-2,6,100.81,-0.79,-2.96,1.08,75.1,,20.69,-7.16,13.64,4.68
CINF,WATCH,0,6,177.79,-0.91,-1.69,1.03,48.6,,1.67,7.22,2.27,4.12
INFY,WATCH,0,6,12.48,-0.95,-0.16,1.02,59.85,,7.41,-14.76,4.11,7.46
GL,WATCH,2,6,183.86,-0.02,-0.33,1.01,61.63,,6.68,23.2,2.34,2.77
GIB,WATCH,-1,6,72.61,-2.42,-3.03,1,60.07,,7.96,-5.96,3.54,12.5
ERIC,SELL,-4,6,10.06,-2.04,-2.42,1,45.3,,-10.2,-7.09,2.11,5.26
PNR,WATCH,1,6,69.02,0.79,0.79,0.98,51.72,,-2.9,-23.77,3.95,2.31
INGR,WATCH,-1,6,103.29,-1.28,-2.16,0.98,57.27,,3.14,-5.4,7.4,5.05
RIO,BUY,5,6,101.51,2.52,0.53,0.95,65.9,,4.13,12.98,0.74,3.36
NRDS,WATCH,-2,6,9.08,-1.94,-2.78,0.94,48.49,,2.22,-17.76,11.87,4.12
SFD,WATCH,-2,6,25.23,-0.43,-1.06,0.93,43.16,,-1.74,2.86,12.72,4.67
BPOP,BUY,4,6,177.52,0.98,0.18,0.89,66.45,,7.96,27.22,3.09,3.74
GNTX,WATCH,2,6,24.12,0,0.21,0.88,51.26,,-1.49,2.6,7.02,6
ZION,WATCH,2,6,71.7,-0.1,-0.61,0.88,60,,5.68,18.62,4.88,4.2
AOS,WATCH,1,6,63.18,-0.3,0.17,0.88,58.75,,5.79,-3.92,9.16,5.54
AFL,BUY,4,6,125.56,0.33,0.04,0.87,56.51,,4.52,10.55,2.76,5.22
PRDO,WATCH,1,6,33.03,0.33,-0.84,0.87,51.24,,-0.37,0.6,5.85,5.03
ORI,WATCH,2,6,43.52,0.23,-0.39,0.84,61.03,,7.52,6.67,4.12,6.28
SEIC,WATCH,2,6,104.76,0.04,-0.7,0.84,71.74,,11.75,22.15,2.44,3.39
PIPR,WATCH,-1,6,76.18,0.05,-0.07,0.84,50.57,,-0.54,-5.76,4.53,5.05
CPRT,SELL,-4,6,28.91,-1.67,-2.69,0.84,48.68,,-2.62,-18.89,4.51,3.2
INVA,SELL,-5,6,20.51,-1.68,-2.38,0.84,35.05,,-7.12,-4.95,9.63,8.36
UMC,WATCH,-2,6,19.29,-6.5,-1.88,0.83,43.91,,-13.81,48.71,0.82,1.13
NMIH,BUY,5,6,44.94,1.06,0.38,0.82,70.23,,12.4,15.53,2.8,3.65
HIG,BUY,5,6,143.6,1.09,1.13,0.81,59.34,,6.33,6.39,1.81,2.74
ALL,BUY,4,6,264.59,0.77,-0.02,0.81,62.21,,11.19,23.14,3.19,4.63
VITL,WATCH,2,6,12.24,0.74,1.24,0.78,46.26,,4.34,-41.78,22.76,2.86
WRB,BUY,5,6,72.08,0.97,0.25,0.77,50.09,,3.22,4.21,8.2,8.35
CB,BUY,5,6,352.54,1.22,0.92,0.77,53.13,,3.99,10.29,1.08,2.33
ACGL,WATCH,0,6,99.09,-0.43,-0.83,0.77,47.14,,2.46,4.38,2.59,3.91
TRV,BUY,5,6,382.45,1.41,1.13,0.76,65.98,,14.69,26.68,3.16,3.46
HAFN,WATCH,-2,6,7.27,-2.42,-3.58,0.75,43.77,,-1.84,3.79,0.49,0.72
MLI,BUY,5,6,69.26,1.33,1.17,0.71,69.17,,8.35,14.48,1.87,2.79
TOL,BUY,5,6,154.97,1.13,1.62,0.7,55.78,,3.8,8.27,5.1,4.35
YUMC,WATCH,-1,6,47.5,-0.77,-1.7,0.7,67.11,,9.38,-0.2,1.44,2.82
PTC,WATCH,-1,6,139.43,-1.59,-2.88,0.7,65.15,,10.18,-8.98,5.5,3.18
INTU,WATCH,2,6,327.94,1.34,0.19,0.69,63.45,,12.63,-29.03,5.91,2.97
TRMD,WATCH,-2,6,28.62,-2.52,-3.31,0.69,44.03,,-1.02,8.72,0.97,0.78
SPNT,WATCH,0,6,23.61,-1.34,-1.46,0.67,43.41,,0.07,8.44,4.12,5.16
FBP,WATCH,1,6,29.05,-0.55,-0.72,0.64,69.02,,10.06,27.43,4.64,4.52
SF,BUY,3,6,84.31,0.31,-0.81,0.62,69.66,,12.41,7.67,3.34,3.52
NTES,WATCH,1,6,128.11,-1.91,-0.7,0.62,50.64,,1.78,0.88,0.4,2.52
ACN,WATCH,0,6,170.73,0.18,-0.88,0.62,64.81,,11.02,-18.69,5.5,3.87
DECK,SELL,-4,6,99.31,-0.56,-1.2,0.62,44.64,,-6.13,-2.83,4.33,2.53
RJF,BUY,5,6,180.55,1.11,0.31,0.61,73.12,,12.4,13.89,5.56,6.79
RLI,BUY,5,6,62.82,1.62,0.46,0.6,57.87,,9.73,10.41,8.45,7.65
ZM,WATCH,1,6,100.64,-1.45,-1.15,0.6,65.28,,8.16,13.92,2.7,1.68
FIZZ,BUY,5,6,32.21,1.38,0.5,0.59,56.68,,2.31,3.49,15.81,7.46
PGR,BUY,3,6,212.76,0.95,0.15,0.59,48.63,,0.68,1.02,1.65,2.91
URBN,WATCH,1,6,77.89,-1.26,-1.94,0.57,60.38,,6.63,10.44,13.39,5.29
EWBC,WATCH,2,6,133.25,-0.11,-0.48,0.56,57.77,,2.98,14.19,3.61,5.35
