# fetched_epoch=1786003332 fetched_at=2026-08-06 04:02:12
"Ticker","Company","P/E","Forward P/E","PEG","P/S","P/Free Cash Flow","EPS Growth Next Year","Short Float","Performance (Week)","Performance (Month)","52-Week High","Relative Strength Index (14)","Price"
"AAPL","Apple Inc",35.89,32.83,2.64,9.79,33.43,8.32%,1.01%,-6.09%,-0.09%,-9.13%,47.39,313.12
"AMD","Advanced Micro Devices Inc",156.67,31.78,0.44,20.78,90.78,97.50%,2.45%,-1.66%,-7.74%,-18.36%,45.92,477.35
"AMZN","Amazon.com Inc",21.98,25.99,1.09,3.80,,-13.58%,1.09%,16.05%,12.18%,-4.84%,63.77,273.29
"ASML","ASML Holding NV",52.47,28.02,0.75,15.77,57.35,37.86%,0.33%,2.06%,-4.70%,-15.73%,47.50,1685.45
"AVGO","Broadcom Inc",69.74,21.43,0.38,26.41,60.84,68.65%,1.47%,8.02%,7.78%,-15.37%,62.01,418.93
"COIN","Coinbase Global Inc",,50.59,9.39,8.26,23.11,229.19%,11.68%,-8.23%,-5.80%,-62.67%,43.28,150.11
"CRWV","CoreWeave Inc",,,,7.67,,66.37%,18.96%,18.54%,-2.67%,-42.82%,53.41,87.60
"DRAM","Roundhill Memory ETF",,,,,,,,-3.13%,-18.28%,-37.67%,43.68,50.70
"EWY","iShares MSCI South Korea ETF",,,,,,,,1.34%,-10.59%,-26.04%,45.97,163.37
"GLD","SPDR Gold Shares",,,,,,,,3.66%,4.41%,-23.29%,60.93,390.98
"GOOGL","Alphabet Inc",18.31,24.29,1.36,9.96,83.43,-25.85%,1.35%,9.24%,0.71%,-10.80%,55.41,364.48
"HOOD","Robinhood Markets Inc",41.05,33.50,1.96,16.70,,33.74%,5.01%,7.03%,-18.36%,-39.76%,44.21,92.69
"INTC","Intel Corp",,48.93,0.53,8.82,1462.03,36.55%,2.81%,9.42%,-9.55%,-29.95%,48.40,99.71
"LRCX","Lam Research Corp",53.23,26.20,0.81,16.51,78.41,23.50%,2.37%,3.00%,-7.95%,-30.07%,47.37,306.66
"META","Meta Platforms Inc",22.20,17.31,0.91,6.58,36.63,7.13%,1.72%,9.32%,-2.30%,-26.00%,46.82,589.25
"MSFT","Microsoft Corp",27.02,20.68,1.16,10.85,53.75,19.19%,1.26%,7.48%,26.48%,-12.44%,74.63,484.85
"MSTR","Strategy Inc",,37.43,,75.73,,134.17%,12.20%,0.50%,4.64%,-76.29%,48.22,98.23
"MU","Micron Technology Inc",19.61,5.60,0.03,10.84,37.38,111.24%,3.22%,-0.97%,-8.71%,-30.98%,46.85,866.20
"NFLX","Netflix Inc",23.42,19.48,0.89,6.35,27.75,6.04%,2.41%,1.59%,-1.66%,-41.34%,52.97,74.33
"NOK","Nokia Corp ADR",65.61,20.40,1.25,2.25,83.19,19.58%,0.89%,4.51%,-20.50%,-45.56%,40.00,9.50
"NVDA","NVIDIA Corp",33.57,17.16,0.36,20.93,44.55,42.00%,1.39%,12.40%,7.40%,-7.32%,61.60,219.23
"PLTR","Palantir Technologies Inc",133.66,69.10,1.05,61.05,111.92,42.44%,3.55%,27.92%,18.29%,-24.63%,66.81,156.40
"QCOM","Qualcomm Inc",18.15,15.19,5.17,3.74,15.82,-2.70%,3.45%,3.46%,-15.93%,-39.65%,39.22,156.85
"QQQ","Invesco QQQ Trust Series 1",,,,,,,,4.57%,0.47%,-4.52%,54.38,714.80
"RKLB","Rocket Lab Corp",,,,66.02,,99.47%,7.78%,15.96%,-10.02%,-50.33%,48.59,75.00
"SKHY","SK Hynix Inc ADR",19.41,4.39,0.04,8.03,35.71,34.92%,,-4.57%,,-27.01%,44.01,142.19
"SMH","VanEck Semiconductor ETF",,,,,,,,5.21%,-4.38%,-15.60%,49.11,567.00
"SNDK","Sandisk Corp",42.85,4.71,0.10,13.84,40.93,23.73%,5.38%,-3.70%,-28.64%,-47.65%,42.40,1232.55
"SPCX","Space Exploration Technologies Corp",,,,,,,25.55%,-2.42%,-26.17%,-51.48%,38.80,109.49
"SPY","SPDR S&P 500 ETF Trust",,,,,,,,3.89%,3.38%,-0.81%,65.10,770.56
"STX","Seagate Technology Holdings Plc",58.77,14.16,0.19,15.16,59.53,61.59%,3.28%,-4.24%,-5.17%,-28.77%,46.32,815.58
"TSLA","Tesla Inc",298.94,142.67,5.93,12.26,220.54,32.40%,2.50%,4.18%,-18.35%,-35.50%,37.63,321.75
"TSM","Taiwan Semiconductor Manufacturing ADR",29.74,19.02,0.51,14.96,53.56,30.42%,0.64%,2.16%,-5.71%,-13.98%,49.09,412.04
"TXN","Texas Instruments Inc",42.31,27.21,0.89,13.06,47.43,20.54%,1.73%,-0.24%,-7.71%,-16.75%,45.16,278.09
"WDC","Western Digital Corp",27.04,14.33,0.24,13.26,53.75,64.94%,6.81%,-15.02%,-17.68%,-43.37%,40.24,453.00
"XLK","State Street Technology Select Sector SPDR ETF",,,,,,,,5.44%,2.14%,-6.76%,56.50,185.29
