# opt_chain META | epoch 1784725820 | 2026-07-22 09:10:20 | spot 645.56 | exps 20260722 20260724
# strike right exp bid ask vol oi iv delta gamma
645.00 C 20260722 -1.00 -1.00 0 498 -1.0000 -1.0000 -1.0000
645.00 P 20260722 -1.00 -1.00 0 753 -1.0000 -1.0000 -1.0000
647.50 C 20260722 -1.00 -1.00 0 614 -1.0000 -1.0000 -1.0000
647.50 P 20260722 -1.00 -1.00 0 966 -1.0000 -1.0000 -1.0000
642.50 C 20260722 -1.00 -1.00 0 198 -1.0000 -1.0000 -1.0000
642.50 P 20260722 -1.00 -1.00 0 259 -1.0000 -1.0000 -1.0000
650.00 C 20260722 -1.00 -1.00 0 1184 -1.0000 -1.0000 -1.0000
650.00 P 20260722 -1.00 -1.00 0 330 -1.0000 -1.0000 -1.0000
640.00 C 20260722 -1.00 -1.00 0 534 -1.0000 -1.0000 -1.0000
640.00 P 20260722 -1.00 -1.00 0 1346 -1.0000 -1.0000 -1.0000
652.50 C 20260722 -1.00 -1.00 0 439 -1.0000 -1.0000 -1.0000
652.50 P 20260722 -1.00 -1.00 0 35 -1.0000 -1.0000 -1.0000
637.50 C 20260722 -1.00 -1.00 0 172 -1.0000 -1.0000 -1.0000
637.50 P 20260722 -1.00 -1.00 0 303 -1.0000 -1.0000 -1.0000
655.00 C 20260722 -1.00 -1.00 0 966 -1.0000 -1.0000 -1.0000
655.00 P 20260722 -1.00 -1.00 0 411 -1.0000 -1.0000 -1.0000
635.00 C 20260722 -1.00 -1.00 0 267 -1.0000 -1.0000 -1.0000
635.00 P 20260722 -1.00 -1.00 0 502 -1.0000 -1.0000 -1.0000
657.50 C 20260722 -1.00 -1.00 0 292 -1.0000 -1.0000 -1.0000
657.50 P 20260722 -1.00 -1.00 0 166 -1.0000 -1.0000 -1.0000
632.50 C 20260722 -1.00 -1.00 0 18 -1.0000 -1.0000 -1.0000
632.50 P 20260722 -1.00 -1.00 0 306 -1.0000 -1.0000 -1.0000
660.00 C 20260722 -1.00 -1.00 0 1310 -1.0000 -1.0000 -1.0000
660.00 P 20260722 -1.00 -1.00 0 538 -1.0000 -1.0000 -1.0000
645.00 C 20260724 -1.00 -1.00 0 934 -1.0000 -1.0000 -1.0000
645.00 P 20260724 -1.00 -1.00 0 473 -1.0000 -1.0000 -1.0000
647.50 C 20260724 -1.00 -1.00 0 844 -1.0000 -1.0000 -1.0000
647.50 P 20260724 -1.00 -1.00 0 154 -1.0000 -1.0000 -1.0000
642.50 C 20260724 -1.00 -1.00 0 386 -1.0000 -1.0000 -1.0000
642.50 P 20260724 -1.00 -1.00 0 297 -1.0000 -1.0000 -1.0000
650.00 C 20260724 -1.00 -1.00 0 2739 -1.0000 -1.0000 -1.0000
650.00 P 20260724 -1.00 -1.00 0 945 -1.0000 -1.0000 -1.0000
640.00 C 20260724 -1.00 -1.00 0 1622 -1.0000 -1.0000 -1.0000
640.00 P 20260724 -1.00 -1.00 0 1407 -1.0000 -1.0000 -1.0000
652.50 C 20260724 -1.00 -1.00 0 622 -1.0000 -1.0000 -1.0000
652.50 P 20260724 -1.00 -1.00 0 199 -1.0000 -1.0000 -1.0000
637.50 C 20260724 -1.00 -1.00 0 193 -1.0000 -1.0000 -1.0000
637.50 P 20260724 -1.00 -1.00 0 281 -1.0000 -1.0000 -1.0000
655.00 C 20260724 -1.00 -1.00 0 1104 -1.0000 -1.0000 -1.0000
655.00 P 20260724 -1.00 -1.00 0 227 -1.0000 -1.0000 -1.0000
635.00 C 20260724 -1.00 -1.00 0 475 -1.0000 -1.0000 -1.0000
635.00 P 20260724 -1.00 -1.00 0 381 -1.0000 -1.0000 -1.0000
657.50 C 20260724 -1.00 -1.00 0 206 -1.0000 -1.0000 -1.0000
657.50 P 20260724 -1.00 -1.00 0 135 -1.0000 -1.0000 -1.0000
632.50 C 20260724 -1.00 -1.00 0 69 -1.0000 -1.0000 -1.0000
632.50 P 20260724 -1.00 -1.00 0 251 -1.0000 -1.0000 -1.0000
660.00 C 20260724 -1.00 -1.00 0 3371 -1.0000 -1.0000 -1.0000
660.00 P 20260724 -1.00 -1.00 0 794 -1.0000 -1.0000 -1.0000
