# opt_chain NOK | epoch 1784728837 | 2026-07-22 10:00:37 | spot 10.43 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
10.50 C 20260724 0.61 0.63 1861 11644 1.9540 0.5158 0.2505
10.50 P 20260724 0.67 0.69 203 6544 1.9540 -0.4857 0.2509
10.00 C 20260724 0.85 0.88 1136 4685 1.9077 0.6416 0.2402
10.00 P 20260724 0.40 0.43 1322 4389 1.9077 -0.3597 0.2406
11.00 C 20260724 0.42 0.44 3073 20621 1.9775 0.3978 0.2393
11.00 P 20260724 0.95 1.03 30 3407 1.9775 -0.6040 0.2398
10.50 C 20260731 0.67 0.74 546 1794 1.1481 0.5213 0.2113
10.50 P 20260731 0.77 0.88 11 4083 1.1481 -0.4810 0.2110
10.00 C 20260731 0.96 0.97 381 2079 1.1485 0.6265 0.2019
10.00 P 20260731 0.52 0.60 61 10128 1.1485 -0.3746 0.2008
11.00 C 20260731 0.51 0.54 874 13945 1.1515 0.4205 0.2060
11.00 P 20260731 1.08 1.19 30 2014 1.1515 -0.5818 0.2062
