16:00:59 20260724 ±3% ATM volumen dia
NVDA volC 407,940 volP 168,599 P/C 0.41
AMD volC 20,500 volP 13,491 P/C 0.66
MU volC 23,350 volP 25,372 P/C 1.09
INTC volC 9,243 volP 4,909 P/C 0.53
TSM volC 3,141 volP 3,967 P/C 1.26
SMH volC 2,050 volP 7,818 P/C 3.81
QQQ volC 64,407 volP 72,426 P/C 1.12
SPY volC 120,572 volP 190,579 P/C 1.58
AAPL volC 125,914 volP 58,716 P/C 0.47
MSFT volC 49,099 volP 19,264 P/C 0.39
META volC 16,753 volP 12,531 P/C 0.75
AMZN volC 92,806 volP 33,987 P/C 0.37
TSLA volC 105,349 volP 101,119 P/C 0.96
AVGO volC 32,954 volP 2,507 P/C 0.08
GOOGL volC 27,196 volP 28,576 P/C 1.05
NOK volC 15,283 volP 1,458 P/C 0.10
TXN volC 3,134 volP 1,403 P/C 0.45
QCOM volC 3,313 volP 710 P/C 0.21
NFLX volC 70,125 volP 44,702 P/C 0.64
GLD volC 17,625 volP 7,401 P/C 0.42
XLK volC 237 volP 484 P/C 2.04
LRCX volC 304 volP 134 P/C 0.44
SNDK volC 8,127 volP 4,927 P/C 0.61
WDC volC 551 volP 214 P/C 0.39
STX volC 789 volP 1,820 P/C 2.31
