# opt_chain AMZN | epoch 1784833704 | 2026-07-23 15:08:24 | spot 233.42 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
232.50 C 20260724 2.49 2.53 4839 318 0.3936 0.5934 0.0800
232.50 P 20260724 1.47 1.49 22748 4441 0.3936 -0.4077 0.0803
235.00 C 20260724 1.29 1.31 33775 1207 0.3913 0.3915 0.0788
235.00 P 20260724 2.74 2.79 15549 6693 0.3913 -0.6105 0.0792
230.00 C 20260724 4.15 4.30 1270 1733 0.4050 0.7636 0.0614
230.00 P 20260724 0.69 0.71 15748 5596 0.4050 -0.2370 0.0615
237.50 C 20260724 0.60 0.62 21803 441 0.4016 0.2226 0.0596
237.50 P 20260724 4.55 4.65 3802 3744 0.4016 -0.7805 0.0602
227.50 C 20260724 6.25 6.65 760 1061 0.4287 0.8788 0.0379
227.50 P 20260724 0.32 0.33 7288 4640 0.4287 -0.1216 0.0379
240.00 C 20260724 0.27 0.28 25926 4208 0.4133 0.1126 0.0366
240.00 P 20260724 6.60 6.85 3888 7809 0.4133 -0.8916 0.0372
225.00 C 20260724 8.30 8.95 5627 697 0.4615 0.9377 0.0214
225.00 P 20260724 0.16 0.17 5402 4853 0.4615 -0.0626 0.0215
242.50 C 20260724 0.14 0.15 19001 2231 0.4498 0.0600 0.0213
242.50 P 20260724 8.85 9.20 1171 4394 0.4498 -0.9450 0.0219
232.50 C 20260727 3.35 3.60 732 21 0.2911 0.5658 0.0550
232.50 P 20260727 2.29 2.45 947 122 0.2911 -0.4354 0.0552
235.00 C 20260727 2.15 2.28 3835 73 0.2888 0.4269 0.0554
235.00 P 20260727 3.60 3.75 1442 852 0.2888 -0.5750 0.0557
230.00 C 20260727 4.90 5.20 838 116 0.2956 0.6952 0.0484
230.00 P 20260727 1.44 1.48 1621 4049 0.2956 -0.3054 0.0485
237.50 C 20260727 1.31 1.38 1715 139 0.2892 0.2971 0.0489
237.50 P 20260727 5.25 5.40 290 1330 0.2892 -0.7055 0.0493
227.50 C 20260727 6.80 7.00 887 9 0.3024 0.8041 0.0374
227.50 P 20260727 0.80 0.89 517 124 0.3024 -0.1962 0.0375
240.00 C 20260727 0.75 0.79 4043 179 0.2930 0.1944 0.0385
240.00 P 20260727 7.05 7.35 271 595 0.2930 -0.8093 0.0390
225.00 C 20260727 8.90 9.20 1351 43 0.3127 0.8762 0.0266
225.00 P 20260727 0.44 0.50 936 311 0.3127 -0.1240 0.0267
242.50 C 20260727 0.42 0.46 4104 113 0.3009 0.1193 0.0273
242.50 P 20260727 8.95 9.55 658 835 0.3009 -0.8853 0.0279
