# opt_chain DRAM | epoch 1784830837 | 2026-07-23 14:20:37 | spot 58.45 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
58.50 C 20260724 1.29 1.55 547 742 1.1317 0.5079 0.1121
58.50 P 20260724 1.32 1.50 837 626 1.1317 -0.4923 0.1121
58.00 C 20260724 1.61 1.82 1127 6736 1.1432 0.5631 0.1092
58.00 P 20260724 1.14 1.25 903 4365 1.1432 -0.4370 0.1093
59.00 C 20260724 1.08 1.20 1530 5206 1.1228 0.4519 0.1119
59.00 P 20260724 1.58 1.81 123 4536 1.1228 -0.5483 0.1120
57.50 C 20260724 1.83 2.25 427 2613 1.1572 0.6174 0.1045
57.50 P 20260724 0.90 1.14 489 361 1.1572 -0.3827 0.1046
59.50 C 20260724 0.78 1.08 189 865 1.1167 0.3971 0.1094
59.50 P 20260724 1.69 2.29 5 232 1.1167 -0.6031 0.1094
57.00 C 20260724 2.20 2.41 476 1648 1.1735 0.6693 0.0983
57.00 P 20260724 0.77 0.90 656 797 1.1735 -0.3308 0.0983
60.00 C 20260724 0.72 0.84 12492 17190 1.1134 0.3440 0.1050
60.00 P 20260724 2.20 2.35 376 2489 1.1134 -0.6562 0.1050
56.50 C 20260724 2.50 3.10 183 309 1.1918 0.7145 0.0903
56.50 P 20260724 0.63 0.76 110 858 1.1918 -0.2855 0.0904
60.50 C 20260724 0.56 0.72 176 1298 1.1129 0.2966 0.0986
60.50 P 20260724 2.51 2.85 22 217 1.1129 -0.7037 0.0987
56.00 C 20260724 2.89 3.20 2752 646 1.2120 0.7553 0.0822
56.00 P 20260724 0.52 0.60 706 2831 1.2120 -0.2448 0.0822
61.00 C 20260724 0.45 0.57 2253 3107 1.1152 0.2520 0.0906
61.00 P 20260724 2.59 3.25 81 281 1.1152 -0.7483 0.0907
55.50 C 20260724 3.30 3.70 61 400 1.2337 0.7923 0.0737
55.50 P 20260724 0.41 0.50 123 1564 1.2337 -0.2077 0.0737
61.50 C 20260724 0.36 0.49 1182 1905 1.1199 0.2098 0.0816
61.50 P 20260724 3.10 3.70 8 98 1.1199 -0.7905 0.0817
55.00 C 20260724 3.70 4.05 2142 2401 1.2568 0.8254 0.0648
55.00 P 20260724 0.34 0.42 3412 6347 1.2568 -0.1746 0.0648
58.50 C 20260731 3.70 3.90 135 291 1.0883 0.5330 0.0423
58.50 P 20260731 3.65 3.85 124 1197 1.0883 -0.4675 0.0424
58.00 C 20260731 3.95 4.20 470 519 1.0924 0.5554 0.0417
58.00 P 20260731 3.40 3.55 212 990 1.0924 -0.4475 0.0419
59.00 C 20260731 3.45 3.65 668 4591 1.0844 0.5108 0.0425
59.00 P 20260731 3.85 4.15 101 387 1.0844 -0.4897 0.0425
57.50 C 20260731 4.20 4.45 60 2202 1.0967 0.5763 0.0412
57.50 P 20260731 3.15 3.50 3062 203 1.0967 -0.4252 0.0413
59.50 C 20260731 3.20 3.40 69 504 1.0808 0.4917 0.0425
59.50 P 20260731 4.15 4.40 15 96 1.0808 -0.5109 0.0426
57.00 C 20260731 4.45 4.80 229 1836 1.1014 0.5971 0.0406
57.00 P 20260731 2.96 3.10 2215 506 1.1014 -0.4032 0.0406
60.00 C 20260731 3.00 3.20 1027 12933 1.0774 0.4684 0.0427
60.00 P 20260731 4.45 4.60 219 3939 1.0774 -0.5322 0.0428
56.50 C 20260731 4.75 5.25 162 138 1.1062 0.6176 0.0399
56.50 P 20260731 2.75 2.94 78 473 1.1062 -0.3827 0.0400
60.50 C 20260731 2.78 3.10 17 183 1.0743 0.4482 0.0426
60.50 P 20260731 4.60 5.00 8 178 1.0743 -0.5520 0.0427
56.00 C 20260731 4.95 5.40 16 1312 1.1114 0.6353 0.0390
56.00 P 20260731 2.54 2.71 1332 903 1.1114 -0.3650 0.0391
61.00 C 20260731 2.61 2.70 83 901 1.0714 0.4279 0.0423
61.00 P 20260731 5.00 5.25 36 547 1.0714 -0.5715 0.0424
55.50 C 20260731 5.30 5.85 17 500 1.1168 0.6558 0.0380
55.50 P 20260731 2.35 2.51 16 278 1.1168 -0.3452 0.0381
61.50 C 20260731 2.38 2.65 37 422 1.0688 0.4066 0.0419
61.50 P 20260731 5.20 5.60 3 338 1.0688 -0.5931 0.0420
55.00 C 20260731 5.60 6.15 212 2013 1.1225 0.6754 0.0370
55.00 P 20260731 2.20 2.31 1180 24565 1.1225 -0.3249 0.0371
