# opt_chain NVDA | epoch 1784828888 | 2026-07-23 13:48:08 | spot 209.73 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
210.00 C 20260724 1.90 1.92 212137 62170 0.4346 0.4845 0.0802
210.00 P 20260724 2.07 2.10 42414 11928 0.4346 -0.5163 0.0804
207.50 C 20260724 3.35 3.45 58299 33767 0.4437 0.6828 0.0702
207.50 P 20260724 1.07 1.09 95902 16164 0.4437 -0.3176 0.0703
212.50 C 20260724 0.91 0.93 148779 43118 0.4335 0.3021 0.0703
212.50 P 20260724 3.55 3.65 5666 4846 0.4335 -0.6992 0.0706
205.00 C 20260724 5.30 5.40 28625 19272 0.4620 0.8194 0.0497
205.00 P 20260724 0.51 0.52 105712 29577 0.4620 -0.1809 0.0498
215.00 C 20260724 0.39 0.40 134748 60222 0.4360 0.1566 0.0482
215.00 P 20260724 5.50 5.60 4446 13626 0.4360 -0.8512 0.0473
202.50 C 20260724 7.50 7.65 2022 6993 0.4961 0.9071 0.0293
202.50 P 20260724 0.25 0.26 39400 10042 0.4961 -0.0922 0.0291
217.50 C 20260724 0.16 0.17 45086 58581 0.4508 0.0743 0.0272
217.50 P 20260724 7.80 7.90 5357 992 0.4508 -0.9316 0.0267
200.00 C 20260724 9.90 10.05 10499 7567 0.5434 0.9484 0.0171
200.00 P 20260724 0.14 0.15 51625 25511 0.5434 -0.0517 0.0171
220.00 C 20260724 0.07 0.08 55878 47803 0.4860 0.0359 0.0142
220.00 P 20260724 10.20 10.35 4735 1799 0.4860 -0.9649 0.0152
197.50 C 20260724 12.25 12.55 11304 2037 0.6045 0.9678 0.0104
197.50 P 20260724 0.09 0.10 7953 7291 0.6045 -0.0322 0.0105
210.00 C 20260727 2.92 2.95 27945 10067 0.3413 0.4967 0.0529
210.00 P 20260727 3.05 3.15 5104 7708 0.3413 -0.4986 0.0531
207.50 C 20260727 4.35 4.45 5336 1434 0.3517 0.6222 0.0488
207.50 P 20260727 2.03 2.05 6629 2481 0.3517 -0.3786 0.0490
212.50 C 20260727 1.82 1.86 13387 3831 0.3359 0.3713 0.0509
212.50 P 20260727 4.45 4.55 2847 1018 0.3359 -0.6300 0.0512
205.00 C 20260727 6.10 6.20 908 1587 0.3609 0.7392 0.0408
205.00 P 20260727 1.30 1.32 6841 7532 0.3609 -0.2613 0.0409
215.00 C 20260727 1.06 1.07 12816 8063 0.3315 0.2515 0.0434
215.00 P 20260727 6.15 6.25 973 632 0.3315 -0.7511 0.0437
202.50 C 20260727 8.15 8.25 110 418 0.3748 0.8184 0.0318
202.50 P 20260727 0.83 0.85 5597 8697 0.3748 -0.1819 0.0318
217.50 C 20260727 0.58 0.60 3333 3022 0.3301 0.1585 0.0331
217.50 P 20260727 8.20 8.30 1253 360 0.3301 -0.8451 0.0335
200.00 C 20260727 10.10 10.50 1076 415 0.3963 0.8768 0.0232
200.00 P 20260727 0.54 0.56 7465 12539 0.3963 -0.1234 0.0232
220.00 C 20260727 0.32 0.33 9417 6815 0.3356 0.0927 0.0223
220.00 P 20260727 10.35 11.00 1108 331 0.3356 -0.9115 0.0229
197.50 C 20260727 12.30 12.80 4404 819 0.4231 0.9155 0.0165
197.50 P 20260727 0.36 0.38 2081 383 0.4231 -0.0846 0.0165
