# opt_chain QCOM | epoch 1784837515 | 2026-07-23 16:11:55 | spot 171.80 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
172.50 C 20260724 -1.00 -1.00 591 425 -1.0000 -1.0000 -1.0000
172.50 P 20260724 -1.00 -1.00 165 490 -1.0000 -1.0000 -1.0000
170.00 C 20260724 -1.00 -1.00 773 358 -1.0000 -1.0000 -1.0000
170.00 P 20260724 -1.00 -1.00 1066 1395 -1.0000 -1.0000 -1.0000
175.00 C 20260724 -1.00 -1.00 1581 1479 -1.0000 -1.0000 -1.0000
175.00 P 20260724 -1.00 -1.00 117 1533 -1.0000 -1.0000 -1.0000
167.50 C 20260724 -1.00 -1.00 60 60 -1.0000 -1.0000 -1.0000
167.50 P 20260724 -1.00 -1.00 5420 812 -1.0000 -1.0000 -1.0000
177.50 C 20260724 -1.00 -1.00 591 1216 -1.0000 -1.0000 -1.0000
177.50 P 20260724 -1.00 -1.00 69 627 -1.0000 -1.0000 -1.0000
165.00 C 20260724 -1.00 -1.00 82 309 -1.0000 -1.0000 -1.0000
165.00 P 20260724 -1.00 -1.00 1394 1996 -1.0000 -1.0000 -1.0000
180.00 C 20260724 -1.00 -1.00 1698 3454 -1.0000 -1.0000 -1.0000
180.00 P 20260724 -1.00 -1.00 91 1902 -1.0000 -1.0000 -1.0000
162.50 C 20260724 -1.00 -1.00 18 80 -1.0000 -1.0000 -1.0000
162.50 P 20260724 -1.00 -1.00 1016 2006 -1.0000 -1.0000 -1.0000
172.50 C 20260731 -1.00 -1.00 29 181 -1.0000 -1.0000 -1.0000
172.50 P 20260731 -1.00 -1.00 20 327 -1.0000 -1.0000 -1.0000
170.00 C 20260731 -1.00 -1.00 206 200 -1.0000 -1.0000 -1.0000
170.00 P 20260731 -1.00 -1.00 214 817 -1.0000 -1.0000 -1.0000
175.00 C 20260731 -1.00 -1.00 695 339 -1.0000 -1.0000 -1.0000
175.00 P 20260731 -1.00 -1.00 60 493 -1.0000 -1.0000 -1.0000
167.50 C 20260731 -1.00 -1.00 13 15 -1.0000 -1.0000 -1.0000
167.50 P 20260731 -1.00 -1.00 76 157 -1.0000 -1.0000 -1.0000
177.50 C 20260731 -1.00 -1.00 98 354 -1.0000 -1.0000 -1.0000
177.50 P 20260731 -1.00 -1.00 11 330 -1.0000 -1.0000 -1.0000
165.00 C 20260731 -1.00 -1.00 257 138 -1.0000 -1.0000 -1.0000
165.00 P 20260731 -1.00 -1.00 236 838 -1.0000 -1.0000 -1.0000
180.00 C 20260731 -1.00 -1.00 177 1229 -1.0000 -1.0000 -1.0000
180.00 P 20260731 -1.00 -1.00 53 650 -1.0000 -1.0000 -1.0000
162.50 C 20260731 -1.00 -1.00 3 6 -1.0000 -1.0000 -1.0000
162.50 P 20260731 -1.00 -1.00 12 74 -1.0000 -1.0000 -1.0000
