# opt_chain QQQ | epoch 1784832076 | 2026-07-23 14:41:16 | spot 691.07 | exps 20260723 20260724
# strike right exp bid ask vol oi iv delta gamma
691.00 C 20260723 1.37 1.39 132847 594 0.3565 0.5128 0.1216
691.00 P 20260723 1.29 1.31 223940 3896 0.3565 -0.4872 0.1217
692.00 C 20260723 0.89 0.90 185360 139 0.3487 0.3909 0.1195
692.00 P 20260723 1.80 1.84 219069 1890 0.3487 -0.6092 0.1195
690.00 C 20260723 1.96 1.99 164052 553 0.3650 0.6278 0.1125
690.00 P 20260723 0.89 0.91 326242 6018 0.3650 -0.3722 0.1125
693.00 C 20260723 0.54 0.55 201398 186 0.3425 0.2741 0.1060
693.00 P 20260723 2.44 2.50 175563 1059 0.3425 -0.7259 0.1060
689.00 C 20260723 2.65 2.70 39032 10 0.3738 0.7247 0.0973
689.00 P 20260723 0.59 0.61 162582 6955 0.3738 -0.2753 0.0973
694.00 C 20260723 0.31 0.32 189616 205 0.3380 0.1747 0.0826
694.00 P 20260723 3.21 3.26 143639 4697 0.3380 -0.8253 0.0826
688.00 C 20260723 3.44 3.49 18675 1 0.3812 0.8075 0.0779
688.00 P 20260723 0.38 0.40 143739 3867 0.3812 -0.1925 0.0779
695.00 C 20260723 0.16 0.17 258271 493 0.3372 0.1088 0.0601
695.00 P 20260723 4.05 4.17 119447 4960 0.3372 -0.8912 0.0601
687.00 C 20260723 4.27 4.36 9714 3 0.3938 0.8728 0.0573
687.00 P 20260723 0.25 0.26 104808 3056 0.3938 -0.1272 0.0573
696.00 C 20260723 0.08 0.09 164582 345 0.3416 0.0571 0.0359
696.00 P 20260723 4.97 5.10 71409 2398 0.3416 -0.9429 0.0359
686.00 C 20260723 5.17 5.29 3817 29 0.4109 0.9159 0.0408
686.00 P 20260723 0.16 0.17 88355 879 0.4109 -0.0841 0.0408
697.00 C 20260723 0.04 0.05 137612 462 0.3515 0.0349 0.0239
697.00 P 20260723 5.91 6.05 27534 1354 0.3515 -0.9651 0.0239
685.00 C 20260723 6.10 6.23 4504 588 0.4265 0.9391 0.0306
