# opt_chain SMH | epoch 1784819001 | 2026-07-23 11:03:21 | spot 578.88 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
580.00 C 20260724 7.80 8.80 457 1054 0.6459 0.4874 0.0185
580.00 P 20260724 8.60 9.70 291 1006 0.6459 -0.5129 0.0186
577.50 C 20260724 9.05 10.30 30 135 0.6493 0.5334 0.0184
577.50 P 20260724 7.55 8.50 33 65 0.6493 -0.4669 0.0184
582.50 C 20260724 6.55 7.80 89 240 0.6438 0.4411 0.0184
582.50 P 20260724 9.85 11.50 287 213 0.6438 -0.5592 0.0184
575.00 C 20260724 10.35 11.70 157 1674 0.6539 0.5788 0.0180
575.00 P 20260724 6.35 7.35 862 1906 0.6539 -0.4214 0.0180
585.00 C 20260724 5.50 6.80 270 888 0.6430 0.3963 0.0180
585.00 P 20260724 11.15 13.15 1439 2338 0.6430 -0.6041 0.0180
572.50 C 20260724 11.90 13.25 24 307 0.6599 0.6221 0.0173
572.50 P 20260724 5.50 6.50 46 3197 0.6599 -0.3780 0.0173
587.50 C 20260724 4.65 5.80 39 244 0.6433 0.3521 0.0174
587.50 P 20260724 11.70 14.95 405 457 0.6433 -0.6484 0.0174
570.00 C 20260724 13.60 15.15 186 321 0.6671 0.6638 0.0165
570.00 P 20260724 4.70 5.65 533 947 0.6671 -0.3364 0.0165
590.00 C 20260724 3.85 4.85 526 2623 0.6448 0.3118 0.0165
590.00 P 20260724 13.50 16.45 68 364 0.6448 -0.6887 0.0165
567.50 C 20260724 14.65 17.50 4 58 0.6756 0.7015 0.0154
567.50 P 20260724 3.85 5.05 205 521 0.6756 -0.2986 0.0154
592.50 C 20260724 3.20 4.25 100 192 0.6474 0.2728 0.0154
592.50 P 20260724 15.90 18.10 2 88 0.6474 -0.7277 0.0155
565.00 C 20260724 17.15 18.75 25 313 0.6852 0.7378 0.0143
565.00 P 20260724 3.50 4.00 1136 2940 0.6852 -0.2623 0.0143
595.00 C 20260724 2.84 3.20 74 601 0.6510 0.2386 0.0143
