# opt_chain SNDK | epoch 1784837346 | 2026-07-23 16:09:06 | spot 1627.25 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
1625.00 C 20260724 -1.00 -1.00 455 101 -1.0000 -1.0000 -1.0000
1625.00 P 20260724 -1.00 -1.00 249 125 -1.0000 -1.0000 -1.0000
1630.00 C 20260724 -1.00 -1.00 916 80 -1.0000 -1.0000 -1.0000
1630.00 P 20260724 -1.00 -1.00 858 302 -1.0000 -1.0000 -1.0000
1620.00 C 20260724 -1.00 -1.00 458 367 -1.0000 -1.0000 -1.0000
1620.00 P 20260724 -1.00 -1.00 563 107 -1.0000 -1.0000 -1.0000
1635.00 C 20260724 -1.00 -1.00 566 29 -1.0000 -1.0000 -1.0000
1635.00 P 20260724 -1.00 -1.00 457 82 -1.0000 -1.0000 -1.0000
1615.00 C 20260724 -1.00 -1.00 413 224 -1.0000 -1.0000 -1.0000
1615.00 P 20260724 -1.00 -1.00 1212 297 -1.0000 -1.0000 -1.0000
1640.00 C 20260724 -1.00 -1.00 583 98 -1.0000 -1.0000 -1.0000
1640.00 P 20260724 -1.00 -1.00 664 122 -1.0000 -1.0000 -1.0000
1610.00 C 20260724 -1.00 -1.00 702 160 -1.0000 -1.0000 -1.0000
1610.00 P 20260724 -1.00 -1.00 572 180 -1.0000 -1.0000 -1.0000
1645.00 C 20260724 -1.00 -1.00 397 82 -1.0000 -1.0000 -1.0000
1645.00 P 20260724 -1.00 -1.00 293 151 -1.0000 -1.0000 -1.0000
1605.00 C 20260724 -1.00 -1.00 198 135 -1.0000 -1.0000 -1.0000
1605.00 P 20260724 -1.00 -1.00 169 176 -1.0000 -1.0000 -1.0000
1650.00 C 20260724 -1.00 -1.00 2168 968 -1.0000 -1.0000 -1.0000
1650.00 P 20260724 -1.00 -1.00 1145 1070 -1.0000 -1.0000 -1.0000
1600.00 C 20260724 -1.00 -1.00 2772 1699 -1.0000 -1.0000 -1.0000
1600.00 P 20260724 -1.00 -1.00 2586 836 -1.0000 -1.0000 -1.0000
1655.00 C 20260724 -1.00 -1.00 251 91 -1.0000 -1.0000 -1.0000
1655.00 P 20260724 -1.00 -1.00 202 81 -1.0000 -1.0000 -1.0000
1595.00 C 20260724 -1.00 -1.00 440 115 -1.0000 -1.0000 -1.0000
1595.00 P 20260724 -1.00 -1.00 116 132 -1.0000 -1.0000 -1.0000
1660.00 C 20260724 -1.00 -1.00 362 113 -1.0000 -1.0000 -1.0000
1660.00 P 20260724 -1.00 -1.00 347 135 -1.0000 -1.0000 -1.0000
1590.00 C 20260724 -1.00 -1.00 168 165 -1.0000 -1.0000 -1.0000
1590.00 P 20260724 -1.00 -1.00 163 99 -1.0000 -1.0000 -1.0000
1665.00 C 20260724 -1.00 -1.00 474 102 -1.0000 -1.0000 -1.0000
1665.00 P 20260724 -1.00 -1.00 346 24 -1.0000 -1.0000 -1.0000
1625.00 C 20260731 -1.00 -1.00 118 47 -1.0000 -1.0000 -1.0000
1625.00 P 20260731 -1.00 -1.00 30 29 -1.0000 -1.0000 -1.0000
1630.00 C 20260731 -1.00 -1.00 77 52 -1.0000 -1.0000 -1.0000
1630.00 P 20260731 -1.00 -1.00 76 27 -1.0000 -1.0000 -1.0000
1620.00 C 20260731 -1.00 -1.00 171 145 -1.0000 -1.0000 -1.0000
1620.00 P 20260731 -1.00 -1.00 21 40 -1.0000 -1.0000 -1.0000
1635.00 C 20260731 -1.00 -1.00 49 43 -1.0000 -1.0000 -1.0000
1635.00 P 20260731 -1.00 -1.00 16 35 -1.0000 -1.0000 -1.0000
1615.00 C 20260731 -1.00 -1.00 69 171 -1.0000 -1.0000 -1.0000
1615.00 P 20260731 -1.00 -1.00 24 65 -1.0000 -1.0000 -1.0000
1640.00 C 20260731 -1.00 -1.00 110 22 -1.0000 -1.0000 -1.0000
1640.00 P 20260731 -1.00 -1.00 159 22 -1.0000 -1.0000 -1.0000
1610.00 C 20260731 -1.00 -1.00 84 122 -1.0000 -1.0000 -1.0000
1610.00 P 20260731 -1.00 -1.00 22 49 -1.0000 -1.0000 -1.0000
1645.00 C 20260731 -1.00 -1.00 10 18 -1.0000 -1.0000 -1.0000
1645.00 P 20260731 -1.00 -1.00 33 19 -1.0000 -1.0000 -1.0000
1607.50 C 20260731 -1.00 -1.00 17 0 -1.0000 -1.0000 -1.0000
1607.50 P 20260731 125.10 135.20 3 0 -1.0000 -1.0000 -1.0000
1605.00 C 20260731 -1.00 -1.00 69 73 -1.0000 -1.0000 -1.0000
1605.00 P 20260731 -1.00 -1.00 27 47 -1.0000 -1.0000 -1.0000
1650.00 C 20260731 -1.00 -1.00 262 703 -1.0000 -1.0000 -1.0000
1650.00 P 20260731 -1.00 -1.00 78 150 -1.0000 -1.0000 -1.0000
1602.50 C 20260731 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.0000
1602.50 P 20260731 122.50 132.30 2 0 -1.0000 -1.0000 -1.0000
1600.00 C 20260731 -1.00 -1.00 594 859 -1.0000 -1.0000 -1.0000
1600.00 P 20260731 -1.00 -1.00 462 293 -1.0000 -1.0000 -1.0000
1655.00 C 20260731 -1.00 -1.00 65 70 -1.0000 -1.0000 -1.0000
1655.00 P 20260731 -1.00 -1.00 16 17 -1.0000 -1.0000 -1.0000
1597.50 C 20260731 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.0000
1597.50 P 20260731 120.20 128.50 1 0 -1.0000 -1.0000 -1.0000
1595.00 C 20260731 -1.00 -1.00 20 203 -1.0000 -1.0000 -1.0000
1595.00 P 20260731 -1.00 -1.00 2 71 -1.0000 -1.0000 -1.0000
1660.00 C 20260731 -1.00 -1.00 85 36 -1.0000 -1.0000 -1.0000
1660.00 P 20260731 -1.00 -1.00 61 57 -1.0000 -1.0000 -1.0000
1592.50 C 20260731 140.10 149.80 0 0 -1.0000 -1.0000 -1.0000
1592.50 P 20260731 117.40 126.50 0 0 -1.0000 -1.0000 -1.0000
1590.00 C 20260731 -1.00 -1.00 28 65 -1.0000 -1.0000 -1.0000
1590.00 P 20260731 -1.00 -1.00 26 186 -1.0000 -1.0000 -1.0000
1665.00 C 20260731 -1.00 -1.00 15 25 -1.0000 -1.0000 -1.0000
1665.00 P 20260731 -1.00 -1.00 47 68 -1.0000 -1.0000 -1.0000
