# opt_chain SPCX | epoch 1784833841 | 2026-07-23 15:10:41 | spot 116.35 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
116.00 C 20260724 2.90 2.95 15545 789 1.1175 0.5307 0.0579
116.00 P 20260724 2.55 2.60 6366 2686 1.1175 -0.4695 0.0580
117.00 C 20260724 2.40 2.45 9100 1807 1.1240 0.4733 0.0576
117.00 P 20260724 3.00 3.20 2559 5711 1.1240 -0.5269 0.0576
115.00 C 20260724 3.40 3.50 18370 1814 1.1110 0.5888 0.0571
115.00 P 20260724 2.05 2.15 18201 11314 1.1110 -0.4113 0.0571
118.00 C 20260724 2.00 2.10 6935 1617 1.1311 0.4191 0.0560
118.00 P 20260724 3.60 3.80 1450 2435 1.1311 -0.5811 0.0561
114.00 C 20260724 4.00 4.10 4856 333 1.1061 0.6465 0.0544
114.00 P 20260724 1.65 1.70 7863 2299 1.1061 -0.3536 0.0545
119.00 C 20260724 1.65 1.75 4646 1356 1.1410 0.3649 0.0536
119.00 P 20260724 4.30 4.40 771 2243 1.1410 -0.6353 0.0536
113.00 C 20260724 4.60 4.80 5265 90 1.1049 0.6991 0.0510
113.00 P 20260724 1.30 1.40 13670 2513 1.1049 -0.3009 0.0510
120.00 C 20260724 1.40 1.45 24264 5285 1.1540 0.3187 0.0501
120.00 P 20260724 4.90 5.20 6315 10588 1.1540 -0.6815 0.0501
112.00 C 20260724 5.30 5.60 3859 145 1.1075 0.7514 0.0464
112.00 P 20260724 1.05 1.10 21673 3410 1.1075 -0.2487 0.0464
121.00 C 20260724 1.15 1.20 3642 1566 1.1677 0.2726 0.0462
121.00 P 20260724 5.70 5.90 654 3154 1.1677 -0.7276 0.0463
111.00 C 20260724 6.00 6.40 2353 71 1.1130 0.7967 0.0413
111.00 P 20260724 0.80 0.85 8624 1927 1.1130 -0.2033 0.0413
122.00 C 20260724 0.95 1.00 4867 2319 1.1801 0.2373 0.0424
122.00 P 20260724 6.40 6.70 1047 4467 1.1801 -0.7630 0.0424
110.00 C 20260724 6.80 7.20 1743 495 1.1214 0.8392 0.0352
110.00 P 20260724 0.60 0.65 28853 8950 1.1214 -0.1608 0.0352
123.00 C 20260724 0.75 0.85 5112 3273 1.1901 0.2013 0.0382
123.00 P 20260724 7.20 7.70 1324 2150 1.1901 -0.7990 0.0382
116.00 C 20260731 6.30 6.70 1398 256 0.9275 0.5316 0.0250
116.00 P 20260731 6.10 6.30 2624 1049 0.9275 -0.4688 0.0251
117.00 C 20260731 5.90 6.20 1100 408 0.9281 0.5071 0.0250
117.00 P 20260731 6.70 6.80 1203 635 0.9281 -0.4927 0.0250
115.00 C 20260731 6.90 7.10 7925 662 0.9270 0.5566 0.0248
115.00 P 20260731 5.60 5.80 3812 16969 0.9270 -0.4431 0.0248
118.00 C 20260731 5.50 5.70 1136 561 0.9291 0.4826 0.0249
118.00 P 20260731 7.20 7.60 1132 920 0.9291 -0.5172 0.0249
114.00 C 20260731 7.20 7.70 837 57 0.9266 0.5817 0.0246
114.00 P 20260731 5.10 5.30 1860 669 0.9266 -0.4180 0.0246
119.00 C 20260731 5.10 5.30 350 203 0.9306 0.4584 0.0248
119.00 P 20260731 7.80 8.20 827 1294 0.9306 -0.5415 0.0248
113.00 C 20260731 7.70 8.20 892 29 0.9262 0.6068 0.0243
113.00 P 20260731 4.60 4.80 4137 753 0.9262 -0.3929 0.0243
120.00 C 20260731 4.80 4.90 6149 1990 0.9329 0.4350 0.0245
120.00 P 20260731 8.40 8.70 1385 9111 0.9329 -0.5648 0.0245
112.00 C 20260731 8.30 8.80 823 33 0.9256 0.6315 0.0238
112.00 P 20260731 4.20 4.40 3424 369 0.9256 -0.3682 0.0238
121.00 C 20260731 4.40 4.60 2573 438 0.9362 0.4123 0.0241
121.00 P 20260731 9.00 9.50 106 786 0.9362 -0.5875 0.0241
111.00 C 20260731 8.90 9.40 257 22 0.9251 0.6560 0.0232
111.00 P 20260731 3.80 4.00 2312 1409 0.9251 -0.3436 0.0232
122.00 C 20260731 4.10 4.30 793 974 0.9403 0.3899 0.0237
122.00 P 20260731 9.70 10.20 316 1368 0.9403 -0.6100 0.0237
110.00 C 20260731 9.60 10.10 666 235 0.9246 0.6804 0.0227
110.00 P 20260731 3.40 3.60 10908 14115 0.9246 -0.3192 0.0227
123.00 C 20260731 3.80 4.00 306 1301 0.9453 0.3680 0.0232
123.00 P 20260731 10.40 10.90 158 1502 0.9453 -0.6319 0.0232
