# opt_chain SPY | epoch 1784837374 | 2026-07-23 16:09:34 | spot 739.00 | exps 20260723 20260724
# strike right exp bid ask vol oi iv delta gamma
739.00 C 20260723 0.30 0.32 504000 669 0.3522 0.3620 0.2718
739.00 P 20260723 0.39 0.40 382258 5411 0.3522 -0.6382 0.2720
738.00 C 20260723 1.00 1.05 465820 103 0.4226 0.6391 0.2612
738.00 P 20260723 0.11 0.12 528878 6481 0.4226 -0.3610 0.2613
740.00 C 20260723 0.04 0.05 604207 587 0.3348 0.1477 0.1627
740.00 P 20260723 1.11 1.15 264286 13653 0.3348 -0.8527 0.1629
737.00 C 20260723 1.89 2.10 305308 13 0.5129 0.8309 0.1598
737.00 P 20260723 0.03 0.04 720522 9010 0.5129 -0.1691 0.1599
741.00 C 20260723 0.01 0.02 424138 501 0.4007 0.0520 0.0696
741.00 P 20260723 1.99 2.15 102448 4291 0.4007 -0.9485 0.0698
736.00 C 20260723 2.92 3.07 110707 71 0.6328 0.9241 0.0813
736.00 P 20260723 0.02 0.03 629265 11610 0.6328 -0.0759 0.0814
742.00 C 20260723 -1.00 0.01 368635 515 0.4261 0.0190 0.0275
742.00 P 20260723 2.91 3.15 48437 3056 0.4261 -0.9816 0.0277
735.00 C 20260723 3.88 4.05 45357 123 0.7809 0.9642 0.0402
735.00 P 20260723 0.01 0.02 632434 6313 0.7809 -0.0358 0.0402
743.00 C 20260723 -1.00 0.01 288728 1502 0.4573 0.0067 0.0103
743.00 P 20260723 3.93 4.13 19544 4183 0.4573 -0.9940 0.0105
734.00 C 20260723 4.80 5.14 15606 16 0.9339 0.9815 0.0208
734.00 P 20260723 0.01 0.02 372889 1286 0.9339 -0.0185 0.0208
744.00 C 20260723 -1.00 0.01 205052 1703 0.4984 0.0019 0.0032
744.00 P 20260723 4.97 5.21 11538 6102 0.4984 -0.9988 0.0034
733.00 C 20260723 5.80 6.16 6936 7 1.0877 0.9894 0.0116
733.00 P 20260723 0.01 0.02 290139 2235 1.0877 -0.0106 0.0116
745.00 C 20260723 -1.00 0.01 307010 5602 0.5278 0.0004 0.0008
745.00 P 20260723 6.00 6.15 20384 13004 0.5278 -1.0000 -0.0000
732.00 C 20260723 6.80 7.15 3943 5 1.2428 0.9931 0.0072
732.00 P 20260723 0.01 0.02 165118 4385 1.2428 -0.0069 0.0072
746.00 C 20260723 -1.00 0.01 106764 4431 0.5463 0.0001 0.0001
746.00 P 20260723 6.87 7.14 8415 8883 0.5463 -1.0000 -0.0000
731.00 C 20260723 7.80 8.15 2078 4 1.3817 0.9948 0.0050
731.00 P 20260723 0.01 0.02 96933 1967 1.3817 -0.0052 0.0050
747.00 C 20260723 -1.00 0.01 61795 7503 0.5542 0.0000 0.0000
747.00 P 20260723 8.03 8.15 6558 7913 0.5542 -1.0000 0.0000
730.00 C 20260723 8.80 9.15 2681 82 1.4790 0.9961 0.0036
730.00 P 20260723 0.01 0.02 145484 12521 1.4790 -0.0039 0.0036
748.00 C 20260723 -1.00 0.01 45296 12511 0.5587 0.0000 0.0000
748.00 P 20260723 8.98 9.14 8171 10216 0.5587 -1.0000 0.0000
729.00 C 20260723 9.80 10.15 546 58 1.5107 0.9974 0.0024
729.00 P 20260723 -1.00 0.01 102053 1100 1.5107 -0.0026 0.0024
739.00 C 20260724 2.78 2.80 60486 1204 0.1732 0.4959 0.0599
739.00 P 20260724 2.56 2.58 56603 3879 0.1732 -0.5120 0.0614
738.00 C 20260724 3.40 3.42 60207 1915 0.1772 0.5543 0.0581
738.00 P 20260724 2.17 2.20 70457 4556 0.1772 -0.4520 0.0594
740.00 C 20260724 2.22 2.24 110334 3798 0.1675 0.4344 0.0610
