# opt_chain TSLA | epoch 1784830879 | 2026-07-23 14:21:19 | spot 320.59 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
320.00 C 20260724 4.75 4.80 36827 67 0.6231 0.5364 0.0370
320.00 P 20260724 3.90 4.00 116048 11454 0.6231 -0.4645 0.0371
322.50 C 20260724 3.60 3.65 38295 10 0.6315 0.4448 0.0365
322.50 P 20260724 5.25 5.35 66111 803 0.6315 -0.5564 0.0366
317.50 C 20260724 6.15 6.25 14658 17 0.6207 0.6270 0.0351
317.50 P 20260724 2.86 2.89 43970 957 0.6207 -0.3738 0.0352
325.00 C 20260724 2.68 2.71 76476 154 0.6406 0.3599 0.0338
325.00 P 20260724 6.80 6.95 78210 7400 0.6406 -0.6415 0.0340
315.00 C 20260724 7.80 7.90 11917 90 0.6295 0.7100 0.0315
315.00 P 20260724 2.04 2.06 56371 2613 0.6295 -0.2905 0.0315
327.50 C 20260724 1.98 2.00 39749 33 0.6531 0.2848 0.0301
327.50 P 20260724 8.60 8.75 35414 2939 0.6531 -0.7169 0.0302
330.00 C 20260724 1.46 1.48 83184 249 0.6707 0.2190 0.0258
330.00 P 20260724 10.55 10.70 61541 5636 0.6707 -0.7830 0.0259
310.00 C 20260724 11.75 11.95 4660 220 0.6578 0.8373 0.0217
310.00 P 20260724 1.00 1.02 74097 5317 0.6578 -0.1631 0.0217
332.50 C 20260724 1.08 1.10 27255 44 0.6880 0.1708 0.0214
332.50 P 20260724 12.60 12.95 21653 1193 0.6880 -0.8314 0.0216
335.00 C 20260724 0.81 0.82 47855 146 0.7069 0.1309 0.0174
335.00 P 20260724 14.70 15.20 34264 3325 0.7069 -0.8714 0.0176
305.00 C 20260724 16.10 16.60 1053 58 0.6956 0.9120 0.0133
305.00 P 20260724 0.49 0.50 29768 1321 0.6956 -0.0883 0.0133
337.50 C 20260724 0.62 0.63 25183 102 0.7304 0.1029 0.0142
337.50 P 20260724 16.90 17.50 9522 2235 0.7304 -0.8997 0.0143
320.00 C 20260727 6.50 6.65 3918 8 0.4504 0.5300 0.0261
320.00 P 20260727 5.65 5.75 8811 1071 0.4504 -0.4708 0.0262
322.50 C 20260727 5.35 5.40 6239 5 0.4508 0.4651 0.0260
322.50 P 20260727 6.95 7.15 3557 130 0.4508 -0.5359 0.0261
317.50 C 20260727 7.90 8.00 522 0 0.4518 0.5958 0.0254
317.50 P 20260727 4.55 4.65 4171 62 0.4518 -0.4048 0.0254
325.00 C 20260727 4.30 4.40 8297 29 0.4528 0.4033 0.0253
325.00 P 20260727 8.40 8.65 5439 1444 0.4528 -0.5979 0.0253
315.00 C 20260727 9.40 9.60 842 7 0.4549 0.6562 0.0239
315.00 P 20260727 3.60 3.70 3171 65 0.4549 -0.3432 0.0239
327.50 C 20260727 3.45 3.55 7677 46 0.4562 0.3438 0.0239
327.50 P 20260727 10.05 10.60 2978 68 0.4562 -0.6575 0.0240
312.50 C 20260727 11.05 11.30 350 2 0.4600 0.7136 0.0218
312.50 P 20260727 2.85 2.90 1392 6 0.4600 -0.2868 0.0219
330.00 C 20260727 2.78 2.83 10492 14 0.4609 0.2891 0.0220
330.00 P 20260727 11.85 12.10 2780 436 0.4609 -0.7125 0.0221
310.00 C 20260727 13.05 13.20 1566 2 0.4670 0.7641 0.0195
310.00 P 20260727 2.22 2.28 4405 2233 0.4670 -0.2362 0.0195
332.50 C 20260727 2.22 2.26 3192 17 0.4663 0.2418 0.0198
332.50 P 20260727 13.80 13.95 1621 214 0.4663 -0.7600 0.0199
335.00 C 20260727 1.77 1.80 9397 5 0.4731 0.1984 0.0174
335.00 P 20260727 15.85 16.10 2728 468 0.4731 -0.8036 0.0176
305.00 C 20260727 17.15 17.35 613 11 0.4867 0.8434 0.0146
305.00 P 20260727 1.36 1.40 1789 106 0.4867 -0.1568 0.0146
337.50 C 20260727 1.41 1.44 2521 1 0.4816 0.1660 0.0153
337.50 P 20260727 17.35 18.25 1617 169 0.4816 -0.8363 0.0155
