# opt_chain AAPL | epoch 1784906584 | 2026-07-24 11:23:04 | spot 331.37 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
332.50 C 20260724 0.66 0.68 98705 17595 0.3724 0.3540 0.1320
332.50 P 20260724 1.70 1.77 2372 40 0.3724 -0.6463 0.1321
330.00 C 20260724 1.98 1.99 182931 17320 0.3687 0.6964 0.1249
330.00 P 20260724 0.53 0.55 21037 6238 0.3687 -0.3037 0.1250
335.00 C 20260724 0.18 0.19 42244 13719 0.4028 0.1245 0.0671
335.00 P 20260724 3.40 4.20 246 67 0.4028 -0.8760 0.0672
327.50 C 20260724 3.90 4.10 105595 10717 0.3982 0.8961 0.0597
327.50 P 20260724 0.13 0.14 43154 7366 0.3982 -0.0939 0.0554
337.50 C 20260724 0.05 0.06 7330 5131 0.4634 0.0438 0.0263
337.50 P 20260724 5.90 6.45 7 17 0.4634 -0.9568 0.0264
325.00 C 20260724 6.40 6.60 46624 11089 0.4654 0.9673 0.0207
325.00 P 20260724 0.04 0.05 60934 6661 0.4654 -0.0327 0.0207
340.00 C 20260724 0.02 0.03 4460 12250 0.5402 0.0164 0.0101
340.00 P 20260724 8.35 9.00 68 25 0.5402 -0.9843 0.0102
322.50 C 20260724 8.70 9.20 7530 5918 0.5625 0.9830 0.0098
322.50 P 20260724 0.02 0.03 28312 3744 0.5625 -0.0170 0.0098
342.50 C 20260724 0.01 0.03 202 8956 0.5927 0.0062 0.0040
342.50 P 20260724 10.10 13.05 1 1 0.5927 -0.9945 0.0040
320.00 C 20260724 11.10 11.65 3293 8757 0.6471 0.9913 0.0048
320.00 P 20260724 0.01 0.02 24768 13555 0.6471 -0.0087 0.0048
345.00 C 20260724 -1.00 0.01 577 6245 0.6207 0.0019 0.0013
345.00 P 20260724 13.25 14.10 2 2 0.6207 -0.9989 0.0014
317.50 C 20260724 13.60 14.30 729 2564 0.7084 0.9959 0.0022
317.50 P 20260724 -1.00 0.01 5221 5823 0.7084 -0.0041 0.0022
347.50 C 20260724 -1.00 0.01 80 5110 0.6359 0.0004 0.0003
347.50 P 20260724 15.25 18.00 0 0 0.6359 -1.0000 0.0000
315.00 C 20260724 16.05 16.70 1781 5861 0.7481 0.9985 0.0009
315.00 P 20260724 -1.00 0.01 6984 8718 0.7481 -0.0015 0.0009
350.00 C 20260724 -1.00 0.01 612 12562 0.6444 0.0001 0.0001
350.00 P 20260724 17.80 19.40 1 2 0.6444 -1.0000 0.0000
312.50 C 20260724 18.30 19.55 516 1282 0.7725 0.9995 0.0003
312.50 P 20260724 -1.00 0.01 5669 7447 0.7725 -0.0005 0.0003
332.50 C 20260727 1.80 1.87 15245 946 0.1874 0.4357 0.0682
332.50 P 20260727 2.81 3.05 463 469 0.1874 -0.5660 0.0686
330.00 C 20260727 3.10 3.20 20632 1993 0.1907 0.6045 0.0654
330.00 P 20260727 1.67 1.71 2838 1330 0.1907 -0.3963 0.0657
335.00 C 20260727 0.94 1.00 11667 2040 0.1878 0.2701 0.0571
335.00 P 20260727 4.45 4.70 1742 34 0.1878 -0.7327 0.0576
327.50 C 20260727 4.70 4.95 15458 1208 0.1981 0.7405 0.0531
327.50 P 20260727 0.91 0.95 6024 1027 0.1981 -0.2599 0.0532
337.50 C 20260727 0.48 0.52 2612 674 0.1948 0.1632 0.0411
337.50 P 20260727 6.45 6.85 3567 4 0.1948 -0.8413 0.0416
325.00 C 20260727 6.65 7.05 6302 1806 0.2069 0.8500 0.0366
325.00 P 20260727 0.47 0.49 7533 1637 0.2069 -0.1501 0.0366
340.00 C 20260727 0.27 0.29 3111 4118 0.2078 0.0944 0.0261
340.00 P 20260727 7.85 10.75 1 4 0.2078 -0.9069 0.0274
322.50 C 20260727 8.80 9.40 1435 659 0.2158 0.9155 0.0232
322.50 P 20260727 0.24 0.27 3226 3738 0.2158 -0.0846 0.0232
342.50 C 20260727 0.14 0.18 434 2343 0.2237 0.0567 0.0166
342.50 P 20260727 10.45 13.00 3 0 0.2237 -0.9490 0.0171
320.00 C 20260727 10.90 11.80 333 854 0.2297 0.9497 0.0146
320.00 P 20260727 0.13 0.15 5654 3086 0.2297 -0.0502 0.0146
345.00 C 20260727 0.09 0.11 1120 357 0.2401 0.0354 0.0106
345.00 P 20260727 13.05 14.10 30 0 0.2401 -0.9707 0.0111
317.50 C 20260727 13.50 14.60 118 54 0.2457 0.9697 0.0090
317.50 P 20260727 0.07 0.10 894 1803 0.2457 -0.0302 0.0090
347.50 C 20260727 0.05 0.07 241 189 0.2563 0.0224 0.0068
347.50 P 20260727 14.80 18.05 0 0 0.2563 -0.9840 0.0073
315.00 C 20260727 16.10 16.80 187 319 0.2641 0.9805 0.0058
315.00 P 20260727 0.05 0.06 3984 2283 0.2641 -0.0194 0.0058
350.00 C 20260727 0.03 0.05 52 859 0.2718 0.0142 0.0044
350.00 P 20260727 18.00 20.40 2 7 0.2718 -0.9925 0.0048
312.50 C 20260727 17.05 20.65 0 45 0.2844 0.9872 0.0037
312.50 P 20260727 0.02 0.04 4572 1653 0.2844 -0.0127 0.0037
