# opt_chain AMD | epoch 1784919321 | 2026-07-24 14:55:21 | spot 525.36 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
525.00 C 20260724 2.81 3.20 4606 617 1.2241 0.5177 0.0560
525.00 P 20260724 2.29 2.81 9242 1897 1.2241 -0.4823 0.0560
527.50 C 20260724 1.75 2.12 2921 449 1.1991 0.3779 0.0544
527.50 P 20260724 3.80 4.30 4711 426 1.1991 -0.6221 0.0544
522.50 C 20260724 4.15 5.95 3388 1567 1.2379 0.6525 0.0514
522.50 P 20260724 1.50 1.82 4983 276 1.2379 -0.3475 0.0514
530.00 C 20260724 1.00 1.18 13182 1769 1.2029 0.2535 0.0457
530.00 P 20260724 5.45 5.95 11392 1751 1.2029 -0.7465 0.0457
520.00 C 20260724 6.05 6.75 2314 971 1.2576 0.7667 0.0418
520.00 P 20260724 0.89 1.05 14638 2084 1.2576 -0.2333 0.0418
532.50 C 20260724 0.56 0.67 10847 4613 1.2266 0.1586 0.0340
532.50 P 20260724 7.20 8.20 4404 452 1.2266 -0.8415 0.0340
517.50 C 20260724 7.70 9.00 236 1321 1.3049 0.8502 0.0307
517.50 P 20260724 0.54 0.65 6823 512 1.3049 -0.1498 0.0307
535.00 C 20260724 0.29 0.39 13572 1850 1.2505 0.0931 0.0229
535.00 P 20260724 8.60 11.15 3697 962 1.2505 -0.9070 0.0229
515.00 C 20260724 10.05 11.60 3795 4700 1.3959 0.8999 0.0216
515.00 P 20260724 0.33 0.39 6943 1408 1.3959 -0.1001 0.0216
537.50 C 20260724 0.14 0.22 7003 1427 1.2839 0.0534 0.0146
537.50 P 20260724 11.10 14.35 1137 268 1.2839 -0.9467 0.0146
512.50 C 20260724 12.55 14.10 110 227 1.4648 0.9355 0.0148
512.50 P 20260724 0.19 0.27 3132 285 1.4648 -0.0645 0.0148
540.00 C 20260724 0.09 0.15 18851 2759 1.2987 0.0281 0.0085
540.00 P 20260724 12.70 16.15 2117 883 1.2987 -0.9720 0.0085
510.00 C 20260724 15.05 16.60 340 591 1.5710 0.9548 0.0104
510.00 P 20260724 0.12 0.30 12238 2766 1.5710 -0.0452 0.0104
542.50 C 20260724 0.05 0.08 3866 455 1.3665 0.0151 0.0049
542.50 P 20260724 15.90 18.65 498 213 1.3665 -0.9850 0.0049
507.50 C 20260724 15.85 19.75 14 207 1.6631 0.9701 0.0070
507.50 P 20260724 0.06 0.16 3954 1022 1.6631 -0.0299 0.0070
545.00 C 20260724 0.02 0.04 10326 1835 1.4734 0.0110 0.0034
545.00 P 20260724 17.60 21.85 1045 751 1.4734 -0.9891 0.0035
505.00 C 20260724 18.50 21.55 1513 1552 1.7493 0.9803 0.0047
505.00 P 20260724 0.05 0.10 5626 3191 1.7493 -0.0197 0.0047
547.50 C 20260724 0.03 0.04 2582 519 1.6095 0.0091 0.0027
547.50 P 20260724 20.15 23.65 106 646 1.6095 -0.9910 0.0027
502.50 C 20260724 20.70 25.60 98 1366 1.8402 0.9865 0.0032
502.50 P 20260724 0.02 0.11 1085 241 1.8402 -0.0135 0.0032
550.00 C 20260724 0.01 0.03 16806 4966 1.6631 0.0063 0.0018
550.00 P 20260724 23.25 26.25 679 1659 1.6631 -0.9938 0.0018
525.00 C 20260727 10.40 11.55 1041 125 0.5628 0.5175 0.0149
525.00 P 20260727 10.25 10.90 1136 194 0.5628 -0.4830 0.0149
527.50 C 20260727 9.15 10.25 1051 129 0.5604 0.4806 0.0149
527.50 P 20260727 11.45 12.65 328 73 0.5604 -0.5200 0.0149
522.50 C 20260727 11.80 12.85 434 36 0.5654 0.5530 0.0146
522.50 P 20260727 9.00 9.90 409 57 0.5654 -0.4474 0.0146
530.00 C 20260727 8.10 9.00 2476 181 0.5583 0.4434 0.0148
530.00 P 20260727 12.80 13.70 1013 273 0.5583 -0.5573 0.0149
520.00 C 20260727 13.10 14.25 698 137 0.5684 0.5894 0.0144
520.00 P 20260727 7.95 9.00 967 194 0.5684 -0.4110 0.0144
532.50 C 20260727 7.20 7.90 2250 67 0.5565 0.4059 0.0146
532.50 P 20260727 14.25 15.30 899 96 0.5565 -0.5948 0.0146
517.50 C 20260727 14.90 15.75 551 44 0.5716 0.6242 0.0139
517.50 P 20260727 7.05 7.80 352 89 0.5716 -0.3762 0.0139
535.00 C 20260727 6.30 7.10 2965 229 0.5549 0.3699 0.0142
535.00 P 20260727 15.85 16.60 983 400 0.5549 -0.6309 0.0143
515.00 C 20260727 16.45 17.35 14 78 0.5752 0.6584 0.0134
515.00 P 20260727 6.10 6.90 504 351 0.5752 -0.3419 0.0134
537.50 C 20260727 5.40 6.25 618 125 0.5536 0.3356 0.0138
537.50 P 20260727 17.55 18.30 168 110 0.5536 -0.6654 0.0138
512.50 C 20260727 18.00 19.05 1 94 0.5791 0.6913 0.0127
512.50 P 20260727 5.25 6.05 189 50 0.5791 -0.3090 0.0127
540.00 C 20260727 4.80 5.35 1295 444 0.5526 0.3033 0.0132
540.00 P 20260727 18.45 20.35 265 206 0.5526 -0.6987 0.0132
510.00 C 20260727 19.80 21.65 16 77 0.5832 0.7211 0.0121
510.00 P 20260727 4.75 5.30 1259 216 0.5832 -0.2792 0.0121
542.50 C 20260727 4.05 4.70 233 146 0.5519 0.2708 0.0126
542.50 P 20260727 20.30 22.15 134 73 0.5519 -0.7304 0.0126
507.50 C 20260727 21.50 22.65 0 34 0.5877 0.7498 0.0113
507.50 P 20260727 3.90 4.65 228 71 0.5877 -0.2504 0.0113
545.00 C 20260727 3.45 3.95 1993 1394 0.5513 0.2414 0.0118
545.00 P 20260727 22.75 24.00 249 187 0.5513 -0.7599 0.0119
505.00 C 20260727 23.20 24.75 6 82 0.5926 0.7770 0.0105
505.00 P 20260727 3.55 3.95 346 114 0.5926 -0.2232 0.0105
547.50 C 20260727 2.94 3.55 312 310 0.5511 0.2133 0.0111
547.50 P 20260727 24.70 26.00 114 93 0.5511 -0.7881 0.0111
502.50 C 20260727 24.90 26.90 44 61 0.5977 0.8022 0.0098
502.50 P 20260727 3.00 3.50 84 100 0.5977 -0.1980 0.0098
550.00 C 20260727 2.54 2.79 3632 383 0.5511 0.1893 0.0103
550.00 P 20260727 26.40 28.30 112 136 0.5511 -0.8121 0.0103
