# opt_chain ASML | epoch 1784902640 | 2026-07-24 10:17:20 | spot 1769.65 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
1770.00 C 20260724 9.60 13.60 13 84 0.6473 0.4950 0.0137
1770.00 P 20260724 10.40 14.30 28 68 0.6473 -0.5051 0.0137
1767.50 C 20260724 10.90 14.90 3 151 0.6475 0.5290 0.0136
1767.50 P 20260724 9.20 13.00 11 19 0.6475 -0.4711 0.0136
1772.50 C 20260724 8.50 12.30 32 42 0.6479 0.4610 0.0136
1772.50 P 20260724 11.60 15.60 5 31 0.6479 -0.5391 0.0136
1765.00 C 20260724 12.20 16.30 5 44 0.6483 0.5630 0.0135
1765.00 P 20260724 8.20 11.40 0 25 0.6483 -0.4371 0.0135
1775.00 C 20260724 7.40 11.20 8 44 0.6491 0.4272 0.0135
1775.00 P 20260724 12.90 17.10 15 35 0.6491 -0.5729 0.0135
1777.50 C 20260724 6.40 10.10 6 30 0.6509 0.3949 0.0131
1777.50 P 20260724 14.40 18.60 6 32 0.6509 -0.6053 0.0131
1760.00 C 20260724 14.20 21.90 5 51 0.6520 0.6279 0.0129
1760.00 P 20260724 6.30 9.20 8 66 0.6520 -0.3722 0.0129
1780.00 C 20260724 5.70 9.10 16 168 0.6534 0.3624 0.0128
1780.00 P 20260724 14.40 19.80 14 88 0.6534 -0.6377 0.0128
1782.50 C 20260724 4.80 8.20 9 68 0.6564 0.3322 0.0123
1782.50 P 20260724 14.50 24.00 0 148 0.6564 -0.6679 0.0123
1755.00 C 20260724 16.00 25.60 1 17 0.6587 0.6880 0.0119
1755.00 P 20260724 4.80 7.40 17 27 0.6587 -0.3120 0.0119
1785.00 C 20260724 4.10 7.40 25 52 0.6599 0.3031 0.0117
1785.00 P 20260724 16.00 25.00 2 49 0.6599 -0.6970 0.0118
1787.50 C 20260724 3.30 6.70 3 47 0.6640 0.2750 0.0112
1787.50 P 20260724 18.00 27.70 0 61 0.6640 -0.7252 0.0112
1750.00 C 20260724 20.90 29.00 122 87 0.6684 0.7415 0.0108
1750.00 P 20260724 3.50 5.70 22 163 0.6684 -0.2586 0.0108
