# opt_chain AVGO | epoch 1784910607 | 2026-07-24 12:30:07 | spot 385.09 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
385.00 C 20260724 1.99 2.14 3037 720 0.5163 0.5941 0.0979
385.00 P 20260724 1.09 1.24 1854 1198 0.5163 -0.4059 0.0979
387.50 C 20260724 0.89 0.96 2076 1628 0.5223 0.3589 0.0932
387.50 P 20260724 2.44 2.64 430 424 0.5223 -0.6413 0.0932
382.50 C 20260724 3.70 4.35 1266 709 0.5292 0.8081 0.0671
382.50 P 20260724 0.40 0.50 2344 799 0.5292 -0.1919 0.0671
390.00 C 20260724 0.33 0.39 3806 6388 0.5329 0.1624 0.0601
390.00 P 20260724 4.00 4.65 385 1632 0.5329 -0.8378 0.0602
380.00 C 20260724 5.90 6.65 629 2171 0.5873 0.9154 0.0342
380.00 P 20260724 0.15 0.20 4231 2455 0.5873 -0.0846 0.0342
392.50 C 20260724 0.12 0.17 1713 1189 0.5589 0.0733 0.0322
392.50 P 20260724 5.90 7.35 72 314 0.5589 -0.9290 0.0317
377.50 C 20260724 8.25 9.15 66 351 0.6490 0.9605 0.0170
377.50 P 20260724 0.06 0.09 1637 507 0.6490 -0.0395 0.0170
395.00 C 20260724 0.05 0.10 2354 2911 0.6166 0.0330 0.0155
395.00 P 20260724 7.85 9.60 63 516 0.6166 -0.9674 0.0155
375.00 C 20260724 10.40 11.55 79 453 0.7376 0.9789 0.0090
375.00 P 20260724 0.05 0.06 1414 1593 0.7376 -0.0211 0.0090
397.50 C 20260724 0.03 0.06 527 1200 0.7055 0.0197 0.0087
397.50 P 20260724 10.05 13.15 4 1010 0.7055 -0.9807 0.0088
372.50 C 20260724 12.85 14.05 20 214 0.8072 0.9875 0.0052
372.50 P 20260724 0.02 0.05 416 1463 0.8072 -0.0125 0.0052
400.00 C 20260724 0.02 0.03 3170 9716 0.8038 0.0134 0.0056
400.00 P 20260724 13.15 15.15 66 1075 0.8038 -0.9870 0.0056
385.00 C 20260727 4.95 5.50 172 185 0.3197 0.5490 0.0346
385.00 P 20260727 3.85 4.40 230 168 0.3197 -0.4519 0.0347
387.50 C 20260727 3.75 4.05 286 109 0.3178 0.4590 0.0350
387.50 P 20260727 5.05 5.65 52 49 0.3178 -0.5423 0.0351
382.50 C 20260727 6.35 6.95 148 136 0.3225 0.6330 0.0327
382.50 P 20260727 3.00 3.30 201 212 0.3225 -0.3677 0.0327
390.00 C 20260727 2.77 3.25 1075 790 0.3171 0.3766 0.0335
390.00 P 20260727 6.55 7.15 123 335 0.3171 -0.6250 0.0337
380.00 C 20260727 8.05 8.70 50 96 0.3260 0.7091 0.0294
380.00 P 20260727 2.19 2.35 671 367 0.3260 -0.2906 0.0294
392.50 C 20260727 2.02 2.20 245 83 0.3180 0.2979 0.0305
392.50 P 20260727 8.10 8.90 16 796 0.3180 -0.7041 0.0307
377.50 C 20260727 9.85 10.65 4 69 0.3305 0.7770 0.0253
377.50 P 20260727 1.53 1.68 152 135 0.3305 -0.2235 0.0253
395.00 C 20260727 1.40 1.59 349 1364 0.3204 0.2295 0.0265
395.00 P 20260727 10.00 11.10 19 317 0.3204 -0.7730 0.0267
375.00 C 20260727 11.85 12.65 6 43 0.3363 0.8321 0.0209
375.00 P 20260727 1.07 1.21 266 422 0.3363 -0.1704 0.0211
397.50 C 20260727 0.96 1.06 148 296 0.3241 0.1738 0.0222
397.50 P 20260727 12.00 12.85 2 142 0.3241 -0.8297 0.0224
372.50 C 20260727 13.55 15.75 10 35 0.3441 0.8751 0.0167
372.50 P 20260727 0.74 0.85 252 140 0.3441 -0.1251 0.0167
400.00 C 20260727 0.64 0.74 894 994 0.3288 0.1291 0.0179
400.00 P 20260727 14.00 16.30 6 30 0.3288 -0.8748 0.0181
