# opt_chain GOOGL | epoch 1784910798 | 2026-07-24 12:33:18 | spot 320.76 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
320.00 C 20260724 0.58 0.63 35305 4941 0.4497 0.3204 0.1263
320.00 P 20260724 1.86 1.98 14913 5923 0.4497 -0.6798 0.1263
322.50 C 20260724 0.14 0.17 43542 1846 0.4736 0.1066 0.0616
322.50 P 20260724 3.50 4.65 2197 1893 0.4736 -0.8938 0.0616
317.50 C 20260724 1.75 1.90 3676 1998 0.4586 0.6578 0.1276
317.50 P 20260724 0.63 0.68 21701 6006 0.4586 -0.3422 0.1277
325.00 C 20260724 0.04 0.05 56712 4858 0.5253 0.0342 0.0229
325.00 P 20260724 5.75 6.90 2115 5023 0.5253 -0.9663 0.0230
315.00 C 20260724 3.40 4.90 437 672 0.4813 0.8899 0.0622
315.00 P 20260724 0.16 0.18 10390 4510 0.4813 -0.1101 0.0622
327.50 C 20260724 0.02 0.03 13825 1690 0.6247 0.0156 0.0099
327.50 P 20260724 8.35 9.40 600 1716 0.6247 -0.9848 0.0100
312.50 C 20260724 5.45 7.95 35 130 0.5387 0.9712 0.0193
312.50 P 20260724 0.04 0.05 3322 3064 0.5387 -0.0288 0.0193
330.00 C 20260724 0.01 0.02 12793 7342 0.7514 0.0109 0.0060
330.00 P 20260724 10.75 11.80 1438 4609 0.7514 -0.9895 0.0061
310.00 C 20260724 7.75 9.30 256 566 0.6516 0.9866 0.0084
310.00 P 20260724 0.01 0.02 2465 5845 0.6516 -0.0134 0.0084
332.50 C 20260724 0.01 0.02 2934 1429 0.8766 0.0080 0.0040
332.50 P 20260724 13.15 13.95 116 867 0.8766 -0.9923 0.0040
307.50 C 20260724 10.05 13.35 5 31 0.7491 0.9934 0.0039
307.50 P 20260724 -1.00 0.01 445 1762 0.7491 -0.0066 0.0039
335.00 C 20260724 0.01 0.02 4808 4059 0.9591 0.0047 0.0023
335.00 P 20260724 15.70 16.85 398 1812 0.9591 -0.9956 0.0023
305.00 C 20260724 13.00 15.00 7 32 0.8138 0.9973 0.0016
305.00 P 20260724 -1.00 0.01 1501 2543 0.8138 -0.0027 0.0016
337.50 C 20260724 -1.00 0.01 2023 1973 0.9997 0.0021 0.0010
337.50 P 20260724 18.10 19.35 58 512 0.9997 -0.9983 0.0010
302.50 C 20260724 15.35 18.30 0 22 0.8533 0.9992 0.0005
302.50 P 20260724 -1.00 0.01 181 780 0.8533 -0.0008 0.0005
340.00 C 20260724 -1.00 0.01 1392 4609 1.0174 0.0007 0.0004
340.00 P 20260724 20.55 21.80 394 3019 1.0174 -0.9997 0.0004
320.00 C 20260727 2.20 2.35 4113 1000 0.2402 0.4403 0.0558
320.00 P 20260727 3.35 3.75 1035 969 0.2402 -0.5652 0.0561
322.50 C 20260727 1.30 1.50 3944 556 0.2441 0.3120 0.0491
322.50 P 20260727 4.85 5.30 762 130 0.2441 -0.6907 0.0495
317.50 C 20260727 3.25 3.70 1594 166 0.2389 0.5807 0.0556
317.50 P 20260727 2.13 2.39 2461 270 0.2389 -0.4205 0.0558
325.00 C 20260727 0.77 0.87 5085 1488 0.2504 0.2053 0.0385
325.00 P 20260727 6.70 7.35 1113 499 0.2504 -0.7983 0.0390
315.00 C 20260727 4.70 5.45 1155 387 0.2401 0.7080 0.0485
315.00 P 20260727 1.27 1.47 1581 1087 0.2401 -0.2927 0.0486
327.50 C 20260727 0.47 0.58 1372 300 0.2591 0.1400 0.0291
327.50 P 20260727 8.35 10.10 48 69 0.2591 -0.8643 0.0296
312.50 C 20260727 6.45 7.45 24 0 0.2438 0.8138 0.0373
312.50 P 20260727 0.63 0.77 168 0 0.2438 -0.1865 0.0374
330.00 C 20260727 0.29 0.35 2600 1072 0.2698 0.0890 0.0202
330.00 P 20260727 10.85 12.15 194 703 0.2698 -0.9162 0.0207
310.00 C 20260727 8.05 10.85 32 77 0.2501 0.8940 0.0249
310.00 P 20260727 0.35 0.46 962 760 0.2501 -0.1062 0.0249
332.50 C 20260727 0.18 0.25 453 1114 0.2823 0.0576 0.0139
332.50 P 20260727 11.90 14.90 23 42 0.2823 -0.9481 0.0144
307.50 C 20260727 10.10 13.55 0 0 0.2589 0.9385 0.0159
307.50 P 20260727 0.14 0.22 881 0 0.2589 -0.0616 0.0159
335.00 C 20260727 0.12 0.17 836 595 0.2964 0.0381 0.0095
335.00 P 20260727 14.30 18.00 40 1241 0.2964 -0.9681 0.0099
305.00 C 20260727 12.55 15.95 6 35 0.2701 0.9651 0.0097
305.00 P 20260727 0.09 0.13 105 333 0.2701 -0.0349 0.0097
337.50 C 20260727 0.08 0.11 287 599 0.3119 0.0261 0.0066
337.50 P 20260727 16.75 19.90 5 103 0.3119 -0.9804 0.0070
302.50 C 20260727 14.90 18.40 0 0 0.2837 0.9795 0.0059
302.50 P 20260727 0.04 0.07 47 0 0.2837 -0.0205 0.0059
340.00 C 20260727 0.05 0.09 483 2131 0.3286 0.0188 0.0047
340.00 P 20260727 19.25 22.70 43 398 0.3286 -0.9877 0.0051
