# opt_chain INTC | epoch 1784922504 | 2026-07-24 15:48:24 | spot 92.49 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
92.00 C 20260724 0.60 0.72 4170 250 2.2631 0.6797 0.3687
92.00 P 20260724 0.18 0.23 33769 3033 2.2631 -0.3204 0.3688
93.00 C 20260724 0.18 0.23 6851 311 2.3997 0.2877 0.3501
93.00 P 20260724 0.70 0.82 23393 2475 2.3997 -0.7126 0.3504
91.00 C 20260724 1.23 1.71 329 213 2.3372 0.9282 0.1308
91.00 P 20260724 0.03 0.04 26376 914 2.3372 -0.0718 0.1309
94.00 C 20260724 0.04 0.07 8537 388 2.5046 0.0630 0.1256
94.00 P 20260724 1.54 1.71 19724 1939 2.5046 -0.9376 0.1260
90.00 C 20260724 2.19 2.75 2157 2707 2.5971 0.9879 0.0271
90.00 P 20260724 -1.00 0.01 22267 12697 2.5971 -0.0121 0.0271
95.00 C 20260724 -1.00 0.01 24295 3186 2.5474 0.0120 0.0292
95.00 P 20260724 2.47 2.67 49031 8876 2.5474 -0.9889 0.0296
89.00 C 20260724 3.20 3.75 204 123 2.9703 0.9971 0.0066
89.00 P 20260724 -1.00 0.01 3019 1902 2.9703 -0.0029 0.0066
96.00 C 20260724 -1.00 0.01 25939 2565 2.6904 0.0017 0.0047
96.00 P 20260724 3.40 3.70 21519 2031 2.6904 -0.9993 0.0048
88.00 C 20260724 4.10 4.80 28 83 3.0535 0.9998 0.0007
88.00 P 20260724 -1.00 0.02 5013 4247 3.0535 -0.0003 0.0007
97.00 C 20260724 -1.00 0.01 24791 546 2.5978 0.0001 0.0003
97.00 P 20260724 4.25 4.65 18057 2247 2.5978 -1.0000 0.0000
87.00 C 20260724 4.95 6.95 88 63 2.8927 1.0000 0.0000
87.00 P 20260724 -1.00 0.01 3754 2201 2.8927 -0.0000 0.0000
98.00 C 20260724 -1.00 0.01 28711 864 2.4229 0.0000 0.0000
98.00 P 20260724 5.30 5.75 8805 1570 2.4229 -1.0000 -0.0000
92.00 C 20260727 2.49 2.58 681 106 0.6811 0.5458 0.0699
92.00 P 20260727 2.01 2.09 2156 196 0.6811 -0.4546 0.0700
93.00 C 20260727 2.00 2.07 1192 31 0.6775 0.4755 0.0707
93.00 P 20260727 2.52 2.61 1691 109 0.6775 -0.5250 0.0708
91.00 C 20260727 3.00 3.25 149 105 0.6865 0.6137 0.0669
91.00 P 20260727 1.61 1.65 959 402 0.6865 -0.3866 0.0670
94.00 C 20260727 1.58 1.65 1328 25 0.6755 0.4060 0.0692
94.00 P 20260727 3.00 3.20 3661 513 0.6755 -0.5946 0.0694
90.00 C 20260727 3.65 3.90 383 77 0.6937 0.6787 0.0619
90.00 P 20260727 1.26 1.30 6194 1073 0.6937 -0.3215 0.0620
95.00 C 20260727 1.23 1.26 3896 322 0.6751 0.3390 0.0655
95.00 P 20260727 3.60 3.90 4581 627 0.6751 -0.6617 0.0657
89.00 C 20260727 4.40 4.65 62 102 0.7026 0.7368 0.0557
89.00 P 20260727 0.96 1.02 1117 149 0.7026 -0.2634 0.0558
96.00 C 20260727 0.94 0.98 8440 73 0.6759 0.2786 0.0602
96.00 P 20260727 4.30 4.60 2034 591 0.6759 -0.7223 0.0603
88.00 C 20260727 5.10 5.45 84 47 0.7132 0.7877 0.0486
88.00 P 20260727 0.71 0.79 977 344 0.7132 -0.2124 0.0487
97.00 C 20260727 0.71 0.80 5906 72 0.6780 0.2269 0.0532
97.00 P 20260727 5.05 5.35 2238 229 0.6780 -0.7741 0.0534
87.00 C 20260727 5.90 6.30 37 98 0.7258 0.8353 0.0406
87.00 P 20260727 0.55 0.62 918 242 0.7258 -0.1648 0.0406
98.00 C 20260727 0.53 0.57 2922 142 0.6816 0.1840 0.0471
98.00 P 20260727 5.85 6.20 2918 497 0.6816 -0.8172 0.0473
