# opt_chain LRCX | epoch 1784899548 | 2026-07-24 09:25:48 | spot 315.00 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
315.00 C 20260724 -1.00 -1.00 0 77 1.0924 0.6094 0.0211
315.00 P 20260724 -1.00 -1.00 0 761 1.0924 -0.3907 0.0211
312.50 C 20260724 -1.00 -1.00 0 70 1.1090 0.6600 0.0199
312.50 P 20260724 -1.00 -1.00 0 164 1.1090 -0.3400 0.0199
317.50 C 20260724 -1.00 -1.00 0 69 1.0774 0.5559 0.0220
317.50 P 20260724 -1.00 -1.00 0 89 1.0774 -0.4442 0.0220
310.00 C 20260724 -1.00 -1.00 0 72 1.1271 0.7060 0.0183
310.00 P 20260724 -1.00 -1.00 0 2436 1.1271 -0.2940 0.0183
320.00 C 20260724 -1.00 -1.00 0 449 1.0642 0.5003 0.0225
320.00 P 20260724 -1.00 -1.00 0 237 1.0642 -0.4998 0.0225
307.50 C 20260724 -1.00 -1.00 0 74 1.1465 0.7485 0.0167
307.50 P 20260724 -1.00 -1.00 0 275 1.1465 -0.2516 0.0167
322.50 C 20260724 -1.00 -1.00 0 73 1.0530 0.4438 0.0225
322.50 P 20260724 -1.00 -1.00 0 69 1.0530 -0.5564 0.0226
305.00 C 20260724 -1.00 -1.00 0 119 1.1670 0.7861 0.0150
305.00 P 20260724 -1.00 -1.00 0 514 1.1670 -0.2140 0.0150
325.00 C 20260724 -1.00 -1.00 0 467 1.0440 0.3883 0.0220
325.00 P 20260724 -1.00 -1.00 0 120 1.0440 -0.6119 0.0220
302.50 C 20260724 -1.00 -1.00 0 83 1.1884 0.8238 0.0130
302.50 P 20260724 -1.00 -1.00 0 462 1.1884 -0.1749 0.0131
327.50 C 20260724 -1.00 -1.00 0 169 1.0374 0.3346 0.0211
327.50 P 20260724 -1.00 -1.00 0 73 1.0374 -0.6657 0.0211
300.00 C 20260724 -1.00 -1.00 0 519 1.2108 0.8529 0.0114
300.00 P 20260724 -1.00 -1.00 0 976 1.2108 -0.1514 0.0117
330.00 C 20260724 -1.00 -1.00 0 778 1.0332 0.2835 0.0197
330.00 P 20260724 -1.00 -1.00 0 449 1.0332 -0.7168 0.0198
297.50 C 20260724 -1.00 -1.00 0 72 1.2339 0.8763 0.0099
297.50 P 20260724 -1.00 -1.00 0 113 1.2339 -0.1222 0.0099
332.50 C 20260724 -1.00 -1.00 0 85 1.0317 0.2386 0.0180
332.50 P 20260724 -1.00 -1.00 0 25 1.0317 -0.7617 0.0180
315.00 C 20260731 -1.00 -1.00 0 33 1.1852 0.5714 0.0070
315.00 P 20260731 -1.00 -1.00 0 351 1.1852 -0.4289 0.0070
312.50 C 20260731 -1.00 -1.00 0 36 1.1911 0.5894 0.0069
312.50 P 20260731 -1.00 -1.00 0 55 1.1911 -0.4113 0.0069
317.50 C 20260731 -1.00 -1.00 0 63 1.1794 0.5538 0.0071
317.50 P 20260731 -1.00 -1.00 0 80 1.1794 -0.4470 0.0071
310.00 C 20260731 -1.00 -1.00 0 184 1.1971 0.6068 0.0068
310.00 P 20260731 -1.00 -1.00 0 296 1.1971 -0.3961 0.0068
320.00 C 20260731 -1.00 -1.00 0 2029 1.1738 0.5355 0.0072
320.00 P 20260731 -1.00 -1.00 0 356 1.1738 -0.4675 0.0072
307.50 C 20260731 -1.00 -1.00 0 18 1.2033 0.6239 0.0067
307.50 P 20260731 -1.00 -1.00 0 33 1.2033 -0.3764 0.0067
322.50 C 20260731 -1.00 -1.00 0 144 1.1683 0.5176 0.0072
322.50 P 20260731 -1.00 -1.00 0 67 1.1683 -0.4829 0.0073
305.00 C 20260731 -1.00 -1.00 0 22 1.2095 0.6407 0.0065
305.00 P 20260731 -1.00 -1.00 0 221 1.2095 -0.3596 0.0066
325.00 C 20260731 -1.00 -1.00 0 72 1.1630 0.4993 0.0073
325.00 P 20260731 -1.00 -1.00 0 139 1.1630 -0.5036 0.0073
302.50 C 20260731 -1.00 -1.00 0 49 1.2160 0.6573 0.0064
302.50 P 20260731 -1.00 -1.00 0 56 1.2160 -0.3429 0.0064
327.50 C 20260731 -1.00 -1.00 0 24 1.1578 0.4812 0.0073
327.50 P 20260731 -1.00 -1.00 0 113 1.1578 -0.5193 0.0073
300.00 C 20260731 -1.00 -1.00 0 79 1.2225 0.6737 0.0063
300.00 P 20260731 -1.00 -1.00 0 722 1.2225 -0.3289 0.0063
330.00 C 20260731 -1.00 -1.00 0 1953 1.1528 0.4628 0.0073
330.00 P 20260731 -1.00 -1.00 0 214 1.1528 -0.5378 0.0073
297.50 C 20260731 -1.00 -1.00 0 16 1.2291 0.6900 0.0061
297.50 P 20260731 -1.00 -1.00 0 75 1.2291 -0.3103 0.0061
332.50 C 20260731 -1.00 -1.00 0 23 1.1480 0.4424 0.0073
332.50 P 20260731 -1.00 -1.00 0 10 1.1480 -0.5557 0.0073
