# opt_chain MSFT | epoch 1784920019 | 2026-07-24 15:06:59 | spot 384.24 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
385.00 C 20260724 0.34 0.40 44714 3005 0.4429 0.3238 0.2104
385.00 P 20260724 1.10 1.21 6945 4607 0.4429 -0.6762 0.2104
382.50 C 20260724 1.83 1.99 13867 877 0.5074 0.8132 0.1370
382.50 P 20260724 0.18 0.23 13455 1433 0.5074 -0.1868 0.1370
387.50 C 20260724 0.03 0.04 29997 3430 0.5131 0.0507 0.0526
387.50 P 20260724 3.10 3.85 981 1080 0.5131 -0.9493 0.0526
380.00 C 20260724 4.10 4.50 5661 1885 0.6566 0.9535 0.0383
380.00 P 20260724 0.04 0.06 25081 4289 0.6566 -0.0465 0.0383
390.00 C 20260724 -1.00 0.01 29267 6356 0.6392 0.0123 0.0127
390.00 P 20260724 5.50 6.20 765 1650 0.6392 -0.9877 0.0127
377.50 C 20260724 6.50 6.90 298 359 0.8355 0.9826 0.0132
377.50 P 20260724 0.02 0.03 6691 2997 0.8355 -0.0174 0.0132
392.50 C 20260724 -1.00 0.01 7337 3481 0.7876 0.0038 0.0037
392.50 P 20260724 8.05 8.85 296 394 0.7876 -0.9962 0.0037
375.00 C 20260724 8.70 9.40 353 670 1.1127 0.9856 0.0085
375.00 P 20260724 0.01 0.03 5511 6012 1.1127 -0.0122 0.0075
395.00 C 20260724 -1.00 0.01 5495 4514 0.9781 0.0023 0.0019
395.00 P 20260724 10.65 11.25 330 2271 0.9781 -0.9975 0.0021
372.50 C 20260724 10.95 12.55 36 84 1.3486 0.9901 0.0051
372.50 P 20260724 0.01 0.03 1967 1402 1.3486 -0.0099 0.0051
397.50 C 20260724 -1.00 0.01 1902 2694 1.1566 0.0019 0.0013
397.50 P 20260724 13.15 13.75 22 51 1.1566 -0.9982 0.0013
370.00 C 20260724 13.95 14.75 285 1724 1.5621 0.9923 0.0035
370.00 P 20260724 0.01 0.02 1987 6410 1.5621 -0.0076 0.0035
385.00 C 20260727 2.79 2.88 8173 1143 0.2241 0.4678 0.0508
385.00 P 20260727 3.40 3.65 1506 383 0.2241 -0.5340 0.0511
382.50 C 20260727 4.05 4.35 2870 430 0.2287 0.6005 0.0484
382.50 P 20260727 2.37 2.49 1209 170 0.2287 -0.4006 0.0486
387.50 C 20260727 1.78 1.87 14917 796 0.2228 0.3517 0.0479
387.50 P 20260727 4.85 5.20 211 329 0.2228 -0.6543 0.0480
380.00 C 20260727 5.70 6.15 2943 1073 0.2365 0.7056 0.0417
380.00 P 20260727 1.54 1.67 4682 1391 0.2365 -0.2951 0.0418
390.00 C 20260727 1.06 1.17 8341 1859 0.2237 0.2412 0.0398
390.00 P 20260727 6.65 7.05 189 259 0.2237 -0.7624 0.0403
377.50 C 20260727 7.50 8.10 931 68 0.2464 0.7938 0.0332
377.50 P 20260727 0.98 1.10 1193 270 0.2464 -0.2066 0.0333
392.50 C 20260727 0.64 0.70 2652 630 0.2258 0.1553 0.0303
392.50 P 20260727 8.65 9.15 70 141 0.2258 -0.8494 0.0308
375.00 C 20260727 9.50 10.55 99 373 0.2577 0.8558 0.0252
375.00 P 20260727 0.68 0.72 1016 526 0.2577 -0.1445 0.0253
395.00 C 20260727 0.39 0.42 4172 1329 0.2301 0.1020 0.0220
395.00 P 20260727 10.45 11.75 123 177 0.2301 -0.9037 0.0225
372.50 C 20260727 11.70 13.35 578 64 0.2705 0.9023 0.0182
372.50 P 20260727 0.41 0.48 447 177 0.2705 -0.0978 0.0182
397.50 C 20260727 0.21 0.25 935 636 0.2380 0.0621 0.0147
397.50 P 20260727 13.15 14.05 6 55 0.2380 -0.9423 0.0155
370.00 C 20260727 14.35 15.00 652 249 0.2853 0.9310 0.0133
370.00 P 20260727 0.27 0.33 900 579 0.2853 -0.0691 0.0133
