# opt_chain MU | epoch 1784921844 | 2026-07-24 15:37:24 | spot 919.88 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
920.00 C 20260724 4.50 5.05 9443 487 1.9115 0.5046 0.0348
920.00 P 20260724 4.75 5.15 15872 1831 1.9115 -0.4956 0.0348
915.00 C 20260724 7.45 8.00 5152 2201 1.9515 0.6560 0.0315
915.00 P 20260724 2.78 3.05 13013 934 1.9515 -0.3441 0.0315
925.00 C 20260724 2.56 2.80 10230 607 1.9202 0.3393 0.0318
925.00 P 20260724 7.50 8.30 12852 1022 1.9202 -0.6610 0.0318
910.00 C 20260724 11.10 11.95 3867 426 2.0421 0.7891 0.0235
910.00 P 20260724 1.54 1.74 15403 862 2.0421 -0.2110 0.0235
930.00 C 20260724 1.31 1.40 17775 872 1.9586 0.2039 0.0239
930.00 P 20260724 11.10 11.95 17325 1283 1.9586 -0.7965 0.0239
932.50 C 20260724 0.91 1.07 4872 194 1.9916 0.1527 0.0196
932.50 P 20260724 13.15 14.20 4876 392 1.9916 -0.8478 0.0196
905.00 C 20260724 15.00 16.95 1815 809 2.1795 0.8795 0.0152
905.00 P 20260724 0.88 1.04 8447 677 2.1795 -0.1205 0.0152
935.00 C 20260724 0.65 0.77 12437 493 2.0324 0.1103 0.0154
935.00 P 20260724 14.45 18.70 9708 1004 2.0324 -0.8903 0.0154
937.50 C 20260724 0.45 0.58 5110 217 2.0530 0.0817 0.0122
937.50 P 20260724 16.80 21.05 3297 391 2.0530 -0.9189 0.0122
900.00 C 20260724 18.85 21.80 2614 3002 2.3227 0.9219 0.0104
900.00 P 20260724 0.56 0.60 29364 6234 2.3227 -0.0781 0.0104
940.00 C 20260724 0.33 0.42 22630 607 2.0990 0.0633 0.0098
940.00 P 20260724 19.15 22.25 9201 3642 2.0990 -0.9373 0.0098
942.50 C 20260724 0.24 0.33 6007 270 2.1538 0.0435 0.0070
942.50 P 20260724 20.95 25.25 1479 414 2.1538 -0.9572 0.0071
895.00 C 20260724 21.35 26.85 63 362 2.4949 0.9526 0.0065
895.00 P 20260724 0.35 0.42 5097 1302 2.4949 -0.0474 0.0065
945.00 C 20260724 0.17 0.25 8480 364 2.2165 0.0290 0.0049
945.00 P 20260724 24.15 27.80 4616 973 2.2165 -0.9717 0.0049
947.50 C 20260724 0.11 0.22 3365 225 2.2923 0.0261 0.0044
947.50 P 20260724 25.10 30.20 2126 332 2.2923 -0.9746 0.0044
890.00 C 20260724 27.75 31.95 163 397 2.7290 0.9686 0.0043
890.00 P 20260724 0.20 0.27 9047 1188 2.7290 -0.0314 0.0043
950.00 C 20260724 0.09 0.18 27913 2826 2.3846 0.0202 0.0034
950.00 P 20260724 29.05 32.80 6610 4235 2.3846 -0.9806 0.0035
952.50 C 20260724 0.06 0.14 1985 151 2.4511 0.0182 0.0030
952.50 P 20260724 29.95 36.85 517 381 2.4511 -0.9825 0.0030
885.00 C 20260724 31.00 38.25 40 627 2.8971 0.9809 0.0026
885.00 P 20260724 0.13 0.25 3073 801 2.8971 -0.0191 0.0026
955.00 C 20260724 0.05 0.13 7349 363 2.4959 0.0124 0.0021
955.00 P 20260724 32.85 37.85 1144 616 2.4959 -0.9884 0.0021
920.00 C 20260727 22.45 23.00 1552 91 0.6854 0.5124 0.0070
920.00 P 20260727 22.45 23.00 1558 125 0.6854 -0.4875 0.0070
915.00 C 20260727 25.20 25.70 987 79 0.6911 0.5470 0.0069
915.00 P 20260727 20.20 20.65 1145 63 0.6911 -0.4534 0.0069
925.00 C 20260727 20.00 20.55 1648 112 0.6804 0.4774 0.0070
925.00 P 20260727 24.95 25.50 1783 70 0.6804 -0.5231 0.0070
910.00 C 20260727 28.15 28.65 1495 51 0.6972 0.5764 0.0068
910.00 P 20260727 18.00 18.60 1365 562 0.6972 -0.4239 0.0068
930.00 C 20260727 17.60 18.20 3280 119 0.6758 0.4420 0.0070
930.00 P 20260727 27.55 28.20 2490 494 0.6758 -0.5579 0.0070
905.00 C 20260727 31.00 31.95 118 158 0.7039 0.6184 0.0065
905.00 P 20260727 16.10 16.65 809 164 0.7039 -0.3819 0.0065
935.00 C 20260727 15.45 16.05 1473 62 0.6718 0.4074 0.0069
935.00 P 20260727 30.45 31.05 876 96 0.6718 -0.5932 0.0069
900.00 C 20260727 34.30 35.10 537 199 0.7112 0.6457 0.0063
900.00 P 20260727 14.30 14.90 3133 1076 0.7112 -0.3545 0.0063
940.00 C 20260727 13.50 14.10 2530 107 0.6683 0.3729 0.0068
940.00 P 20260727 33.45 34.20 1039 243 0.6683 -0.6278 0.0068
895.00 C 20260727 37.65 38.45 98 33 0.7189 0.6708 0.0061
895.00 P 20260727 12.70 13.30 437 314 0.7189 -0.3295 0.0061
945.00 C 20260727 11.70 12.40 956 155 0.6654 0.3403 0.0066
945.00 P 20260727 36.55 37.85 941 73 0.6654 -0.6605 0.0066
890.00 C 20260727 41.20 42.05 60 94 0.7272 0.7016 0.0057
890.00 P 20260727 11.30 11.85 471 318 0.7272 -0.2986 0.0057
950.00 C 20260727 10.25 10.75 5626 194 0.6630 0.3056 0.0063
950.00 P 20260727 40.00 40.85 1868 681 0.6630 -0.6953 0.0064
885.00 C 20260727 44.90 45.70 29 40 0.7361 0.7287 0.0054
885.00 P 20260727 10.00 10.60 186 215 0.7361 -0.2715 0.0054
955.00 C 20260727 8.75 9.30 1299 143 0.6611 0.2719 0.0060
955.00 P 20260727 43.55 44.55 262 130 0.6611 -0.7290 0.0060
