# opt_chain SKHY | epoch 1784920596 | 2026-07-24 15:16:36 | spot 153.27 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
152.50 C 20260724 1.20 1.60 56 1384 1.5212 0.6956 0.1652
152.50 P 20260724 0.40 0.60 1885 1519 1.5212 -0.3045 0.1652
155.00 C 20260724 0.20 0.40 1296 341 1.5676 0.2487 0.1452
155.00 P 20260724 1.60 2.05 2832 1570 1.5676 -0.7514 0.1452
150.00 C 20260724 3.30 3.90 207 210 1.6535 0.9426 0.0500
150.00 P 20260724 0.05 0.10 3115 5393 1.6535 -0.0574 0.0500
157.50 C 20260724 0.05 0.10 1583 478 1.7217 0.0451 0.0392
157.50 P 20260724 3.60 4.60 3303 672 1.7217 -0.9549 0.0392
149.00 C 20260724 4.00 5.40 1 91 1.7215 0.9658 0.0317
149.00 P 20260724 -1.00 0.10 357 1200 1.7215 -0.0342 0.0317
148.00 C 20260724 4.70 6.40 10 11 1.7805 0.9863 0.0141
148.00 P 20260724 -1.00 0.05 261 791 1.7805 -0.0137 0.0141
147.00 C 20260724 5.90 7.40 1 26 1.8282 0.9946 0.0060
147.00 P 20260724 -1.00 0.05 246 1582 1.8282 -0.0054 0.0060
160.00 C 20260724 -1.00 0.05 3697 1663 1.8029 0.0050 0.0057
160.00 P 20260724 6.00 7.00 2315 2547 1.8029 -0.9951 0.0057
146.00 C 20260724 6.70 8.40 0 25 1.8667 0.9982 0.0022
146.00 P 20260724 -1.00 0.05 344 652 1.8667 -0.0018 0.0022
145.00 C 20260724 7.80 9.40 3 31 1.8972 0.9993 0.0009
145.00 P 20260724 -1.00 0.05 761 1873 1.8972 -0.0007 0.0009
152.50 C 20260731 11.10 12.10 7 20 1.2923 0.5500 0.0145
152.50 P 20260731 10.20 10.70 154 48 1.2923 -0.4503 0.0145
155.00 C 20260731 10.20 10.50 429 236 1.2909 0.5137 0.0146
155.00 P 20260731 11.60 12.10 546 808 1.2909 -0.4867 0.0146
150.00 C 20260731 12.30 13.40 227 71 1.2946 0.5860 0.0142
150.00 P 20260731 9.00 9.30 4371 2158 1.2946 -0.4143 0.0142
157.50 C 20260731 9.00 9.50 196 181 1.2904 0.4779 0.0146
157.50 P 20260731 12.50 13.60 514 329 1.2904 -0.5225 0.0146
149.00 C 20260731 12.80 13.90 6 22 1.2958 0.6004 0.0141
149.00 P 20260731 8.20 9.10 146 190 1.2958 -0.3999 0.0141
148.00 C 20260731 13.00 14.40 5 1 1.2972 0.6127 0.0140
148.00 P 20260731 7.70 8.60 99 251 1.2972 -0.3850 0.0140
147.00 C 20260731 13.70 15.10 0 10 1.2987 0.6293 0.0137
147.00 P 20260731 7.20 8.00 184 238 1.2987 -0.3713 0.0137
160.00 C 20260731 8.20 8.50 1284 275 1.2906 0.4430 0.0144
160.00 P 20260731 14.50 15.10 218 462 1.2906 -0.5575 0.0145
146.00 C 20260731 14.40 15.70 7 0 1.3005 0.6434 0.0135
146.00 P 20260731 6.80 7.60 47 63 1.3005 -0.3569 0.0135
145.00 C 20260731 14.90 16.30 12 11 1.3024 0.6572 0.0133
145.00 P 20260731 6.70 7.10 663 2658 1.3024 -0.3432 0.0133
