# opt_chain SNDK | epoch 1784912572 | 2026-07-24 13:02:52 | spot 1499.02 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
1500.00 C 20260724 8.70 10.00 4292 1012 1.2604 0.3891 0.0111
1500.00 P 20260724 18.90 20.30 3757 2289 1.2604 -0.6109 0.0111
1495.00 C 20260724 11.00 12.20 729 59 1.2635 0.4454 0.0115
1495.00 P 20260724 16.10 17.50 682 150 1.2635 -0.5547 0.0115
1505.00 C 20260724 6.90 8.20 634 50 1.2620 0.3363 0.0106
1505.00 P 20260724 21.80 24.00 584 185 1.2620 -0.6637 0.0106
1490.00 C 20260724 13.30 15.20 1049 238 1.2755 0.5029 0.0115
1490.00 P 20260724 13.30 14.70 1209 233 1.2755 -0.4971 0.0115
1510.00 C 20260724 5.50 6.60 874 94 1.2647 0.2860 0.0099
1510.00 P 20260724 23.90 28.70 803 158 1.2647 -0.7141 0.0099
1485.00 C 20260724 16.10 17.80 857 41 1.2977 0.5591 0.0111
1485.00 P 20260724 11.00 12.30 885 184 1.2977 -0.4409 0.0111
1515.00 C 20260724 4.30 5.30 1192 92 1.2670 0.2427 0.0093
1515.00 P 20260724 27.50 31.20 321 76 1.2670 -0.7574 0.0093
1480.00 C 20260724 16.80 21.10 946 123 1.3243 0.6119 0.0106
1480.00 P 20260724 9.00 10.40 1204 284 1.3243 -0.3881 0.0106
1520.00 C 20260724 3.50 4.30 1377 139 1.2686 0.2011 0.0081
1520.00 P 20260724 32.20 35.20 897 189 1.2686 -0.7990 0.0081
1475.00 C 20260724 21.00 24.80 571 61 1.3450 0.6725 0.0099
1475.00 P 20260724 7.30 8.60 880 188 1.3450 -0.3275 0.0099
1525.00 C 20260724 2.65 3.00 756 161 1.2701 0.1589 0.0071
1525.00 P 20260724 36.40 41.60 403 198 1.2701 -0.8412 0.0071
1470.00 C 20260724 24.60 27.50 844 124 1.3545 0.7104 0.0093
1470.00 P 20260724 6.10 7.00 813 152 1.3545 -0.2896 0.0093
1530.00 C 20260724 2.00 2.45 1073 138 1.2730 0.1288 0.0061
1530.00 P 20260724 38.80 44.40 804 151 1.2730 -0.8713 0.0061
1465.00 C 20260724 28.40 31.70 277 215 1.3561 0.7570 0.0082
1465.00 P 20260724 4.90 5.80 613 64 1.3561 -0.2430 0.0082
1535.00 C 20260724 1.40 1.85 404 70 1.2782 0.1005 0.0051
1535.00 P 20260724 44.00 51.50 247 114 1.2782 -0.8996 0.0051
1460.00 C 20260724 32.70 36.50 622 161 1.3563 0.7984 0.0076
1460.00 P 20260724 3.90 5.20 833 169 1.3563 -0.2016 0.0076
1540.00 C 20260724 1.15 1.70 707 195 1.2864 0.0853 0.0045
1540.00 P 20260724 46.90 55.60 412 248 1.2864 -0.9148 0.0045
1455.00 C 20260724 35.60 41.20 141 82 1.3594 0.8425 0.0065
1455.00 P 20260724 3.30 4.00 620 99 1.3594 -0.1576 0.0065
1545.00 C 20260724 0.85 1.30 534 96 1.2981 0.0716 0.0038
1545.00 P 20260724 52.10 60.90 386 95 1.2981 -0.9285 0.0038
1450.00 C 20260724 39.00 46.10 351 478 1.3664 0.8607 0.0057
1450.00 P 20260724 2.75 3.20 2967 883 1.3664 -0.1393 0.0057
1500.00 C 20260731 101.50 105.40 772 689 1.2952 0.5231 0.0015
1500.00 P 20260731 108.90 115.50 437 3692 1.2952 -0.4773 0.0015
1495.00 C 20260731 101.60 107.20 180 8 1.2973 0.5305 0.0015
1495.00 P 20260731 106.40 111.50 44 109 1.2973 -0.4699 0.0015
1505.00 C 20260731 97.50 105.00 55 31 1.2932 0.5157 0.0015
1505.00 P 20260731 110.80 116.30 65 90 1.2932 -0.4847 0.0015
1490.00 C 20260731 104.50 112.10 169 55 1.2993 0.5378 0.0015
1490.00 P 20260731 105.20 108.00 51 203 1.2993 -0.4626 0.0015
1510.00 C 20260731 95.70 101.70 113 129 1.2912 0.5083 0.0015
1510.00 P 20260731 113.60 121.60 38 74 1.2912 -0.4921 0.0015
1485.00 C 20260731 107.60 115.00 82 37 1.3014 0.5452 0.0015
1485.00 P 20260731 101.60 106.90 39 46 1.3014 -0.4551 0.0015
1515.00 C 20260731 91.70 99.20 26 36 1.2892 0.5009 0.0015
1515.00 P 20260731 115.50 122.30 11 28 1.2892 -0.4995 0.0015
1480.00 C 20260731 108.50 117.80 46 53 1.3036 0.5526 0.0015
1480.00 P 20260731 98.60 104.40 97 69 1.3036 -0.4477 0.0015
1520.00 C 20260731 91.60 97.50 102 55 1.2873 0.4935 0.0015
1520.00 P 20260731 119.60 124.20 50 75 1.2873 -0.5069 0.0015
1475.00 C 20260731 111.80 119.80 114 17 1.3057 0.5600 0.0015
1475.00 P 20260731 96.40 102.00 24 163 1.3057 -0.4403 0.0015
1525.00 C 20260731 88.20 95.20 83 56 1.2854 0.4860 0.0015
1525.00 P 20260731 121.90 127.50 32 64 1.2854 -0.5144 0.0015
1470.00 C 20260731 114.10 121.90 76 24 1.3079 0.5674 0.0014
1470.00 P 20260731 94.70 101.50 57 215 1.3079 -0.4330 0.0015
1530.00 C 20260731 86.50 91.90 217 68 1.2834 0.4785 0.0015
1530.00 P 20260731 125.20 130.90 31 54 1.2834 -0.5219 0.0015
1465.00 C 20260731 117.60 124.10 32 7 1.3101 0.5747 0.0014
1465.00 P 20260731 92.80 98.90 23 52 1.3101 -0.4256 0.0014
1535.00 C 20260731 82.80 90.10 87 154 1.2815 0.4710 0.0015
1535.00 P 20260731 127.40 133.60 20 62 1.2815 -0.5294 0.0015
1460.00 C 20260731 121.50 127.60 41 17 1.3123 0.5820 0.0014
1460.00 P 20260731 90.00 94.60 78 117 1.3123 -0.4183 0.0014
1540.00 C 20260731 81.10 89.00 63 69 1.2797 0.4635 0.0015
