# opt_chain SPY | epoch 1784921585 | 2026-07-24 15:33:05 | spot 738.13 | exps 20260724 20260727
# strike right exp bid ask vol oi iv delta gamma
738.00 C 20260724 0.77 0.78 252125 5694 0.2447 0.5441 0.2464
738.00 P 20260724 0.57 0.58 664431 8079 0.2447 -0.4560 0.2465
739.00 C 20260724 0.33 0.34 417050 5978 0.2433 0.3046 0.2187
739.00 P 20260724 1.12 1.15 573317 5652 0.2433 -0.6957 0.2188
737.00 C 20260724 1.45 1.47 81169 5430 0.2571 0.7777 0.1763
737.00 P 20260724 0.26 0.27 599035 8565 0.2571 -0.2224 0.1763
740.00 C 20260724 0.12 0.13 544871 12213 0.2559 0.1415 0.1331
740.00 P 20260724 1.91 1.94 595609 22235 0.2559 -0.8589 0.1333
736.00 C 20260724 2.29 2.33 27552 2465 0.2753 0.8878 0.1057
736.00 P 20260724 0.11 0.12 329071 6837 0.2753 -0.1122 0.1057
741.00 C 20260724 0.04 0.05 503959 7416 0.2824 0.0707 0.0727
741.00 P 20260724 2.75 2.91 454977 3933 0.2824 -0.9297 0.0729
735.00 C 20260724 3.17 3.35 12177 2302 0.2960 0.9532 0.0501
735.00 P 20260724 0.05 0.06 288814 19993 0.2960 -0.0468 0.0502
742.00 C 20260724 0.02 0.03 582490 13678 0.3217 0.0336 0.0350
742.00 P 20260724 3.75 3.87 380169 5527 0.3217 -0.9671 0.0350
734.00 C 20260724 4.15 4.27 6466 1963 0.3223 0.9725 0.0295
734.00 P 20260724 0.02 0.03 180144 7959 0.3223 -0.0289 0.0308
743.00 C 20260724 0.01 0.02 536202 11263 0.3675 0.0203 0.0202
743.00 P 20260724 4.75 4.87 189259 6279 0.3675 -0.9801 0.0202
733.00 C 20260724 5.15 5.32 5225 2127 0.3537 0.9850 0.0162
733.00 P 20260724 0.01 0.02 169971 12787 0.3537 -0.0151 0.0162
744.00 C 20260724 0.01 0.02 348989 10630 0.4155 0.0167 0.0151
744.00 P 20260724 5.71 5.88 54608 5003 0.4155 -0.9838 0.0150
732.00 C 20260724 6.11 6.31 1917 1311 0.3942 0.9919 0.0085
732.00 P 20260724 0.01 0.02 72077 14288 0.3942 -0.0081 0.0085
745.00 C 20260724 0.01 0.02 298039 19711 0.4623 0.0123 0.0104
745.00 P 20260724 6.71 6.87 27017 13799 0.4623 -0.9882 0.0104
731.00 C 20260724 7.11 7.31 847 418 0.4438 0.9922 0.0073
731.00 P 20260724 0.01 0.02 42934 17063 0.4438 -0.0076 0.0071
746.00 C 20260724 -1.00 0.01 135897 14334 0.5045 0.0092 0.0074
746.00 P 20260724 7.70 7.91 4799 3821 0.5045 -0.9912 0.0074
730.00 C 20260724 8.10 8.30 1535 808 0.5003 0.9938 0.0053
730.00 P 20260724 0.01 0.02 66220 25853 0.5003 -0.0062 0.0053
747.00 C 20260724 -1.00 0.01 83772 12465 0.5393 0.0066 0.0052
747.00 P 20260724 8.70 8.91 1787 1504 0.5393 -0.9937 0.0052
729.00 C 20260724 9.10 9.31 317 535 0.5589 0.9934 0.0050
729.00 P 20260724 0.01 0.02 35391 4807 0.5589 -0.0066 0.0050
748.00 C 20260724 -1.00 0.01 57209 9823 0.5643 0.0041 0.0032
748.00 P 20260724 9.70 9.88 911 1042 0.5643 -0.9962 0.0033
738.00 C 20260727 2.97 2.99 28137 1428 0.1059 0.5259 0.0561
738.00 P 20260727 2.65 2.66 66270 2452 0.1059 -0.4794 0.0566
739.00 C 20260727 2.41 2.42 45326 4331 0.1031 0.4691 0.0575
739.00 P 20260727 3.08 3.11 75342 2367 0.1031 -0.5330 0.0579
737.00 C 20260727 3.58 3.61 8321 1732 0.1086 0.5762 0.0539
737.00 P 20260727 2.26 2.28 44421 2251 0.1086 -0.4251 0.0542
740.00 C 20260727 1.90 1.92 64672 5575 0.1000 0.4058 0.0578
740.00 P 20260727 3.56 3.61 65304 4447 0.1000 -0.5930 0.0585
736.00 C 20260727 4.24 4.29 2971 917 0.1116 0.6256 0.0506
