# opt_chain STX | epoch 1784899576 | 2026-07-24 09:26:16 | spot 891.50 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
890.00 C 20260724 -1.00 -1.00 0 74 1.1345 0.6878 0.0065
890.00 P 20260724 -1.00 -1.00 0 62 1.1345 -0.3123 0.0065
895.00 C 20260724 -1.00 -1.00 0 166 1.1255 0.6465 0.0069
895.00 P 20260724 -1.00 -1.00 0 53 1.1255 -0.3536 0.0069
885.00 C 20260724 -1.00 -1.00 0 25 1.1442 0.7116 0.0063
885.00 P 20260724 -1.00 -1.00 0 36 1.1442 -0.2884 0.0063
900.00 C 20260724 -1.00 -1.00 0 386 1.1171 0.6135 0.0072
900.00 P 20260724 -1.00 -1.00 0 1139 1.1171 -0.3866 0.0072
880.00 C 20260724 -1.00 -1.00 0 78 1.1545 0.7424 0.0059
880.00 P 20260724 -1.00 -1.00 0 60 1.1545 -0.2576 0.0059
905.00 C 20260724 -1.00 -1.00 0 32 1.1093 0.5764 0.0074
905.00 P 20260724 -1.00 -1.00 0 32 1.1093 -0.4237 0.0074
875.00 C 20260724 -1.00 -1.00 0 34 1.1654 0.7713 0.0054
875.00 P 20260724 -1.00 -1.00 0 31 1.1654 -0.2288 0.0054
910.00 C 20260724 -1.00 -1.00 0 55 1.1022 0.5459 0.0075
910.00 P 20260724 -1.00 -1.00 0 55 1.1022 -0.4542 0.0075
870.00 C 20260724 -1.00 -1.00 0 56 1.1771 0.7943 0.0051
870.00 P 20260724 -1.00 -1.00 0 121 1.1771 -0.2058 0.0051
915.00 C 20260724 -1.00 -1.00 0 43 1.0957 0.5080 0.0077
915.00 P 20260724 -1.00 -1.00 0 21 1.0957 -0.4921 0.0077
865.00 C 20260724 -1.00 -1.00 0 36 1.1894 0.8185 0.0046
865.00 P 20260724 -1.00 -1.00 0 70 1.1894 -0.1815 0.0046
920.00 C 20260724 -1.00 -1.00 0 448 1.0898 0.4699 0.0076
920.00 P 20260724 -1.00 -1.00 0 23 1.0898 -0.5302 0.0076
860.00 C 20260724 -1.00 -1.00 0 37 1.2024 0.8412 0.0043
860.00 P 20260724 -1.00 -1.00 0 364 1.2024 -0.1589 0.0043
925.00 C 20260724 -1.00 -1.00 0 91 1.0846 0.4246 0.0076
925.00 P 20260724 -1.00 -1.00 0 31 1.0846 -0.5756 0.0076
855.00 C 20260724 -1.00 -1.00 0 34 1.2159 0.8593 0.0039
855.00 P 20260724 -1.00 -1.00 0 62 1.2159 -0.1408 0.0039
890.00 C 20260731 -1.00 -1.00 0 598 1.3557 0.5923 0.0021
890.00 P 20260731 -1.00 -1.00 0 24 1.3557 -0.4079 0.0021
895.00 C 20260731 -1.00 -1.00 0 40 1.3537 0.5813 0.0022
895.00 P 20260731 -1.00 -1.00 0 19 1.3537 -0.4189 0.0022
885.00 C 20260731 -1.00 -1.00 0 61 1.3577 0.6034 0.0021
885.00 P 20260731 -1.00 -1.00 0 3 1.3577 -0.3971 0.0021
900.00 C 20260731 -1.00 -1.00 0 50 1.3516 0.5704 0.0022
900.00 P 20260731 -1.00 -1.00 0 65 1.3516 -0.4300 0.0022
902.50 C 20260731 -1.00 -1.00 0 0 1.3506 0.5648 0.0022
902.50 P 20260731 -1.00 -1.00 0 0 1.3506 -0.4354 0.0022
880.00 C 20260731 -1.00 -1.00 0 58 1.3598 0.6141 0.0021
880.00 P 20260731 -1.00 -1.00 0 40 1.3598 -0.3862 0.0021
905.00 C 20260731 -1.00 -1.00 0 15 1.3496 0.5594 0.0022
905.00 P 20260731 -1.00 -1.00 0 26 1.3496 -0.4410 0.0022
907.50 C 20260731 -1.00 -1.00 0 3 1.3486 0.5538 0.0022
907.50 P 20260731 -1.00 -1.00 0 2 1.3486 -0.4465 0.0022
875.00 C 20260731 -1.00 -1.00 0 28 1.3618 0.6246 0.0021
875.00 P 20260731 -1.00 -1.00 0 11 1.3618 -0.3757 0.0021
910.00 C 20260731 -1.00 -1.00 0 53 1.3476 0.5483 0.0022
910.00 P 20260731 -1.00 -1.00 0 20 1.3476 -0.4521 0.0022
912.50 C 20260731 -1.00 -1.00 0 11 1.3466 0.5428 0.0022
912.50 P 20260731 -1.00 -1.00 0 1 1.3466 -0.4576 0.0022
870.00 C 20260731 -1.00 -1.00 0 46 1.3639 0.6368 0.0020
870.00 P 20260731 -1.00 -1.00 0 16 1.3639 -0.3651 0.0020
915.00 C 20260731 -1.00 -1.00 0 43 1.3457 0.5373 0.0022
915.00 P 20260731 -1.00 -1.00 0 35 1.3457 -0.4631 0.0022
917.50 C 20260731 -1.00 -1.00 0 1 1.3447 0.5318 0.0022
917.50 P 20260731 -1.00 -1.00 0 5 1.3447 -0.4686 0.0022
865.00 C 20260731 -1.00 -1.00 0 9 1.3660 0.6457 0.0020
865.00 P 20260731 -1.00 -1.00 0 7 1.3660 -0.3541 0.0020
920.00 C 20260731 -1.00 -1.00 0 38 1.3437 0.5263 0.0022
920.00 P 20260731 -1.00 -1.00 0 58 1.3437 -0.4741 0.0022
922.50 C 20260731 -1.00 -1.00 0 15 1.3427 0.5209 0.0022
922.50 P 20260731 -1.00 -1.00 0 8 1.3427 -0.4795 0.0022
860.00 C 20260731 -1.00 -1.00 0 30 1.3681 0.6561 0.0020
860.00 P 20260731 -1.00 -1.00 0 36 1.3681 -0.3435 0.0020
925.00 C 20260731 -1.00 -1.00 0 41 1.3417 0.5153 0.0022
925.00 P 20260731 -1.00 -1.00 0 7 1.3417 -0.4850 0.0022
855.00 C 20260731 -1.00 -1.00 0 157 1.3702 0.6666 0.0020
855.00 P 20260731 -1.00 -1.00 0 22 1.3702 -0.3336 0.0020
