# opt_chain TSM | epoch 1784905401 | 2026-07-24 11:03:21 | spot 405.60 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
405.00 C 20260724 2.16 2.63 327 1004 0.5240 0.5603 0.0783
405.00 P 20260724 1.50 1.88 1156 2226 0.5240 -0.4398 0.0784
407.50 C 20260724 1.11 1.36 229 328 0.5000 0.3593 0.0779
407.50 P 20260724 2.72 3.35 256 671 0.5000 -0.6409 0.0780
402.50 C 20260724 3.80 4.50 176 514 0.5815 0.7191 0.0604
402.50 P 20260724 0.74 0.98 213 463 0.5815 -0.2810 0.0604
410.00 C 20260724 0.44 0.61 1071 3230 0.4961 0.1870 0.0563
410.00 P 20260724 4.65 5.10 2488 2872 0.4961 -0.8133 0.0563
400.00 C 20260724 5.50 6.60 68 4584 0.5716 0.8468 0.0432
400.00 P 20260724 0.33 0.47 1654 4698 0.5716 -0.1532 0.0432
412.50 C 20260724 0.15 0.30 778 1456 0.5035 0.0791 0.0305
412.50 P 20260724 5.95 7.70 48 736 0.5035 -0.9214 0.0306
397.50 C 20260724 7.55 9.00 18 165 0.5719 0.9408 0.0214
397.50 P 20260724 0.16 0.24 83 681 0.5719 -0.0592 0.0214
415.00 C 20260724 0.06 0.16 1118 2967 0.5259 0.0324 0.0143
415.00 P 20260724 7.80 10.20 116 947 0.5259 -0.9682 0.0144
395.00 C 20260724 9.70 11.45 13 176 0.6018 0.9695 0.0119
395.00 P 20260724 0.05 0.16 201 1661 0.6018 -0.0305 0.0119
417.50 C 20260724 0.02 0.09 382 576 0.5831 0.0201 0.0086
417.50 P 20260724 10.75 12.90 273 573 0.5831 -0.9805 0.0087
392.50 C 20260724 12.15 14.50 1 83 0.6658 0.9823 0.0068
392.50 P 20260724 0.02 0.10 114 723 0.6658 -0.0177 0.0068
420.00 C 20260724 0.03 0.05 571 2018 0.6600 0.0131 0.0053
420.00 P 20260724 12.95 15.10 71 2880 0.6600 -0.9880 0.0052
390.00 C 20260724 14.75 17.00 16 440 0.7552 0.9874 0.0045
390.00 P 20260724 0.03 0.05 266 1507 0.7552 -0.0126 0.0045
422.50 C 20260724 -1.00 0.03 1473 1389 0.7328 0.0102 0.0038
422.50 P 20260724 14.95 17.75 13 216 0.7328 -0.9903 0.0039
387.50 C 20260724 17.10 19.50 0 66 0.8529 0.9896 0.0033
387.50 P 20260724 0.01 0.05 35 635 0.8529 -0.0109 0.0035
425.00 C 20260724 0.01 0.03 653 4073 0.8030 0.0075 0.0027
425.00 P 20260724 17.75 20.15 45 1376 0.8030 -0.9930 0.0027
385.00 C 20260724 19.60 21.95 0 108 0.9473 0.9912 0.0026
385.00 P 20260724 0.02 0.03 194 9673 0.9473 -0.0092 0.0027
427.50 C 20260724 0.01 0.02 246 1020 0.8766 0.0064 0.0021
427.50 P 20260724 20.35 22.90 7 167 0.8766 -0.9941 0.0021
382.50 C 20260724 22.10 24.50 0 60 1.0361 0.9927 0.0020
382.50 P 20260724 -1.00 0.03 66 2249 1.0361 -0.0075 0.0021
405.00 C 20260731 11.40 12.25 135 2749 0.4908 0.5319 0.0143
405.00 P 20260731 10.40 11.00 164 1468 0.4908 -0.4691 0.0143
407.50 C 20260731 10.25 10.85 75 1084 0.4886 0.4963 0.0144
407.50 P 20260731 11.55 12.30 72 182 0.4886 -0.5049 0.0144
402.50 C 20260731 12.80 13.55 6 67 0.4933 0.5673 0.0140
