# opt_chain TXN | epoch 1784906925 | 2026-07-24 11:28:45 | spot 279.76 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
280.00 C 20260724 0.81 2.41 99 95 0.8250 0.3991 0.0741
280.00 P 20260724 1.59 3.00 34 445 0.8250 -0.6010 0.0742
277.50 C 20260724 1.39 3.90 0 28 0.8406 0.5868 0.0737
277.50 P 20260724 0.53 2.04 31 447 0.8406 -0.4133 0.0737
282.50 C 20260724 0.20 1.21 248 58 0.8251 0.2326 0.0586
282.50 P 20260724 2.91 5.30 263 273 0.8251 -0.7676 0.0587
275.00 C 20260724 3.25 6.20 10 428 0.8694 0.7478 0.0582
275.00 P 20260724 0.46 0.90 60 388 0.8694 -0.2522 0.0582
285.00 C 20260724 0.11 0.44 124 274 0.8438 0.1188 0.0374
285.00 P 20260724 4.90 7.80 148 308 0.8438 -0.8815 0.0374
272.50 C 20260724 5.25 8.55 0 63 0.9118 0.8549 0.0384
272.50 P 20260724 0.18 0.50 69 140 0.9118 -0.1452 0.0384
287.50 C 20260724 0.01 0.42 4 116 0.8801 0.0627 0.0221
287.50 P 20260724 6.95 10.10 5 154 0.8801 -0.9375 0.0222
270.00 C 20260724 7.90 10.90 0 29 0.9695 0.9203 0.0235
270.00 P 20260724 0.10 0.26 169 736 0.9695 -0.0797 0.0235
290.00 C 20260724 -1.00 0.34 344 568 0.9285 0.0301 0.0117
290.00 P 20260724 9.30 12.60 22 536 0.9285 -0.9702 0.0117
267.50 C 20260724 10.10 13.20 0 5 1.0425 0.9605 0.0129
267.50 P 20260724 0.05 0.43 4 549 1.0425 -0.0395 0.0129
292.50 C 20260724 -1.00 0.52 26 154 0.9819 0.0157 0.0063
292.50 P 20260724 12.90 15.10 384 506 0.9819 -0.9847 0.0063
265.00 C 20260724 12.55 15.70 0 8 1.1293 0.9755 0.0080
265.00 P 20260724 0.05 0.13 83 637 1.1293 -0.0230 0.0076
295.00 C 20260724 -1.00 0.23 69 680 1.0355 0.0075 0.0031
295.00 P 20260724 15.40 17.60 16 501 1.0355 -0.9929 0.0032
280.00 C 20260731 7.30 8.85 11 43 0.5667 0.4963 0.0185
280.00 P 20260731 9.35 10.85 16 144 0.5667 -0.5264 0.0181
277.50 C 20260731 8.35 10.10 10 1 0.5690 0.5425 0.0184
277.50 P 20260731 8.10 9.60 0 13 0.5690 -0.4814 0.0181
282.50 C 20260731 6.20 7.15 3 36 0.5649 0.4501 0.0185
282.50 P 20260731 10.05 12.10 3 50 0.5649 -0.5712 0.0180
275.00 C 20260731 9.60 11.45 1 324 0.5717 0.5854 0.0180
275.00 P 20260731 6.45 8.25 10 109 0.5717 -0.4391 0.0178
285.00 C 20260731 5.20 6.55 12 104 0.5635 0.4053 0.0181
285.00 P 20260731 12.35 13.70 5 89 0.5635 -0.6171 0.0175
272.50 C 20260731 11.15 13.10 0 21 0.5748 0.6301 0.0174
272.50 P 20260731 5.85 6.95 1 15 0.5748 -0.3948 0.0173
287.50 C 20260731 4.50 5.25 52 1322 0.5624 0.3591 0.0175
287.50 P 20260731 14.00 15.45 0 34 0.5624 -0.6588 0.0168
270.00 C 20260731 12.70 14.50 9 15 0.5785 0.6726 0.0165
270.00 P 20260731 4.95 5.80 21 211 0.5785 -0.3524 0.0166
290.00 C 20260731 3.70 4.95 134 599 0.5617 0.3177 0.0167
290.00 P 20260731 14.95 17.15 1 35 0.5617 -0.6988 0.0160
267.50 C 20260731 14.50 16.20 0 2 0.5826 0.7152 0.0154
267.50 P 20260731 4.05 5.10 9 17 0.5826 -0.3116 0.0157
292.50 C 20260731 3.05 3.85 4 1236 0.5613 0.2790 0.0157
292.50 P 20260731 17.70 19.10 0 32 0.5613 -0.7354 0.0150
265.00 C 20260731 16.20 18.70 0 2 0.5873 0.7495 0.0143
265.00 P 20260731 3.55 4.20 14 284 0.5873 -0.2749 0.0147
295.00 C 20260731 2.55 3.30 11 559 0.5612 0.2446 0.0147
295.00 P 20260731 18.25 21.40 0 47 0.5612 -0.7714 0.0139
