# opt_chain WDC | epoch 1784902566 | 2026-07-24 10:16:06 | spot 530.71 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
530.00 C 20260724 8.00 9.90 27 147 1.5257 0.5244 0.0193
530.00 P 20260724 5.55 8.70 42 202 1.5257 -0.4777 0.0193
532.50 C 20260724 5.30 8.70 5 8 1.5122 0.4740 0.0194
532.50 P 20260724 7.20 10.05 17 32 1.5122 -0.5261 0.0194
527.50 C 20260724 7.95 11.35 9 34 1.5404 0.5719 0.0188
527.50 P 20260724 4.90 7.85 4 24 1.5404 -0.4331 0.0189
535.00 C 20260724 4.35 7.70 15 62 1.5000 0.4270 0.0194
535.00 P 20260724 8.55 11.90 9 152 1.5000 -0.5750 0.0194
525.00 C 20260724 9.60 12.10 219 734 1.5564 0.6154 0.0181
525.00 P 20260724 4.05 6.30 18 188 1.5564 -0.3819 0.0181
537.50 C 20260724 3.85 6.30 8 82 1.4890 0.3774 0.0188
537.50 P 20260724 10.45 13.75 10 44 1.4890 -0.6227 0.0188
522.50 C 20260724 10.80 14.40 0 7 1.5736 0.6627 0.0172
522.50 P 20260724 3.40 5.30 1 35 1.5736 -0.3373 0.0172
540.00 C 20260724 3.00 5.30 35 152 1.4795 0.3310 0.0181
540.00 P 20260724 11.25 15.30 13 152 1.4795 -0.6691 0.0181
520.00 C 20260724 11.85 16.85 0 233 1.5922 0.7024 0.0161
520.00 P 20260724 2.93 4.80 13 129 1.5922 -0.3007 0.0161
542.50 C 20260724 2.45 4.55 1 16 1.4716 0.2896 0.0172
542.50 P 20260724 13.50 16.20 0 45 1.4716 -0.7165 0.0171
517.50 C 20260724 14.20 18.60 2 31 1.6122 0.7402 0.0149
517.50 P 20260724 2.43 3.70 6 15 1.6122 -0.2598 0.0149
545.00 C 20260724 2.19 3.75 15 88 1.4654 0.2460 0.0159
545.00 P 20260724 15.55 18.05 24 74 1.4654 -0.7541 0.0159
515.00 C 20260724 16.10 21.25 2 51 1.6340 0.7735 0.0136
515.00 P 20260724 1.97 3.20 57 189 1.6340 -0.2228 0.0135
547.50 C 20260724 1.55 3.20 4 25 1.4611 0.2104 0.0146
547.50 P 20260724 17.10 20.80 5 50 1.4611 -0.7897 0.0146
512.50 C 20260724 17.65 23.35 0 39 1.6575 0.8042 0.0123
512.50 P 20260724 1.55 2.80 0 15 1.6575 -0.1959 0.0123
550.00 C 20260724 1.26 2.15 53 623 1.4589 0.1808 0.0133
550.00 P 20260724 18.85 22.85 36 269 1.4589 -0.8193 0.0133
510.00 C 20260724 21.15 23.75 9 47 1.6831 0.8325 0.0110
510.00 P 20260724 1.32 2.20 62 135 1.6831 -0.1675 0.0110
552.50 C 20260724 1.00 1.74 21 34 1.4589 0.1504 0.0118
552.50 P 20260724 20.55 25.35 4 18 1.4589 -0.8529 0.0117
507.50 C 20260724 20.95 29.60 0 10 1.7108 0.8546 0.0099
507.50 P 20260724 1.00 1.80 9 23 1.7108 -0.1486 0.0100
555.00 C 20260724 0.64 1.48 42 137 1.4613 0.1207 0.0102
555.00 P 20260724 22.10 27.95 1 165 1.4613 -0.8795 0.0102
530.00 C 20260731 31.90 35.85 8 36 1.1441 0.5437 0.0047
530.00 P 20260731 29.60 34.40 0 117 1.1441 -0.4567 0.0047
532.50 C 20260731 31.20 34.70 0 10 1.1418 0.5304 0.0047
