# opt_chain AMD | epoch 1784989260 | 2026-07-25 10:21:00 | spot 523.00 | exps 20260727 20260729 20260731 20260803
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 64560s
# strike right exp bid ask vol oi iv delta gamma
500.00 C 20260727 -1.00 -1.00 21 136 0.7057 0.7828 0.010070
502.50 C 20260727 -1.00 -1.00 44 61 0.6917 0.7584 0.010802
505.00 C 20260727 -1.00 -1.00 26 82 0.6864 0.7299 0.011474
507.50 C 20260727 -1.00 -1.00 1 34 0.6689 0.7039 0.012323
510.00 C 20260727 -1.00 -1.00 39 77 0.6775 0.6713 0.012849
512.50 C 20260727 -1.00 -1.00 1 94 0.6640 0.6410 0.013552
515.00 C 20260727 -1.00 -1.00 63 78 0.6554 0.6068 0.014001
517.50 C 20260727 -1.00 -1.00 806 44 0.6499 0.5714 0.014402
520.00 C 20260727 -1.00 -1.00 1088 137 0.6459 0.5354 0.014780
522.50 C 20260727 -1.00 -1.00 671 36 0.6387 0.4990 0.015060
525.00 C 20260727 -1.00 -1.00 1565 125 0.6297 0.4617 0.015055
527.50 C 20260727 -1.00 -1.00 1152 129 0.6236 0.4238 0.014972
530.00 C 20260727 -1.00 -1.00 2582 181 0.6236 0.3865 0.014749
532.50 C 20260727 -1.00 -1.00 2325 67 0.6179 0.3501 0.014423
535.00 C 20260727 -1.00 -1.00 3426 229 0.6104 0.3151 0.013874
537.50 C 20260727 -1.00 -1.00 647 125 0.6079 0.2810 0.013220
540.00 C 20260727 -1.00 -1.00 2038 444 0.6105 0.2489 0.012495
542.50 C 20260727 -1.00 -1.00 262 146 0.6033 0.2185 0.011715
545.00 C 20260727 -1.00 -1.00 2399 1394 0.5976 0.1907 0.010820
500.00 P 20260727 -1.00 -1.00 2304 1403 0.6570 -0.2036 0.010339
502.50 P 20260727 -1.00 -1.00 93 100 0.6598 -0.2313 0.011111
505.00 P 20260727 -1.00 -1.00 391 114 0.6493 -0.2595 0.011903
507.50 P 20260727 -1.00 -1.00 237 71 0.6476 -0.2909 0.012620
510.00 P 20260727 -1.00 -1.00 1504 216 0.6373 -0.3206 0.013483
512.50 P 20260727 -1.00 -1.00 264 50 0.6333 -0.3535 0.014176
515.00 P 20260727 -1.00 -1.00 743 351 0.6173 -0.3882 0.014836
517.50 P 20260727 -1.00 -1.00 445 89 0.6150 -0.4260 0.015211
520.00 P 20260727 -1.00 -1.00 1461 194 0.6051 -0.4639 0.015783
522.50 P 20260727 -1.00 -1.00 580 57 0.6157 -0.5023 0.015635
525.00 P 20260727 -1.00 -1.00 1316 194 0.6038 -0.5413 0.015703
527.50 P 20260727 -1.00 -1.00 1010 73 0.5890 -0.5824 0.015838
530.00 P 20260727 -1.00 -1.00 1059 273 0.5964 -0.6202 0.015406
532.50 P 20260727 -1.00 -1.00 905 96 0.5816 -0.6601 0.015144
535.00 P 20260727 -1.00 -1.00 1282 400 0.5624 -0.7016 0.014727
537.50 P 20260727 -1.00 -1.00 169 110 0.5735 -0.7330 0.013749
540.00 P 20260727 -1.00 -1.00 290 206 0.5620 -0.7714 0.013034
542.50 P 20260727 -1.00 -1.00 138 73 0.5503 -0.8040 0.012040
545.00 P 20260727 -1.00 -1.00 243 187 0.5734 -0.8210 0.010912
500.00 C 20260729 -1.00 -1.00 10 61 0.8408 0.6947 0.007369
502.50 C 20260729 -1.00 -1.00 1 1 0.8515 0.6748 0.007529
505.00 C 20260729 -1.00 -1.00 23 18 0.8428 0.6571 0.007786
507.50 C 20260729 -1.00 -1.00 8 4 0.8333 0.6376 0.007972
510.00 C 20260729 -1.00 -1.00 6 25 0.8250 0.6175 0.008154
