# opt_chain AMZN | epoch 1784989323 | 2026-07-25 10:22:03 | spot 232.40 | exps 20260727 20260729 20260731 20260803
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 64623s
# strike right exp bid ask vol oi iv delta gamma
225.00 C 20260727 -1.00 -1.00 1581 115 0.3618 0.8439 0.035481
227.50 C 20260727 -1.00 -1.00 1117 83 0.3270 0.7581 0.051550
230.00 C 20260727 -1.00 -1.00 2855 352 0.2850 0.6269 0.071781
232.50 C 20260727 -1.00 -1.00 7204 359 0.2755 0.4399 0.076857
235.00 C 20260727 -1.00 -1.00 15259 1241 0.2687 0.2574 0.064805
237.50 C 20260727 -1.00 -1.00 5219 683 0.2724 0.1293 0.041861
240.00 C 20260727 -1.00 -1.00 7993 1820 0.2822 0.0608 0.022866
242.50 C 20260727 -1.00 -1.00 3393 2800 0.3019 0.0295 0.011925
225.00 P 20260727 -1.00 -1.00 1881 702 0.2635 -0.0838 0.031257
227.50 P 20260727 -1.00 -1.00 2281 372 0.2426 -0.1767 0.057338
230.00 P 20260727 -1.00 -1.00 6229 4721 0.2330 -0.3477 0.086712
232.50 P 20260727 -1.00 -1.00 5850 590 0.2160 -0.5806 0.097696
235.00 P 20260727 -1.00 -1.00 1371 1292 0.1995 -0.8134 0.073687
237.50 P 20260727 -1.00 -1.00 666 1390 -1.0000 -1.0000 -1.000000
240.00 P 20260727 -1.00 -1.00 2949 522 -1.0000 -1.0000 -1.000000
242.50 P 20260727 -1.00 -1.00 1061 531 -1.0000 -1.0000 -1.000000
222.50 C 20260729 -1.00 -1.00 1615 3 0.4537 0.8001 0.024602
225.00 C 20260729 -1.00 -1.00 108 89 0.4041 0.7538 0.031035
227.50 C 20260729 -1.00 -1.00 403 88 0.3704 0.6812 0.038463
230.00 C 20260729 -1.00 -1.00 2598 98 0.3618 0.5811 0.042813
232.50 C 20260729 -1.00 -1.00 1550 242 0.3485 0.4720 0.045433
235.00 C 20260729 -1.00 -1.00 3595 1145 0.3505 0.3622 0.043030
237.50 C 20260729 -1.00 -1.00 1780 257 0.3465 0.2628 0.037489
240.00 C 20260729 -1.00 -1.00 2635 1296 0.3452 0.1815 0.030215
242.50 C 20260729 -1.00 -1.00 2677 397 0.3507 0.1210 0.022780
222.50 P 20260729 -1.00 -1.00 464 94 0.3552 -0.1437 0.025360
225.00 P 20260729 -1.00 -1.00 1558 249 0.3183 -0.1955 0.034545
227.50 P 20260729 -1.00 -1.00 785 182 0.3119 -0.2917 0.043703
230.00 P 20260729 -1.00 -1.00 2199 270 0.3089 -0.4085 0.049977
232.50 P 20260729 -1.00 -1.00 860 209 0.3133 -0.5342 0.050648
235.00 P 20260729 -1.00 -1.00 426 230 0.3073 -0.6587 0.048030
237.50 P 20260729 -1.00 -1.00 120 109 0.2866 -0.7836 0.041508
240.00 P 20260729 -1.00 -1.00 269 154 0.2801 -0.8768 0.030134
242.50 P 20260729 -1.00 -1.00 186 39 -1.0000 -1.0000 -1.000000
222.50 C 20260731 -1.00 -1.00 133 23 0.7106 0.6848 0.016569
225.00 C 20260731 -1.00 -1.00 712 1016 0.7391 0.6378 0.016775
227.50 C 20260731 -1.00 -1.00 337 42 0.7006 0.5970 0.018162
230.00 C 20260731 -1.00 -1.00 1025 2805 0.7019 0.5507 0.018650
232.50 C 20260731 -1.00 -1.00 1654 660 0.7007 0.5046 0.018912
235.00 C 20260731 -1.00 -1.00 2287 2616 0.6929 0.4581 0.018828
