# opt_chain ASML | epoch 1784989385 | 2026-07-25 10:23:05 | spot 1757.00 | exps 20260731
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 64664s
# strike right exp bid ask vol oi iv delta gamma
1680.00 C 20260731 -1.00 -1.00 4 5 0.6722 0.7087 0.002214
1685.00 C 20260731 -1.00 -1.00 2 0 0.6979 0.6921 0.002196
1690.00 C 20260731 -1.00 -1.00 -1 0 0.6810 0.6844 0.002280
1695.00 C 20260731 -1.00 -1.00 -1 0 0.6793 0.6736 0.002328
1700.00 C 20260731 -1.00 -1.00 67 77 0.6707 0.6638 0.002397
1705.00 C 20260731 -1.00 -1.00 3 1 0.6728 0.6508 0.002411
1710.00 C 20260731 -1.00 -1.00 1 1 0.6737 0.6380 0.002427
1715.00 C 20260731 -1.00 -1.00 2 2 0.6609 0.6270 0.002492
1720.00 C 20260731 -1.00 -1.00 4 6 0.6436 0.6162 0.002576
1725.00 C 20260731 -1.00 -1.00 22 5 0.6528 0.6020 0.002562
1730.00 C 20260731 -1.00 -1.00 2 42 0.6499 0.5891 0.002594
1735.00 C 20260731 -1.00 -1.00 1 1 0.6476 0.5761 0.002624
1740.00 C 20260731 -1.00 -1.00 11 10 0.6452 0.5630 0.002654
1745.00 C 20260731 -1.00 -1.00 14 32 0.6538 0.5496 0.002640
1750.00 C 20260731 -1.00 -1.00 5 23 0.6515 0.5365 0.002670
1755.00 C 20260731 -1.00 -1.00 6 55 0.6464 0.5233 0.002712
1760.00 C 20260731 -1.00 -1.00 17 25 0.6457 0.5102 0.002713
1765.00 C 20260731 -1.00 -1.00 69 4 0.6399 0.4968 0.002725
1767.50 C 20260731 -1.00 -1.00 5 0 0.6289 0.4894 0.002766
1770.00 C 20260731 -1.00 -1.00 7 10 0.6406 0.4836 0.002709
1772.50 C 20260731 -1.00 -1.00 26 0 0.6453 0.4775 0.002684
1775.00 C 20260731 -1.00 -1.00 37 8 0.6419 0.4706 0.002692
1777.50 C 20260731 -1.00 -1.00 8 1 0.6271 0.4624 0.002747
1780.00 C 20260731 -1.00 -1.00 44 35 0.6372 0.4569 0.002699
1782.50 C 20260731 -1.00 -1.00 10 3 0.6289 0.4491 0.002727
1785.00 C 20260731 -1.00 -1.00 8 12 0.6395 0.4440 0.002677
1787.50 C 20260731 -1.00 -1.00 7 3 0.6393 0.4373 0.002671
1790.00 C 20260731 -1.00 -1.00 14 47 0.6435 0.4314 0.002649
1792.50 C 20260731 -1.00 -1.00 2 38 0.6298 0.4225 0.002697
1795.00 C 20260731 -1.00 -1.00 19 16 0.6302 0.4158 0.002689
1797.50 C 20260731 -1.00 -1.00 1 1 0.6386 0.4108 0.002649
1800.00 C 20260731 -1.00 -1.00 60 154 0.6288 0.4022 0.002682
1802.50 C 20260731 -1.00 -1.00 4 5 0.6329 0.3963 0.002659
1805.00 C 20260731 -1.00 -1.00 9 13 0.6317 0.3894 0.002658
1807.50 C 20260731 -1.00 -1.00 13 2 0.6309 0.3825 0.002654
1810.00 C 20260731 -1.00 -1.00 4 121 0.6345 0.3768 0.002634
1812.50 C 20260731 -1.00 -1.00 1 0 0.6304 0.3696 0.002634
1815.00 C 20260731 -1.00 -1.00 7 16 0.6359 0.3651 0.002596
1820.00 C 20260731 -1.00 -1.00 11 40 0.6255 0.3510 0.002589
1825.00 C 20260731 -1.00 -1.00 22 9 0.6304 0.3407 0.002532
1830.00 C 20260731 -1.00 -1.00 313 17 0.6304 0.3292 0.002491
1835.00 C 20260731 -1.00 -1.00 10 11 0.6262 0.3163 0.002462
1680.00 P 20260731 -1.00 -1.00 43 30 0.6883 -0.2950 0.002179
1685.00 P 20260731 -1.00 -1.00 5 23 0.6987 -0.3082 0.002196
1690.00 P 20260731 -1.00 -1.00 51 20 0.6945 -0.3183 0.002248
1695.00 P 20260731 -1.00 -1.00 2 17 0.7017 -0.3304 0.002272
1700.00 P 20260731 -1.00 -1.00 73 179 0.6846 -0.3389 0.002356
1705.00 P 20260731 -1.00 -1.00 10 33 0.6889 -0.3521 0.002362
1710.00 P 20260731 -1.00 -1.00 10 45 0.6815 -0.3635 0.002404
1715.00 P 20260731 -1.00 -1.00 3 14 0.6852 -0.3765 0.002411
1720.00 P 20260731 -1.00 -1.00 17 29 0.6647 -0.3867 0.002502
1725.00 P 20260731 -1.00 -1.00 4 44 0.6772 -0.4007 0.002477
1730.00 P 20260731 -1.00 -1.00 11 22 0.6765 -0.4133 0.002499
1735.00 P 20260731 -1.00 -1.00 9 16 0.6746 -0.4259 0.002525
1740.00 P 20260731 -1.00 -1.00 18 56 0.6739 -0.4385 0.002547
1745.00 P 20260731 -1.00 -1.00 1 6 0.6738 -0.4512 0.002567
1750.00 P 20260731 -1.00 -1.00 63 280 0.6660 -0.4639 0.002617
1755.00 P 20260731 -1.00 -1.00 2 161 0.6712 -0.4767 0.002616
1760.00 P 20260731 -1.00 -1.00 197 22 0.6724 -0.4894 0.002609
1765.00 P 20260731 -1.00 -1.00 19 21 0.6628 -0.5025 0.002636
1767.50 P 20260731 -1.00 -1.00 7 6 0.6680 -0.5085 0.002610
1770.00 P 20260731 -1.00 -1.00 24 10 0.6521 -0.5160 0.002667
1772.50 P 20260731 -1.00 -1.00 11 0 0.6579 -0.5220 0.002638
1775.00 P 20260731 -1.00 -1.00 22 5 0.6583 -0.5284 0.002631
1777.50 P 20260731 -1.00 -1.00 1 0 0.6532 -0.5353 0.002645
1780.00 P 20260731 -1.00 -1.00 227 30 0.6536 -0.5417 0.002637
1782.50 P 20260731 -1.00 -1.00 3 1 0.6539 -0.5482 0.002630
1785.00 P 20260731 -1.00 -1.00 14 14 0.6543 -0.5546 0.002623
1787.50 P 20260731 -1.00 -1.00 3 4 0.6547 -0.5610 0.002616
1790.00 P 20260731 -1.00 -1.00 39 47 0.6496 -0.5682 0.002629
1792.50 P 20260731 -1.00 -1.00 1 1 0.6554 -0.5738 0.002601
1795.00 P 20260731 -1.00 -1.00 5 25 0.6503 -0.5811 0.002615
1797.50 P 20260731 -1.00 -1.00 14 6 0.6561 -0.5865 0.002587
1800.00 P 20260731 -1.00 -1.00 43 71 0.6510 -0.5939 0.002600
1802.50 P 20260731 -1.00 -1.00 -1 0 0.6509 -0.6005 0.002595
1805.00 P 20260731 -1.00 -1.00 15 20 0.6625 -0.6045 0.002546
1807.50 P 20260731 -1.00 -1.00 22 15 0.6574 -0.6120 0.002559
1810.00 P 20260731 -1.00 -1.00 62 19 0.6524 -0.6196 0.002572
1812.50 P 20260731 -1.00 -1.00 -1 0 0.6580 -0.6248 0.002546
1815.00 P 20260731 -1.00 -1.00 1 6 0.6615 -0.6298 0.002519
1820.00 P 20260731 -1.00 -1.00 90 29 0.6542 -0.6426 0.002505
1825.00 P 20260731 -1.00 -1.00 1 8 0.6408 -0.6573 0.002507
1830.00 P 20260731 -1.00 -1.00 1 49 0.6335 -0.6708 0.002488
1835.00 P 20260731 -1.00 -1.00 2 3 0.6274 -0.6842 0.002465
