# opt_chain GOOGL | epoch 1785010988 | 2026-07-25 16:23:08 | spot 319.30 | exps 20260727 20260729 20260731 20260803
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 86289s
# strike right exp bid ask vol oi iv delta gamma
305.00 C 20260727 -1.00 -1.00 14 35 0.5503 0.8614 0.016638
307.50 C 20260727 -1.00 -1.00 2 0 0.4731 0.8471 0.020551
310.00 C 20260727 -1.00 -1.00 40 77 0.3533 0.8567 0.026455
312.50 C 20260727 -1.00 -1.00 28 0 0.2934 0.8188 0.036939
315.00 C 20260727 -1.00 -1.00 1277 387 0.3344 0.6887 0.043683
317.50 C 20260727 -1.00 -1.00 1730 166 0.3129 0.5772 0.051542
320.00 C 20260727 -1.00 -1.00 6852 1000 0.3004 0.4455 0.054219
322.50 C 20260727 -1.00 -1.00 5712 556 0.2993 0.3170 0.049084
325.00 C 20260727 -1.00 -1.00 7472 1488 0.3013 0.2091 0.039427
327.50 C 20260727 -1.00 -1.00 2155 300 0.2937 0.1199 0.028097
330.00 C 20260727 -1.00 -1.00 3938 1072 0.3116 0.0747 0.018763
332.50 C 20260727 -1.00 -1.00 1647 1114 0.3140 0.0411 0.011484
305.00 P 20260727 -1.00 -1.00 197 333 0.2839 -0.0190 0.006657
307.50 P 20260727 -1.00 -1.00 2092 0 0.2560 -0.0286 0.010569
310.00 P 20260727 -1.00 -1.00 1887 760 0.2608 -0.0752 0.022429
312.50 P 20260727 -1.00 -1.00 394 0 0.2588 -0.1504 0.037235
315.00 P 20260727 -1.00 -1.00 2983 1087 0.2443 -0.2524 0.054085
317.50 P 20260727 -1.00 -1.00 3080 270 0.2335 -0.4002 0.068396
320.00 P 20260727 -1.00 -1.00 2759 969 0.2013 -0.5866 0.080185
322.50 P 20260727 -1.00 -1.00 807 130 0.2051 -0.7654 0.063379
325.00 P 20260727 -1.00 -1.00 1350 499 -1.0000 -1.0000 -1.000000
327.50 P 20260727 -1.00 -1.00 71 69 -1.0000 -1.0000 -1.000000
330.00 P 20260727 -1.00 -1.00 349 703 -1.0000 -1.0000 -1.000000
332.50 P 20260727 -1.00 -1.00 25 42 -1.0000 -1.0000 -1.000000
305.00 C 20260729 -1.00 -1.00 2 53 0.4337 0.8392 0.016649
307.50 C 20260729 -1.00 -1.00 2 0 0.4123 0.8041 0.019960
310.00 C 20260729 -1.00 -1.00 45 61 0.3819 0.7661 0.024000
312.50 C 20260729 -1.00 -1.00 1 0 0.4042 0.6901 0.025977
315.00 C 20260729 -1.00 -1.00 374 124 0.3650 0.6341 0.030811
317.50 C 20260729 -1.00 -1.00 157 262 0.3796 0.5528 0.031002
320.00 C 20260729 -1.00 -1.00 607 384 0.3556 0.4735 0.033336
322.50 C 20260729 -1.00 -1.00 465 413 0.3453 0.3882 0.033168
325.00 C 20260729 -1.00 -1.00 2110 304 0.3546 0.3169 0.029802
327.50 C 20260729 -1.00 -1.00 364 115 0.3569 0.2472 0.026519
330.00 C 20260729 -1.00 -1.00 1489 270 0.3539 0.1888 0.022595
332.50 C 20260729 -1.00 -1.00 310 45 0.3587 0.1385 0.018510
305.00 P 20260729 -1.00 -1.00 150 135 0.3165 -0.0893 0.015065
307.50 P 20260729 -1.00 -1.00 59 0 0.3248 -0.1396 0.020394
310.00 P 20260729 -1.00 -1.00 321 271 0.3042 -0.1858 0.026120
312.50 P 20260729 -1.00 -1.00 266 0 0.3139 -0.2656 0.031008
315.00 P 20260729 -1.00 -1.00 847 199 0.3153 -0.3479 0.035382
317.50 P 20260729 -1.00 -1.00 246 155 0.2996 -0.4378 0.039167
320.00 P 20260729 -1.00 -1.00 854 419 0.2685 -0.5408 0.044096
322.50 P 20260729 -1.00 -1.00 53 59 0.2598 -0.6527 0.042885
325.00 P 20260729 -1.00 -1.00 51 299 0.2600 -0.7511 0.036962
327.50 P 20260729 -1.00 -1.00 101 152 0.2502 -0.8405 0.029576
330.00 P 20260729 -1.00 -1.00 37 171 0.1828 -0.9703 0.014698
332.50 P 20260729 -1.00 -1.00 18 113 0.2912 -0.9122 0.017018
305.00 C 20260731 -1.00 -1.00 17 53 0.4416 0.7935 0.015891
307.50 C 20260731 -1.00 -1.00 3 0 0.4228 0.7582 0.018059
310.00 C 20260731 -1.00 -1.00 80 131 0.3999 0.7180 0.020563
312.50 C 20260731 -1.00 -1.00 17 0 0.3914 0.6681 0.022868
315.00 C 20260731 -1.00 -1.00 383 527 0.3702 0.6134 0.025240
317.50 C 20260731 -1.00 -1.00 131 0 0.3651 0.5491 0.026544
320.00 C 20260731 -1.00 -1.00 6171 4716 0.3651 0.4837 0.026756
322.50 C 20260731 -1.00 -1.00 1062 202 0.3595 0.4169 0.026487
325.00 C 20260731 -1.00 -1.00 2698 1626 0.3571 0.3519 0.025560
327.50 C 20260731 -1.00 -1.00 5623 2882 0.3579 0.2942 0.023436
330.00 C 20260731 -1.00 -1.00 12136 1355 0.3591 0.2377 0.021285
332.50 C 20260731 -1.00 -1.00 2605 1480 0.3532 0.1896 0.018642
305.00 P 20260731 -1.00 -1.00 646 3149 0.3385 -0.1473 0.016605
307.50 P 20260731 -1.00 -1.00 416 0 0.3340 -0.1921 0.020005
310.00 P 20260731 -1.00 -1.00 1396 6595 0.3263 -0.2419 0.023459
312.50 P 20260731 -1.00 -1.00 256 0 0.3193 -0.3029 0.026745
315.00 P 20260731 -1.00 -1.00 991 2626 0.3151 -0.3709 0.029465
317.50 P 20260731 -1.00 -1.00 434 0 0.3104 -0.4463 0.031234
320.00 P 20260731 -1.00 -1.00 1329 1890 0.3014 -0.5249 0.032471
322.50 P 20260731 -1.00 -1.00 456 487 0.2976 -0.6059 0.031904
325.00 P 20260731 -1.00 -1.00 346 1286 0.2968 -0.6804 0.029651
327.50 P 20260731 -1.00 -1.00 237 124 0.2966 -0.7514 0.026661
330.00 P 20260731 -1.00 -1.00 395 1608 0.2890 -0.8150 0.022979
332.50 P 20260731 -1.00 -1.00 69 757 0.2741 -0.8804 0.018626
305.00 C 20260803 -1.00 -1.00 50 21 0.3396 0.8076 0.016134
307.50 C 20260803 -1.00 -1.00 -1 0 0.3519 0.7565 0.017841
310.00 C 20260803 -1.00 -1.00 8 54 0.3391 0.7138 0.020036
312.50 C 20260803 -1.00 -1.00 1 0 0.3424 0.6617 0.021673
315.00 C 20260803 -1.00 -1.00 37 41 0.3338 0.6069 0.023026
317.50 C 20260803 -1.00 -1.00 319 0 0.3348 0.5480 0.023766
320.00 C 20260803 -1.00 -1.00 1052 1029 0.3248 0.4886 0.024685
322.50 C 20260803 -1.00 -1.00 283 337 0.3166 0.4260 0.024752
325.00 C 20260803 -1.00 -1.00 313 369 0.3151 0.3645 0.024146
327.50 C 20260803 -1.00 -1.00 18 20 0.3211 0.3140 0.022056
330.00 C 20260803 -1.00 -1.00 860 284 0.3235 0.2627 0.020247
332.50 C 20260803 -1.00 -1.00 11 22 0.3141 0.2108 0.018397
305.00 P 20260803 -1.00 -1.00 30 296 0.3072 -0.1708 0.016487
307.50 P 20260803 -1.00 -1.00 6 0 0.2986 -0.2083 0.019424
310.00 P 20260803 -1.00 -1.00 220 360 0.2980 -0.2629 0.021906
312.50 P 20260803 -1.00 -1.00 5 0 0.2816 -0.3124 0.025309
315.00 P 20260803 -1.00 -1.00 128 188 0.2927 -0.3822 0.026187
317.50 P 20260803 -1.00 -1.00 14 0 0.2713 -0.4468 0.029365
320.00 P 20260803 -1.00 -1.00 104 711 0.2740 -0.5191 0.029382
322.50 P 20260803 -1.00 -1.00 36 103 0.2661 -0.5942 0.029486
325.00 P 20260803 -1.00 -1.00 66 82 0.2812 -0.6550 0.026663
327.50 P 20260803 -1.00 -1.00 1 8 0.2630 -0.7317 0.025601
330.00 P 20260803 -1.00 -1.00 22 21 0.2608 -0.7914 0.022676
332.50 P 20260803 -1.00 -1.00 11 4 0.2658 -0.8370 0.019267
