# opt_chain QQQ | epoch 1784966926 | 2026-07-25 04:08:46 | spot 685.06 | exps 20260727 20260728 20260729 20260730 20260731 20260803 20260804
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 42226s
# strike right exp bid ask vol oi iv delta gamma
655.00 C 20260727 -1.00 -1.00 1 33 0.3653 0.9224 0.006856
656.00 C 20260727 -1.00 -1.00 5 5 0.3566 0.9195 0.007205
657.00 C 20260727 -1.00 -1.00 -1 0 0.3474 0.9169 0.007568
658.00 C 20260727 -1.00 -1.00 -1 0 0.3393 0.9135 0.007983
659.00 C 20260727 -1.00 -1.00 7 0 0.3306 0.9103 0.008418
660.00 C 20260727 -1.00 -1.00 10 4 0.3229 0.9062 0.008910
661.00 C 20260727 -1.00 -1.00 7 0 0.3093 0.9061 0.009310
662.00 C 20260727 -1.00 -1.00 26 0 0.3062 0.8984 0.009981
663.00 C 20260727 -1.00 -1.00 13 2 0.2797 0.9078 0.010153
664.00 C 20260727 -1.00 -1.00 9 0 0.2796 0.8971 0.011042
665.00 C 20260727 -1.00 -1.00 10 36 0.2889 0.8797 0.012069
666.00 C 20260727 -1.00 -1.00 9 1 0.2829 0.8731 0.012859
667.00 C 20260727 -1.00 -1.00 8 3 0.2619 0.8767 0.013571
668.00 C 20260727 -1.00 -1.00 22 0 0.2703 0.8533 0.014696
669.00 C 20260727 -1.00 -1.00 5 0 0.2646 0.8419 0.015728
670.00 C 20260727 -1.00 -1.00 69 203 0.2589 0.8299 0.016837
671.00 C 20260727 -1.00 -1.00 8 0 0.2361 0.8342 0.018170
672.00 C 20260727 -1.00 -1.00 138 0 0.2515 0.8010 0.019234
673.00 C 20260727 -1.00 -1.00 281 4 0.2468 0.7867 0.020558
674.00 C 20260727 -1.00 -1.00 401 0 0.2300 0.7816 0.022425
675.00 C 20260727 -1.00 -1.00 201 39 0.2262 0.7612 0.023845
676.00 C 20260727 -1.00 -1.00 126 3 0.2236 0.7374 0.025193
677.00 C 20260727 -1.00 -1.00 51 11 0.1982 0.7345 0.028565
678.00 C 20260727 -1.00 -1.00 151 19 0.2271 0.6820 0.027254
679.00 C 20260727 -1.00 -1.00 254 7 0.2148 0.6633 0.029690
680.00 C 20260727 -1.00 -1.00 2499 229 0.2114 0.6354 0.030977
681.00 C 20260727 -1.00 -1.00 882 5 0.2061 0.6059 0.032289
682.00 C 20260727 -1.00 -1.00 3462 34 0.2024 0.5743 0.033450
683.00 C 20260727 -1.00 -1.00 8268 33 0.2002 0.5412 0.034417
684.00 C 20260727 -1.00 -1.00 14027 32 0.1988 0.5074 0.035225
685.00 C 20260727 -1.00 -1.00 26738 438 0.1912 0.4720 0.036091
686.00 C 20260727 -1.00 -1.00 19536 90 0.1880 0.4353 0.036155
687.00 C 20260727 -1.00 -1.00 17951 74 0.1848 0.3974 0.036200
688.00 C 20260727 -1.00 -1.00 19575 107 0.1825 0.3595 0.035904
689.00 C 20260727 -1.00 -1.00 16210 340 0.1771 0.3219 0.035023
690.00 C 20260727 -1.00 -1.00 52731 1699 0.1732 0.2838 0.033763
691.00 C 20260727 -1.00 -1.00 16853 482 0.1715 0.2470 0.032102
692.00 C 20260727 -1.00 -1.00 18645 900 0.1669 0.2120 0.030094
693.00 C 20260727 -1.00 -1.00 13174 577 0.1633 0.1792 0.027588
694.00 C 20260727 -1.00 -1.00 18762 1277 0.1620 0.1488 0.024865
695.00 C 20260727 -1.00 -1.00 26966 1170 0.1600 0.1237 0.022128
696.00 C 20260727 -1.00 -1.00 8965 377 0.1569 0.1000 0.019210
697.00 C 20260727 -1.00 -1.00 6789 946 0.1576 0.0816 0.016527
698.00 C 20260727 -1.00 -1.00 5767 657 0.1573 0.0656 0.014075
699.00 C 20260727 -1.00 -1.00 9171 511 0.1565 0.0535 0.011919
700.00 C 20260727 -1.00 -1.00 38242 3987 0.1566 0.0422 0.009845
701.00 C 20260727 -1.00 -1.00 3918 426 0.1615 0.0367 0.008577
702.00 C 20260727 -1.00 -1.00 5158 763 0.1609 0.0287 0.007022
703.00 C 20260727 -1.00 -1.00 4298 291 0.1599 0.0225 0.005701
704.00 C 20260727 -1.00 -1.00 7593 624 0.1637 0.0195 0.004933
705.00 C 20260727 -1.00 -1.00 7587 4027 0.1675 0.0167 0.004228
706.00 C 20260727 -1.00 -1.00 6433 626 0.1713 0.0140 0.003580
707.00 C 20260727 -1.00 -1.00 3880 674 0.1760 0.0125 0.003169
