# opt_chain SNDK | epoch 1785011176 | 2026-07-25 16:26:16 | spot 1445.46 | exps 20260731
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume_polygon(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 86477s
# strike right exp bid ask vol oi iv delta gamma
1385.00 C 20260731 -1.00 -1.00 1 9 1.4324 0.6102 0.001451
1390.00 C 20260731 -1.00 -1.00 4 25 1.4224 0.6028 0.001469
1395.00 C 20260731 -1.00 -1.00 3 8 1.4374 0.5951 0.001462
1400.00 C 20260731 -1.00 -1.00 197 214 1.4468 0.5875 0.001461
1405.00 C 20260731 -1.00 -1.00 2 34 1.4079 0.5802 0.001509
1410.00 C 20260731 -1.00 -1.00 21 30 1.4132 0.5726 0.001512
1415.00 C 20260731 -1.00 -1.00 31 18 1.4254 0.5650 0.001507
1420.00 C 20260731 -1.00 -1.00 130 116 1.4176 0.5574 0.001523
1425.00 C 20260731 -1.00 -1.00 105 84 1.4242 0.5499 0.001524
1430.00 C 20260731 -1.00 -1.00 263 160 1.4239 0.5424 0.001533
1435.00 C 20260731 -1.00 -1.00 72 120 1.4355 0.5352 0.001524
1440.00 C 20260731 -1.00 -1.00 136 32 1.4241 0.5276 0.001534
1445.00 C 20260731 -1.00 -1.00 78 83 1.4263 0.5204 0.001529
1450.00 C 20260731 -1.00 -1.00 359 151 1.4047 0.5121 0.001550
1455.00 C 20260731 -1.00 -1.00 47 26 1.4165 0.5053 0.001534
1460.00 C 20260731 -1.00 -1.00 98 17 1.4004 0.4971 0.001549
1465.00 C 20260731 -1.00 -1.00 91 7 1.4027 0.4898 0.001544
1470.00 C 20260731 -1.00 -1.00 178 24 1.3955 0.4819 0.001549
1475.00 C 20260731 -1.00 -1.00 174 17 1.3869 0.4738 0.001556
1480.00 C 20260731 -1.00 -1.00 159 53 1.3932 0.4668 0.001546
1485.00 C 20260731 -1.00 -1.00 115 37 1.3868 0.4587 0.001550
1490.00 C 20260731 -1.00 -1.00 262 55 1.3857 0.4511 0.001549
1495.00 C 20260731 -1.00 -1.00 206 8 1.3745 0.4426 0.001558
1500.00 C 20260731 -1.00 -1.00 1444 689 1.3801 0.4355 0.001549
1505.00 C 20260731 -1.00 -1.00 79 31 1.3910 0.4291 0.001535
1510.00 C 20260731 -1.00 -1.00 130 129 1.3826 0.4207 0.001541
1385.00 P 20260731 -1.00 -1.00 98 136 1.3944 -0.3891 0.001491
1390.00 P 20260731 -1.00 -1.00 2577 7845 1.4040 -0.3970 0.001489
1395.00 P 20260731 -1.00 -1.00 22 309 1.4066 -0.4047 0.001495
1400.00 P 20260731 -1.00 -1.00 1041 1348 1.4071 -0.4124 0.001503
1405.00 P 20260731 -1.00 -1.00 51 192 1.3931 -0.4199 0.001526
1410.00 P 20260731 -1.00 -1.00 58 141 1.3888 -0.4277 0.001539
1415.00 P 20260731 -1.00 -1.00 93 74 1.3798 -0.4354 0.001558
1420.00 P 20260731 -1.00 -1.00 137 120 1.3927 -0.4431 0.001552
1425.00 P 20260731 -1.00 -1.00 337 131 1.3959 -0.4508 0.001557
1430.00 P 20260731 -1.00 -1.00 94 102 1.3944 -0.4586 0.001567
1435.00 P 20260731 -1.00 -1.00 59 117 1.3818 -0.4666 0.001585
1440.00 P 20260731 -1.00 -1.00 187 295 1.4148 -0.4730 0.001545
1445.00 P 20260731 -1.00 -1.00 53 70 1.4082 -0.4807 0.001550
1450.00 P 20260731 -1.00 -1.00 1119 666 1.3854 -0.4891 0.001573
1455.00 P 20260731 -1.00 -1.00 88 77 1.3715 -0.4973 0.001586
1460.00 P 20260731 -1.00 -1.00 153 117 1.3873 -0.5040 0.001565
1465.00 P 20260731 -1.00 -1.00 43 52 1.3680 -0.5127 0.001584
1470.00 P 20260731 -1.00 -1.00 93 215 1.3603 -0.5208 0.001590
1475.00 P 20260731 -1.00 -1.00 69 163 1.3740 -0.5275 0.001572
1480.00 P 20260731 -1.00 -1.00 154 69 1.3636 -0.5359 0.001580
1485.00 P 20260731 -1.00 -1.00 63 46 1.3679 -0.5432 0.001573
1490.00 P 20260731 -1.00 -1.00 123 203 1.3475 -0.5527 0.001593
1495.00 P 20260731 -1.00 -1.00 58 109 1.3705 -0.5582 0.001564
1500.00 P 20260731 -1.00 -1.00 2781 3692 1.3708 -0.5658 0.001561
1505.00 P 20260731 -1.00 -1.00 91 90 1.3412 -0.5766 0.001591
1510.00 P 20260731 -1.00 -1.00 59 74 1.3263 -0.5862 0.001605
