# opt_chain NVDA | epoch 1785106411 | 2026-07-26 18:53:31 | spot 208.76 | exps 20260727 20260729
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 44 | greeks_ok_pct 0.0000 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
210.00 C 20260727 -1.00 -1.00 0 10067 -1.0000 -1.0000 -1.0000
210.00 P 20260727 -1.00 -1.00 0 7708 -1.0000 -1.0000 -1.0000
207.50 C 20260727 -1.00 -1.00 0 1434 -1.0000 -1.0000 -1.0000
207.50 P 20260727 -1.00 -1.00 0 2481 -1.0000 -1.0000 -1.0000
212.50 C 20260727 -1.00 -1.00 0 3831 -1.0000 -1.0000 -1.0000
212.50 P 20260727 -1.00 -1.00 0 1018 -1.0000 -1.0000 -1.0000
205.00 C 20260727 -1.00 -1.00 0 1587 -1.0000 -1.0000 -1.0000
205.00 P 20260727 -1.00 -1.00 0 7532 -1.0000 -1.0000 -1.0000
215.00 C 20260727 -1.00 -1.00 0 8063 -1.0000 -1.0000 -1.0000
215.00 P 20260727 -1.00 -1.00 0 632 -1.0000 -1.0000 -1.0000
202.50 C 20260727 -1.00 -1.00 0 418 -1.0000 -1.0000 -1.0000
202.50 P 20260727 -1.00 -1.00 0 8697 -1.0000 -1.0000 -1.0000
217.50 C 20260727 -1.00 -1.00 0 3022 -1.0000 -1.0000 -1.0000
217.50 P 20260727 -1.00 -1.00 0 360 -1.0000 -1.0000 -1.0000
200.00 C 20260727 -1.00 -1.00 0 415 -1.0000 -1.0000 -1.0000
200.00 P 20260727 -1.00 -1.00 0 12539 -1.0000 -1.0000 -1.0000
220.00 C 20260727 -1.00 -1.00 0 6815 -1.0000 -1.0000 -1.0000
220.00 P 20260727 -1.00 -1.00 0 331 -1.0000 -1.0000 -1.0000
197.50 C 20260727 -1.00 -1.00 0 819 -1.0000 -1.0000 -1.0000
197.50 P 20260727 -1.00 -1.00 0 383 -1.0000 -1.0000 -1.0000
222.50 C 20260727 -1.00 -1.00 0 1662 -1.0000 -1.0000 -1.0000
222.50 P 20260727 -1.00 -1.00 0 45 -1.0000 -1.0000 -1.0000
210.00 C 20260729 -1.00 -1.00 0 2476 -1.0000 -1.0000 -1.0000
210.00 P 20260729 -1.00 -1.00 0 1547 -1.0000 -1.0000 -1.0000
207.50 C 20260729 -1.00 -1.00 0 702 -1.0000 -1.0000 -1.0000
207.50 P 20260729 -1.00 -1.00 0 608 -1.0000 -1.0000 -1.0000
212.50 C 20260729 -1.00 -1.00 0 849 -1.0000 -1.0000 -1.0000
212.50 P 20260729 -1.00 -1.00 0 317 -1.0000 -1.0000 -1.0000
205.00 C 20260729 -1.00 -1.00 0 516 -1.0000 -1.0000 -1.0000
205.00 P 20260729 -1.00 -1.00 0 615 -1.0000 -1.0000 -1.0000
215.00 C 20260729 -1.00 -1.00 0 2894 -1.0000 -1.0000 -1.0000
215.00 P 20260729 -1.00 -1.00 0 1476 -1.0000 -1.0000 -1.0000
202.50 C 20260729 -1.00 -1.00 0 209 -1.0000 -1.0000 -1.0000
202.50 P 20260729 -1.00 -1.00 0 359 -1.0000 -1.0000 -1.0000
217.50 C 20260729 -1.00 -1.00 0 1035 -1.0000 -1.0000 -1.0000
217.50 P 20260729 -1.00 -1.00 0 27 -1.0000 -1.0000 -1.0000
200.00 C 20260729 -1.00 -1.00 0 138 -1.0000 -1.0000 -1.0000
200.00 P 20260729 -1.00 -1.00 0 2243 -1.0000 -1.0000 -1.0000
220.00 C 20260729 -1.00 -1.00 0 2667 -1.0000 -1.0000 -1.0000
220.00 P 20260729 -1.00 -1.00 0 10 -1.0000 -1.0000 -1.0000
197.50 C 20260729 -1.00 -1.00 0 59 -1.0000 -1.0000 -1.0000
197.50 P 20260729 -1.00 -1.00 0 423 -1.0000 -1.0000 -1.0000
222.50 C 20260729 -1.00 -1.00 0 809 -1.0000 -1.0000 -1.0000
222.50 P 20260729 -1.00 -1.00 0 51 -1.0000 -1.0000 -1.0000
