# opt_chain DRAM | epoch 1785073698 | 2026-07-26 09:48:18 | spot 53.63 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot ibkr_bridge edad 148997s
# banda +-60.0% (adaptativa por gamma marginal) | vencimientos hasta 2026-08-21 (mensual siguiente)
# strike right exp bid ask vol oi iv delta gamma
47.50 C 20260731 -1.00 -1.00 1 11 1.2714 0.7947 0.035323
48.00 C 20260731 -1.00 -1.00 27 20 1.1965 0.7851 0.038369
48.50 C 20260731 -1.00 -1.00 5 5 1.2394 0.7556 0.039394
49.00 C 20260731 -1.00 -1.00 113 76 1.2352 0.7338 0.041285
49.50 C 20260731 -1.00 -1.00 2 2 1.3006 0.7047 0.041452
50.00 C 20260731 -1.00 -1.00 495 516 1.1923 0.6931 0.046152
50.50 C 20260731 -1.00 -1.00 15 22 1.2464 0.6649 0.046025
51.00 C 20260731 -1.00 -1.00 107 20 1.2050 0.6429 0.048371
51.50 C 20260731 -1.00 -1.00 32 12 1.1641 0.6195 0.050904
52.00 C 20260731 -1.00 -1.00 213 986 1.3016 0.5895 0.046471
52.50 C 20260731 -1.00 -1.00 51 1689 1.1917 0.5664 0.051542
53.00 C 20260731 -1.00 -1.00 463 677 1.2102 0.5408 0.051625
53.50 C 20260731 -1.00 -1.00 399 200 1.1961 0.5152 0.052369
54.00 C 20260731 -1.00 -1.00 1004 722 1.1749 0.4889 0.052935
54.50 C 20260731 -1.00 -1.00 604 98 1.2137 0.4664 0.050915
55.00 C 20260731 -1.00 -1.00 3057 1809 1.1810 0.4384 0.051914
55.50 C 20260731 -1.00 -1.00 123 506 1.1850 0.4134 0.051374
56.00 C 20260731 -1.00 -1.00 3487 1316 1.1927 0.3892 0.050691
56.50 C 20260731 -1.00 -1.00 171 101 1.1852 0.3659 0.049778
57.00 C 20260731 -1.00 -1.00 5314 1808 1.1699 0.3417 0.048870
57.50 C 20260731 -1.00 -1.00 2366 2213 1.1633 0.3185 0.047639
58.00 C 20260731 -1.00 -1.00 1241 631 1.1461 0.2928 0.046651
58.50 C 20260731 -1.00 -1.00 2373 1366 1.1567 0.2729 0.044919
